

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      1.145e+04
Stamps Sum:          1.145e+04
Self Time (Agg.):    0.06317


Intervals
---------
exploration ........ 9785
skill model training  164.8
rl training ........ 1101
logging ............ 401.6


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   9785.07   97.85  189.84   94.98     100
skill model training  164.80    1.65    2.47    1.55     100
rl training   1100.59   11.01   13.78   10.63     100
logging       401.56    4.06   45.63    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             96.71          2.47         12.37          0.00
1             96.99          1.70         10.81          0.00
2             98.46          1.63         11.02          0.00
3             97.53          1.61         10.85          0.00
4             98.16          1.63         11.19          0.00
5             96.11          1.58         10.77          0.00
6             95.39          1.59         10.83          0.00
7             95.31          1.58         10.77          0.00
8             95.31          1.59         10.84          0.00
9             95.69          1.58         10.77         44.15
10            96.21          1.64         10.84          0.00
11            96.23          1.62         10.89          0.00
12            96.18          1.66         10.90          0.00
13            98.80          1.65         11.15          0.00
14            98.05          1.63         10.94          0.00
15            97.55          1.65         11.06          0.00
16            97.40          1.58         11.17          0.00
17            98.63          1.61         11.14          0.00
18            97.84          1.58         10.98          0.00
19            98.46          1.59         10.90         45.50
20            98.13          1.70         10.98          0.00
21            98.70          1.63         10.92          0.00
22            98.70          1.60         11.04          0.00
23            98.16          1.59         11.04          0.00
24            98.72          1.61         11.49          0.00
25           101.47          1.72         11.18          0.00
26            97.46          1.59         11.09          0.00
27            97.96          1.61         11.01          0.00
28            97.97          1.60         11.01          0.00
29            98.23          1.61         11.05         45.63
30            97.50          1.69         11.17          0.00
31            98.13          1.69         11.22          0.00
32            98.39          1.60         11.07          0.00
33            97.64          1.57         10.95          0.00
34            97.70          1.58         11.08          0.00
35            98.64          1.61         10.97          0.00
36            99.81          1.78         11.21          0.00
37            97.11          1.59         10.94          0.00
38            96.96          1.61         10.93          0.00
39            96.98          1.61         10.96         44.42
40            96.99          1.66         10.97          0.00
41            97.03          1.64         10.99          0.00
42            96.97          1.61         10.93          0.00
43            96.73          1.61         10.94          0.00
44            96.69          1.92         13.78          0.00
45            95.49          1.63         10.88          0.00
46            95.52          1.71         10.76          0.00
47            95.76          1.61         10.84          0.00
48            95.64          1.64         10.93          0.00
49            95.64          1.59         10.90         43.87
50            95.84          1.65         10.79          0.00
51            95.89          1.72         10.92          0.00
52           189.84          2.10         11.72          0.00
53            95.58          1.74         11.01          0.00
54            97.00          2.02         12.26          0.00
55            98.16          1.76         11.16          0.00
56            95.96          1.62         11.25          0.00
57            95.57          1.63         10.89          0.00
58            95.69          1.61         10.75          0.00
59            95.86          1.57         10.82         44.83
60            95.73          1.66         10.90          0.00
61            95.86          1.77         10.96          0.00
62            95.78          1.60         10.80          0.00
63            96.25          1.77         10.74          0.00
64            99.89          1.63         10.80          0.00
65            95.62          1.60         10.82          0.00
66            96.74          1.64         10.97          0.00
67            96.86          1.61         11.00          0.00
68            96.97          1.60         10.98          0.00
69            97.13          1.64         11.00         44.57
70            97.06          1.68         11.03          0.00
71            97.13          1.65         11.06          0.00
72            98.29          1.65         11.04          0.00
73            97.33          1.62         10.81          0.00
74            95.51          1.57         10.78          0.00
75            95.07          1.58         10.78          0.00
76            94.98          1.56         10.77          0.00
77            96.62          1.62         10.80          0.00
78            95.53          1.64         10.63          0.00
79            95.32          1.61         10.66         43.52
80            95.60          1.63         10.84          0.00
81            95.36          1.63         10.70          0.00
82            95.40          1.74         11.01          0.00
83            97.25          1.68         10.91          0.00
84            95.67          1.62         10.84          0.00
85            95.62          1.62         10.70          0.00
86            95.51          1.57         10.66          0.00
87            95.21          1.57         10.78          0.00
88            97.11          1.63         10.99          0.00
89            96.97          1.61         11.00         44.91
90            97.03          1.65         11.03          0.00
91            97.26          1.65         11.07          0.00
92            98.63          1.63         11.04          0.00
93            97.13          1.60         10.97          0.00
94            96.98          1.55         10.97          0.00
95            97.10          1.57         10.97          0.00
96            97.02          1.57         10.82          0.00
97            97.13          1.57         10.96          0.00
98            97.12          1.58         10.98          0.00
99            97.06          1.60         11.01              


---End Timer Report (root)---

