

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      1696
Stamps Sum:          1696
Self Time (Agg.):    0.05438


Intervals
---------
exploration ........ 971.7
skill model training  90.92
rl training ........ 549.2
logging ............ 84.6


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   971.67    9.72   10.25    9.49     100
skill model training   90.92    0.91    1.66    0.86     100
rl training   549.16    5.49    6.82    5.35     100
logging        84.60    0.85    9.56    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0              9.50          1.66          6.82          0.00
1              9.50          0.89          5.38          0.00
2              9.55          0.89          5.37          0.00
3              9.52          0.88          5.40          0.00
4              9.53          0.89          5.40          0.00
5              9.53          0.89          5.41          0.00
6              9.49          0.89          5.42          0.00
7              9.89          0.91          5.50          0.00
8             10.07          0.92          5.68          0.00
9             10.04          0.91          5.69          9.33
10             9.79          0.91          5.51          0.00
11            10.02          0.90          5.41          0.00
12             9.73          0.88          5.38          0.00
13             9.64          0.89          5.37          0.00
14             9.58          0.90          5.45          0.00
15             9.68          0.89          5.47          0.00
16             9.58          0.89          5.48          0.00
17             9.62          0.89          5.46          0.00
18             9.62          0.89          5.47          0.00
19             9.60          0.86          5.37          9.34
20             9.60          0.92          5.54          0.00
21             9.65          0.90          5.49          0.00
22             9.64          0.89          5.48          0.00
23             9.63          0.90          5.40          0.00
24             9.89          0.90          5.44          0.00
25            10.18          0.97          5.75          0.00
26            10.25          0.92          5.73          0.00
27             9.70          0.90          5.53          0.00
28             9.66          0.90          5.52          0.00
29             9.66          0.90          5.41          9.41
30             9.70          0.91          5.54          0.00
31             9.74          0.90          5.52          0.00
32             9.72          0.87          5.43          0.00
33             9.81          0.90          5.43          0.00
34             9.75          0.94          6.04          0.00
35            10.20          0.91          5.54          0.00
36             9.67          0.91          5.49          0.00
37             9.69          0.90          5.41          0.00
38             9.78          0.90          5.40          0.00
39             9.68          0.90          5.51          9.30
40             9.81          0.90          5.46          0.00
41             9.69          0.92          5.56          0.00
42             9.69          0.89          5.53          0.00
43             9.80          0.98          5.50          0.00
44             9.80          0.88          5.40          0.00
45             9.76          0.90          5.41          0.00
46             9.68          0.89          5.51          0.00
47             9.67          0.89          5.39          0.00
48             9.77          0.90          5.42          0.00
49             9.62          1.00          5.40          9.41
50             9.97          0.91          5.47          0.00
51             9.73          0.90          5.56          0.00
52             9.69          0.89          5.53          0.00
53             9.71          0.89          5.40          0.00
54             9.79          0.90          5.43          0.00
55             9.69          0.90          5.55          0.00
56             9.69          0.89          5.41          0.00
57             9.77          0.89          5.45          0.00
58             9.65          0.89          5.54          0.00
59             9.65          0.90          5.52          9.37
60             9.70          0.91          5.59          0.00
61             9.72          0.90          5.46          0.00
62             9.80          0.90          5.43          0.00
63             9.67          0.89          5.54          0.00
64             9.66          0.89          5.40          0.00
65             9.77          0.91          5.41          0.00
66             9.69          0.89          5.54          0.00
67             9.70          0.90          5.40          0.00
68             9.78          0.89          5.41          0.00
69             9.86          0.88          5.66          9.56
70             9.68          0.94          5.62          0.00
71             9.74          0.92          5.42          0.00
72             9.82          0.90          5.41          0.00
73             9.69          0.90          5.55          0.00
74             9.69          0.90          5.40          0.00
75             9.82          0.90          5.42          0.00
76             9.69          0.90          5.54          0.00
77             9.70          0.90          5.41          0.00
78            10.16          1.06          5.47          0.00
79             9.66          0.90          5.53          9.44
80             9.76          0.91          5.62          0.00
81             9.72          0.89          5.36          0.00
82             9.64          0.90          5.49          0.00
83             9.61          0.88          5.37          0.00
84             9.79          0.89          5.39          0.00
85             9.59          0.90          5.52          0.00
86             9.61          0.87          5.37          0.00
87             9.58          0.90          5.56          0.00
88             9.60          0.89          5.39          0.00
89             9.70          0.87          5.36          9.32
90             9.77          0.89          5.41          0.00
91             9.63          0.89          5.51          0.00
92             9.65          0.89          5.37          0.00
93             9.55          0.89          5.53          0.00
94             9.57          0.89          5.35          0.00
95             9.73          0.90          5.38          0.00
96             9.63          0.89          5.49          0.00
97             9.62          0.90          5.36          0.00
98             9.61          0.95          5.89          0.00
99             9.63          0.90          5.36              


---End Timer Report (root)---

