

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      1660
Stamps Sum:          1660
Self Time (Agg.):    0.05408


Intervals
---------
exploration ........ 975.4
skill model training  90.56
rl training ........ 548.2
logging ............ 45.64


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   975.38    9.75   10.38    9.56     100
skill model training   90.56    0.91    1.63    0.85     100
rl training   548.17    5.48    6.81    5.33     100
logging        45.64    0.46    5.26    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0              9.62          1.63          6.81          0.00
1              9.58          0.85          5.40          0.00
2              9.65          0.89          5.40          0.00
3              9.62          0.89          5.41          0.00
4              9.64          0.88          5.43          0.00
5              9.64          0.87          5.44          0.00
6              9.67          0.89          5.43          0.00
7              9.63          0.89          5.46          0.00
8              9.63          0.89          5.46          0.00
9              9.60          0.89          5.44          5.07
10            10.12          0.98          5.42          0.00
11             9.71          0.89          5.48          0.00
12             9.68          0.89          5.47          0.00
13             9.67          0.88          5.46          0.00
14             9.67          0.88          5.47          0.00
15             9.78          0.88          5.46          0.00
16             9.67          0.88          5.37          0.00
17             9.74          0.89          5.41          0.00
18             9.73          0.89          5.39          0.00
19             9.73          0.89          5.40          5.03
20             9.74          0.90          5.43          0.00
21             9.86          0.89          5.41          0.00
22             9.76          0.88          5.52          0.00
23             9.96          0.88          5.41          0.00
24             9.68          0.89          5.49          0.00
25             9.75          1.13          6.08          0.00
26             9.92          0.90          5.47          0.00
27             9.60          0.88          5.39          0.00
28             9.77          0.89          5.37          0.00
29             9.64          0.88          5.34          5.03
30             9.61          0.88          5.44          0.00
31             9.63          0.88          5.33          0.00
32             9.67          0.88          5.34          0.00
33             9.63          0.88          5.44          0.00
34             9.62          0.89          5.44          0.00
35             9.67          0.88          5.44          0.00
36             9.62          0.89          5.37          0.00
37             9.70          0.88          5.39          0.00
38             9.56          0.88          5.44          0.00
39             9.60          0.88          5.44          4.97
40             9.64          0.88          5.48          0.00
41             9.69          0.89          5.45          0.00
42             9.61          0.89          5.36          0.00
43             9.70          0.88          5.34          0.00
44             9.59          0.88          5.45          0.00
45             9.64          0.90          5.48          0.00
46             9.86          0.89          5.39          0.00
47             9.73          0.89          5.39          0.00
48             9.70          0.89          5.52          0.00
49             9.69          0.88          5.35          5.06
50             9.77          0.90          5.56          0.00
51             9.75          0.89          5.38          0.00
52             9.81          0.89          5.40          0.00
53             9.64          0.88          5.45          0.00
54             9.62          0.88          5.35          0.00
55             9.87          0.88          5.39          0.00
56             9.74          0.88          5.51          0.00
57             9.68          0.89          5.43          0.00
58             9.87          0.88          5.37          0.00
59             9.60          0.88          5.48          4.94
60             9.89          0.88          5.41          0.00
61            10.00          0.89          5.50          0.00
62             9.65          0.88          5.35          0.00
63             9.80          0.88          5.36          0.00
64             9.65          0.88          5.48          0.00
65             9.63          0.88          5.43          0.00
66             9.84          0.88          5.44          0.00
67            10.03          1.03          5.63          0.00
68             9.77          0.89          5.56          0.00
69            10.04          0.88          5.43          5.07
70             9.94          0.89          5.45          0.00
71             9.80          0.97          5.60          0.00
72            10.38          0.88          5.48          0.00
73             9.71          1.03          5.46          0.00
74             9.75          0.90          5.57          0.00
75             9.75          0.89          5.54          0.00
76             9.80          1.02          6.40          0.00
77            10.10          0.94          5.46          0.00
78            10.12          0.96          5.58          0.00
79             9.76          0.93          5.57          5.26
80             9.96          0.95          5.89          0.00
81             9.86          0.91          5.45          0.00
82             9.71          0.90          5.59          0.00
83             9.71          0.89          5.41          0.00
84             9.96          0.89          5.41          0.00
85             9.76          0.89          5.59          0.00
86             9.75          0.88          5.37          0.00
87             9.66          0.89          5.59          0.00
88             9.67          0.88          5.37          0.00
89             9.89          0.88          5.38          5.09
90             9.80          0.89          5.42          0.00
91             9.66          0.89          5.51          0.00
92             9.69          0.89          5.35          0.00
93             9.61          0.88          5.51          0.00
94             9.66          0.87          5.40          0.00
95             9.72          0.89          5.60          0.00
96             9.74          0.88          5.33          0.00
97            10.30          0.99          5.75          0.00
98            10.11          0.88          5.53          0.00
99             9.78          0.90          5.51              


---End Timer Report (root)---

