

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      2409
Stamps Sum:          2409
Self Time (Agg.):    0.05557


Intervals
---------
exploration ........ 1018
skill model training  281.7
rl training ........ 1104
logging ............ 6.465


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   1017.65   10.18   11.61    9.89     100
skill model training  281.69    2.82    3.47    2.66     100
rl training   1103.67   11.04   12.57   10.71     100
logging         6.46    0.07    0.79    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0              9.89          3.47         11.80          0.00
1              9.96          2.66         10.72          0.00
2             10.36          2.66         10.71          0.00
3              9.89          2.79         10.75          0.00
4              9.90          2.69         10.81          0.00
5              9.94          2.76         10.75          0.00
6              9.97          2.75         10.87          0.00
7              9.99          2.73         10.80          0.00
8              9.94          2.85         10.85          0.00
9              9.94          2.78         10.88          0.79
10            10.07          3.03         11.70          0.00
11            10.22          2.78         10.91          0.00
12            10.07          2.77         10.87          0.00
13            10.00          2.86         10.91          0.00
14            10.62          2.88         11.33          0.00
15            10.08          2.77         10.86          0.00
16             9.98          2.82         10.85          0.00
17             9.99          2.81         10.82          0.00
18            10.11          2.75         10.86          0.00
19             9.99          2.83         10.90          0.65
20            10.02          2.86         10.91          0.00
21            10.09          2.98         10.96          0.00
22            10.14          2.75         10.88          0.00
23            10.01          2.74         10.90          0.00
24            10.17          2.75         10.89          0.00
25            10.06          2.84         10.86          0.00
26            10.03          2.73         10.99          0.00
27            11.61          3.34         12.57          0.00
28            10.39          2.78         10.97          0.00
29            10.40          2.83         11.06          0.78
30            10.94          3.04         11.07          0.00
31            10.56          2.99         12.20          0.00
32            10.89          2.87         10.94          0.00
33            10.12          2.76         10.96          0.00
34            10.21          2.76         11.06          0.00
35            10.10          2.77         10.93          0.00
36            10.05          2.77         10.91          0.00
37            10.18          2.76         10.91          0.00
38            10.06          2.73         10.91          0.00
39            10.17          2.78         10.96          0.67
40            10.43          2.90         10.97          0.00
41            10.16          2.80         11.11          0.00
42            10.25          2.82         11.14          0.00
43            10.26          2.80         11.13          0.00
44            10.49          2.79         11.03          0.00
45            10.20          2.92         11.02          0.00
46            10.12          2.81         11.03          0.00
47            10.15          2.81         10.98          0.00
48            10.18          2.76         10.95          0.00
49            10.08          2.75         10.99          0.67
50            10.28          2.82         10.98          0.00
51            10.13          2.81         10.98          0.00
52            10.08          2.89         10.88          0.00
53            10.22          2.78         10.99          0.00
54            10.07          2.76         11.91          0.00
55            10.25          2.92         10.94          0.00
56            10.27          2.82         11.03          0.00
57            10.14          2.79         11.01          0.00
58            10.16          2.94         10.91          0.00
59            10.28          3.00         11.07          0.69
60            10.15          2.81         11.10          0.00
61            10.14          2.91         11.06          0.00
62            10.12          2.80         11.05          0.00
63            10.16          2.78         11.04          0.00
64            10.11          2.78         11.05          0.00
65            10.29          2.82         11.06          0.00
66            10.15          2.79         11.24          0.00
67            10.13          2.79         11.02          0.00
68            10.12          2.77         11.20          0.00
69            10.23          2.80         11.02          0.68
70            10.12          2.81         11.06          0.00
71            10.12          2.76         11.06          0.00
72            10.25          2.78         10.93          0.00
73            10.26          2.75         10.98          0.00
74            10.10          2.81         10.97          0.00
75            10.07          2.77         11.05          0.00
76            10.09          2.76         11.08          0.00
77            10.20          2.76         10.99          0.00
78            10.48          2.80         11.04          0.00
79            10.10          2.79         11.02          0.69
80            10.11          2.91         10.90          0.00
81            10.27          2.77         11.22          0.00
82            10.22          2.75         11.29          0.00
83            10.12          2.78         11.03          0.00
84            10.12          2.76         11.05          0.00
85            10.10          2.77         11.06          0.00
86            10.09          2.76         11.03          0.00
87            10.05          2.91         10.92          0.00
88            10.24          2.78         11.04          0.00
89            10.10          2.79         11.02          0.66
90            10.14          2.81         11.08          0.00
91            10.14          2.77         11.05          0.00
92            10.09          2.74         11.04          0.00
93            10.13          2.92         10.89          0.00
94            10.26          2.80         10.88          0.00
95            10.29          2.78         11.03          0.00
96            10.15          2.77         11.03          0.00
97            10.07          2.76         11.04          0.00
98            10.13          2.78         11.08          0.00
99            10.09          2.79         11.10              


---End Timer Report (root)---

