

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3439
Stamps Sum:          3439
Self Time (Agg.):    0.06846


Intervals
---------
exploration ........ 1741
skill model training  313.6
rl training ........ 1369
logging ............ 15.09


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   1741.44   17.41   17.93   17.02     100
skill model training  313.56    3.14    3.90    3.08     100
rl training   1369.37   13.69   14.75   13.52     100
logging        15.09    0.15    1.73    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             17.15          3.90         14.75          0.00
1             17.04          3.08         13.52          0.00
2             17.08          3.08         13.59          0.00
3             17.27          3.09         13.57          0.00
4             17.02          3.09         13.68          0.00
5             17.23          3.17         13.54          0.00
6             17.29          3.09         13.59          0.00
7             17.41          3.10         13.58          0.00
8             17.14          3.09         13.57          0.00
9             17.26          3.09         13.66          1.65
10            17.25          3.09         13.65          0.00
11            17.27          3.09         13.66          0.00
12            17.61          3.09         13.67          0.00
13            17.34          3.09         13.68          0.00
14            17.26          3.10         13.62          0.00
15            17.40          3.10         13.66          0.00
16            17.42          3.11         13.67          0.00
17            17.54          3.10         13.65          0.00
18            17.58          3.10         13.66          0.00
19            17.51          3.12         13.72          1.64
20            17.57          3.09         13.67          0.00
21            17.79          3.12         13.84          0.00
22            17.84          3.10         13.63          0.00
23            17.23          3.22         13.66          0.00
24            17.57          3.21         13.64          0.00
25            17.66          3.10         13.74          0.00
26            17.46          3.11         13.67          0.00
27            17.25          3.11         13.70          0.00
28            17.42          3.12         13.67          0.00
29            17.26          3.11         13.68          1.73
30            17.46          3.09         13.68          0.00
31            17.64          3.09         13.67          0.00
32            17.42          3.10         13.67          0.00
33            17.55          3.10         13.68          0.00
34            17.26          3.12         13.65          0.00
35            17.24          3.23         13.69          0.00
36            17.33          3.10         13.71          0.00
37            17.58          3.12         13.69          0.00
38            17.43          3.12         13.66          0.00
39            17.33          3.12         13.68          1.61
40            17.32          3.09         13.68          0.00
41            17.70          3.11         13.68          0.00
42            17.40          3.11         13.65          0.00
43            17.39          3.10         13.69          0.00
44            17.18          3.11         13.69          0.00
45            17.52          3.11         13.69          0.00
46            17.12          3.13         13.71          0.00
47            17.25          3.23         13.67          0.00
48            17.58          3.12         13.71          0.00
49            17.52          3.12         13.71          1.57
50            17.35          3.10         13.69          0.00
51            17.54          3.12         13.69          0.00
52            17.60          3.22         13.72          0.00
53            17.32          3.11         13.71          0.00
54            17.59          3.12         13.65          0.00
55            17.29          3.25         13.72          0.00
56            17.59          3.12         13.74          0.00
57            17.41          3.15         13.70          0.00
58            17.62          3.25         13.67          0.00
59            17.46          3.13         13.70          1.72
60            17.30          3.09         13.71          0.00
61            17.51          3.11         13.70          0.00
62            17.69          3.23         13.64          0.00
63            17.37          3.12         13.68          0.00
64            17.30          3.13         13.68          0.00
65            17.43          3.11         13.73          0.00
66            17.61          3.12         13.71          0.00
67            17.43          3.26         13.69          0.00
68            17.48          3.13         13.69          0.00
69            17.30          3.13         13.68          1.61
70            17.14          3.12         13.68          0.00
71            17.36          3.10         13.72          0.00
72            17.57          3.12         13.71          0.00
73            17.19          3.24         13.55          0.00
74            17.45          3.12         13.73          0.00
75            17.53          3.13         13.70          0.00
76            17.23          3.11         13.72          0.00
77            17.32          3.13         13.70          0.00
78            17.34          3.13         13.73          0.00
79            17.58          3.14         13.71          1.60
80            17.44          3.12         13.72          0.00
81            17.69          3.10         13.76          0.00
82            17.52          3.11         13.68          0.00
83            17.27          3.11         13.75          0.00
84            17.71          3.14         13.69          0.00
85            17.31          3.12         13.76          0.00
86            17.34          3.13         13.71          0.00
87            17.16          3.12         13.72          0.00
88            17.46          3.13         13.71          0.00
89            17.40          3.11         13.74          1.71
90            17.19          3.10         13.71          0.00
91            17.49          3.26         13.56          0.00
92            17.93          3.13         13.74          0.00
93            17.64          3.11         13.75          0.00
94            17.34          3.13         13.76          0.00
95            17.59          3.12         13.77          0.00
96            17.49          3.14         13.71          0.00
97            17.35          3.12         13.73          0.00
98            17.35          3.28         13.57          0.00
99            17.56          3.14         13.73              


---End Timer Report (root)---

