

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3.377e+04
Stamps Sum:          3.377e+04
Self Time (Agg.):    2.758


Intervals
---------
exploration ........ 1.686e+04
skill model training  3163
rl training ........ 1.357e+04
logging ............ 176.6


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   16856.96   16.86   17.69   16.43   1,000
skill model training  3163.40    3.16    3.89    3.07   1,000
rl training   13574.83   13.57   14.69   13.35   1,000
logging       176.61    0.18    2.33    0.00     999


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             16.92          3.89         14.69          0.00
1             16.59          3.17         13.42          0.00
2             16.91          3.09         13.40          0.00
3             16.61          3.08         13.42          0.00
4             16.75          3.10         13.46          0.00
5             16.67          3.08         13.54          0.00
6             16.78          3.16         13.42          0.00
7             17.14          3.18         13.47          0.00
8             16.84          3.09         13.44          0.00
9             16.79          3.08         13.43          1.72
10            16.51          3.08         13.48          0.00
11            16.64          3.08         13.51          0.00
12            16.81          3.09         13.47          0.00
13            16.75          3.09         13.49          0.00
14            17.06          3.09         13.46          0.00
15            16.85          3.09         13.46          0.00
16            17.00          3.10         13.53          0.00
17            16.70          3.10         13.51          0.00
18            16.70          3.10         13.52          0.00
19            16.59          3.10         13.48          1.61
20            16.80          3.08         13.48          0.00
21            16.74          3.08         13.51          0.00
22            16.81          3.09         13.52          0.00
23            16.66          3.09         13.51          0.00
24            17.08          3.10         13.47          0.00
25            16.91          3.10         13.47          0.00
26            16.61          3.21         13.51          0.00
27            16.70          3.19         13.52          0.00
28            16.97          3.10         13.50          0.00
29            16.74          3.10         13.52          1.68
30            16.70          3.18         13.49          0.00
31            16.58          3.08         13.50          0.00
32            16.92          3.10         13.52          0.00
33            17.06          3.09         13.51          0.00
34            16.82          3.10         13.54          0.00
35            16.70          3.11         13.51          0.00
36            16.59          3.10         13.63          0.00
37            16.61          3.09         13.52          0.00
38            16.89          3.11         13.51          0.00
39            16.64          3.12         13.48          1.60
40            16.86          3.09         13.52          0.00
41            16.66          3.10         13.50          0.00
42            16.92          3.22         13.52          0.00
43            16.62          3.10         13.57          0.00
44            17.16          3.11         13.52          0.00
45            16.84          3.11         13.50          0.00
46            16.74          3.22         13.49          0.00
47            17.06          3.11         13.57          0.00
48            17.03          3.12         13.53          0.00
49            16.72          3.13         13.52          1.62
50            16.86          3.09         13.53          0.00
51            16.65          3.23         13.53          0.00
52            16.63          3.10         13.51          0.00
53            16.74          3.11         13.55          0.00
54            16.68          3.24         13.52          0.00
55            16.58          3.11         13.52          0.00
56            16.86          3.12         13.59          0.00
57            16.77          3.23         13.51          0.00
58            16.91          3.11         13.53          0.00
59            17.11          3.13         13.56          1.60
60            16.89          3.10         13.52          0.00
61            16.59          3.23         13.36          0.00
62            16.70          3.11         13.54          0.00
63            16.95          3.12         13.53          0.00
64            16.76          3.10         13.53          0.00
65            17.22          3.12         13.55          0.00
66            16.89          3.24         13.41          0.00
67            16.77          3.13         13.53          0.00
68            16.99          3.12         13.55          0.00
69            16.83          3.11         13.54          1.77
70            16.99          3.08         13.53          0.00
71            16.69          3.11         13.55          0.00
72            16.70          3.09         13.60          0.00
73            17.15          3.11         13.56          0.00
74            16.58          3.10         13.55          0.00
75            17.05          3.12         13.54          0.00
76            16.63          3.10         13.58          0.00
77            16.95          3.12         13.56          0.00
78            17.09          3.24         13.42          0.00
79            16.66          3.13         13.56          1.65
80            16.99          3.10         13.59          0.00
81            17.05          3.10         13.62          0.00
82            17.11          3.12         13.57          0.00
83            16.60          3.09         13.53          0.00
84            16.79          3.11         13.54          0.00
85            16.55          3.10         13.56          0.00
86            16.70          3.12         13.55          0.00
87            16.95          3.11         13.56          0.00
88            16.88          3.13         13.55          0.00
89            16.72          3.11         13.52          1.61
90            16.84          3.10         13.56          0.00
91            16.91          3.22         13.44          0.00
92            16.78          3.12         13.55          0.00
93            17.00          3.10         13.58          0.00
94            16.91          3.12         13.58          0.00
95            17.09          3.12         13.57          0.00
96            16.86          3.13         13.40          0.00
97            16.63          3.13         13.62          0.00
98            16.58          3.24         13.40          0.00
99            16.90          3.13         13.53          1.60
100           16.68          3.11         13.54          0.00
101           16.62          3.10         13.59          0.00
102           16.86          3.10         13.61          0.00
103           16.89          3.12         13.56          0.00
104           16.63          3.11         13.59          0.00
105           16.63          3.26         13.42          0.00
106           17.00          3.14         13.56          0.00
107           16.64          3.11         13.58          0.00
108           17.14          3.13         13.58          0.00
109           17.07          3.12         13.56          1.62
110           17.03          3.12         13.56          0.00
111           16.73          3.10         13.59          0.00
112           16.72          3.10         13.59          0.00
113           17.20          3.12         13.58          0.00
114           16.73          3.10         13.55          0.00
115           16.89          3.26         13.47          0.00
116           16.84          3.13         13.59          0.00
117           16.83          3.12         13.62          0.00
118           16.67          3.25         13.49          0.00
119           16.92          3.14         13.57          1.63
120           16.65          3.07         13.60          0.00
121           16.76          3.11         13.57          0.00
122           16.71          3.11         13.58          0.00
123           16.55          3.10         13.58          0.00
124           16.94          3.13         13.42          0.00
125           16.78          3.13         13.58          0.00
126           16.65          3.12         13.62          0.00
127           16.71          3.27         13.45          0.00
128           16.98          3.14         13.60          0.00
129           16.72          3.12         13.62          1.65
130           16.79          3.11         13.40          0.00
131           16.83          3.13         13.55          0.00
132           16.86          3.11         13.60          0.00
133           16.66          3.10         13.61          0.00
134           17.27          3.13         13.42          0.00
135           16.89          3.13         13.59          0.00
136           16.94          3.11         13.60          0.00
137           17.13          3.27         13.46          0.00
138           16.81          3.14         13.43          0.00
139           16.90          3.14         13.58          1.62
140           16.54          3.28         13.39          0.00
141           16.90          3.13         13.58          0.00
142           16.69          3.12         13.55          0.00
143           16.92          3.11         13.61          0.00
144           16.66          3.10         13.59          0.00
145           16.92          3.12         13.42          0.00
146           16.97          3.14         13.58          0.00
147           17.00          3.12         13.58          0.00
148           16.94          3.11         13.64          0.00
149           16.73          3.30         13.46          1.80
150           16.78          3.13         13.61          0.00
151           16.84          3.12         13.61          0.00
152           16.75          3.12         13.66          0.00
153           16.63          3.30         13.47          0.00
154           16.74          3.15         13.41          0.00
155           16.75          3.15         13.58          0.00
156           16.82          3.13         13.61          0.00
157           16.57          3.13         13.63          0.00
158           16.78          3.12         13.65          0.00
159           17.01          3.32         13.43          1.83
160           16.45          3.14         13.59          0.00
161           16.74          3.12         13.62          0.00
162           16.95          3.12         13.61          0.00
163           16.83          3.12         13.64          0.00
164           16.70          3.32         13.43          0.00
165           16.90          3.15         13.43          0.00
166           16.80          3.15         13.60          0.00
167           16.68          3.14         13.60          0.00
168           16.62          3.13         13.62          0.00
169           16.58          3.12         13.63          1.60
170           16.55          3.13         13.41          0.00
171           16.97          3.15         13.63          0.00
172           16.84          3.13         13.63          0.00
173           16.73          3.12         13.64          0.00
174           16.59          3.12         13.62          0.00
175           16.66          3.11         13.63          0.00
176           16.66          3.11         13.68          0.00
177           16.52          3.31         13.43          0.00
178           17.02          3.15         13.43          0.00
179           16.74          3.14         13.43          1.82
180           16.74          3.11         13.65          0.00
181           16.79          3.11         13.66          0.00
182           16.67          3.10         13.63          0.00
183           16.65          3.11         13.67          0.00
184           16.73          3.10         13.66          0.00
185           16.58          3.31         13.45          0.00
186           16.82          3.14         13.42          0.00
187           16.79          3.15         13.39          0.00
188           16.92          3.15         13.47          0.00
189           17.05          3.14         13.62          1.64
190           16.98          3.09         13.63          0.00
191           17.00          3.10         13.66          0.00
192           16.89          3.09         13.61          0.00
193           16.56          3.10         13.61          0.00
194           16.59          3.09         13.66          0.00
195           16.59          3.31         13.44          0.00
196           17.06          3.36         13.48          0.00
197           16.94          3.17         13.43          0.00
198           17.08          3.15         13.45          0.00
199           16.98          3.15         13.39          1.86
200           16.87          3.14         13.63          0.00
201           16.86          3.12         13.60          0.00
202           16.89          3.13         13.62          0.00
203           16.81          3.12         13.66          0.00
204           17.09          3.13         13.61          0.00
205           16.55          3.12         13.63          0.00
206           16.69          3.12         13.65          0.00
207           16.83          3.12         13.63          0.00
208           16.61          3.12         13.65          0.00
209           16.92          3.12         13.67          1.62
210           16.61          3.32         13.45          0.00
211           16.90          3.35         13.42          0.00
212           16.62          3.37         13.44          0.00
213           17.06          3.37         13.46          0.00
214           16.87          3.38         13.45          0.00
215           16.60          3.39         13.47          0.00
216           16.97          3.39         13.45          0.00
217           17.02          3.37         13.46          0.00
218           16.87          3.39         13.45          0.00
219           16.62          3.41         13.46          1.59
220           16.70          3.17         13.40          0.00
221           16.99          3.17         13.39          0.00
222           17.03          3.18         13.41          0.00
223           17.06          3.17         13.45          0.00
224           16.99          3.17         13.40          0.00
225           16.70          3.17         13.44          0.00
226           16.85          3.17         13.44          0.00
227           16.81          3.17         13.41          0.00
228           16.69          3.18         13.44          0.00
229           17.14          3.17         13.39          1.83
230           16.61          3.12         13.64          0.00
231           16.73          3.12         13.41          0.00
232           16.89          3.14         13.43          0.00
233           16.79          3.15         13.44          0.00
234           16.78          3.14         13.49          0.00
235           16.69          3.15         13.43          0.00
236           16.91          3.15         13.45          0.00
237           16.99          3.16         13.42          0.00
238           17.18          3.16         13.46          0.00
239           16.87          3.16         13.44          1.63
240           17.08          3.14         13.44          0.00
241           16.86          3.16         13.45          0.00
242           17.07          3.16         13.43          0.00
243           17.08          3.15         13.43          0.00
244           16.87          3.16         13.45          0.00
245           16.99          3.16         13.40          0.00
246           16.63          3.36         13.49          0.00
247           16.86          3.10         13.69          0.00
248           16.57          3.15         13.67          0.00
249           16.72          3.13         13.68          1.66
250           16.64          3.09         13.69          0.00
251           16.77          3.10         13.70          0.00
252           17.06          3.11         13.69          0.00
253           17.02          3.12         13.65          0.00
254           17.06          3.13         13.68          0.00
255           16.78          3.13         13.66          0.00
256           16.64          3.14         13.47          0.00
257           17.03          3.15         13.48          0.00
258           16.81          3.16         13.44          0.00
259           16.95          3.16         13.43          1.62
260           17.22          3.16         13.44          0.00
261           17.19          3.16         13.44          0.00
262           16.84          3.15         13.48          0.00
263           17.00          3.37         13.44          0.00
264           16.79          3.10         13.70          0.00
265           17.06          3.14         13.71          0.00
266           16.90          3.14         13.69          0.00
267           17.08          3.15         13.66          0.00
268           16.55          3.14         13.42          0.00
269           17.21          3.16         13.45          1.90
270           16.78          3.12         13.42          0.00
271           17.05          3.13         13.43          0.00
272           16.88          3.15         13.46          0.00
273           17.01          3.16         13.45          0.00
274           16.70          3.07         13.72          0.00
275           16.65          3.13         13.67          0.00
276           16.93          3.12         13.65          0.00
277           16.69          3.13         13.67          0.00
278           16.75          3.14         13.45          0.00
279           17.06          3.16         13.44          1.89
280           16.73          3.12         13.41          0.00
281           17.17          3.13         13.42          0.00
282           16.81          3.14         13.44          0.00
283           16.53          3.33         13.45          0.00
