

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3417
Stamps Sum:          3417
Self Time (Agg.):    0.06638


Intervals
---------
exploration ........ 1726
skill model training  313.1
rl training ........ 1363
logging ............ 15


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   1725.75   17.26   17.67   16.97     100
skill model training  313.05    3.13    3.88    3.07     100
rl training   1363.10   13.63   14.67   13.47     100
logging        15.00    0.15    1.72    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             17.22          3.88         14.67          0.00
1             17.03          3.07         13.56          0.00
2             17.24          3.08         13.54          0.00
3             17.38          3.08         13.59          0.00
4             17.21          3.09         13.67          0.00
5             17.11          3.18         13.54          0.00
6             17.38          3.09         13.56          0.00
7             17.38          3.09         13.54          0.00
8             17.24          3.09         13.59          0.00
9             17.42          3.09         13.66          1.63
10            17.04          3.08         13.58          0.00
11            17.14          3.08         13.57          0.00
12            17.16          3.09         13.60          0.00
13            17.43          3.09         13.58          0.00
14            17.14          3.10         13.57          0.00
15            17.24          3.10         13.60          0.00
16            16.97          3.10         13.59          0.00
17            17.19          3.11         13.57          0.00
18            17.20          3.10         13.61          0.00
19            17.09          3.11         13.70          1.59
20            17.06          3.10         13.60          0.00
21            17.19          3.11         13.61          0.00
22            17.41          3.10         13.58          0.00
23            16.97          3.22         13.61          0.00
24            17.30          3.21         13.56          0.00
25            17.26          3.11         13.70          0.00
26            17.14          3.10         13.62          0.00
27            17.48          3.11         13.63          0.00
28            17.08          3.11         13.60          0.00
29            17.21          3.12         13.60          1.72
30            17.13          3.09         13.65          0.00
31            17.35          3.10         13.63          0.00
32            17.56          3.10         13.60          0.00
33            17.38          3.11         13.65          0.00
34            17.15          3.12         13.62          0.00
35            17.05          3.22         13.63          0.00
36            17.47          3.10         13.65          0.00
37            17.04          3.11         13.63          0.00
38            17.06          3.12         13.62          0.00
39            17.15          3.12         13.62          1.60
40            17.31          3.10         13.64          0.00
41            17.35          3.11         13.64          0.00
42            17.59          3.12         13.62          0.00
43            17.22          3.22         13.64          0.00
44            17.01          3.11         13.63          0.00
45            17.33          3.14         13.65          0.00
46            17.24          3.12         13.64          0.00
47            17.05          3.23         13.61          0.00
48            17.32          3.11         13.65          0.00
49            17.07          3.12         13.63          1.60
50            17.11          3.10         13.64          0.00
51            17.05          3.11         13.64          0.00
52            17.20          3.24         13.63          0.00
53            17.17          3.12         13.67          0.00
54            17.37          3.12         13.62          0.00
55            17.67          3.15         13.74          0.00
56            16.97          3.15         13.64          0.00
57            17.37          3.13         13.64          0.00
58            17.51          3.13         13.65          0.00
59            17.27          3.11         13.62          1.70
60            17.16          3.10         13.62          0.00
61            17.24          3.11         13.60          0.00
62            17.30          3.12         13.63          0.00
63            17.31          3.12         13.64          0.00
64            17.41          3.13         13.61          0.00
65            17.12          3.23         13.53          0.00
66            17.31          3.13         13.65          0.00
67            17.50          3.16         13.61          0.00
68            17.05          3.12         13.63          0.00
69            17.43          3.14         13.64          1.62
70            17.26          3.11         13.62          0.00
71            17.30          3.23         13.50          0.00
72            17.39          3.11         13.62          0.00
73            17.06          3.12         13.61          0.00
74            17.39          3.11         13.64          0.00
75            17.18          3.12         13.63          0.00
76            17.12          3.11         13.67          0.00
77            17.49          3.13         13.65          0.00
78            17.47          3.12         13.64          0.00
79            17.29          3.12         13.62          1.59
80            17.55          3.11         13.65          0.00
81            17.07          3.10         13.66          0.00
82            17.42          3.11         13.62          0.00
83            17.03          3.11         13.68          0.00
84            17.52          3.13         13.63          0.00
85            17.10          3.11         13.63          0.00
86            17.47          3.14         13.64          0.00
87            17.21          3.12         13.66          0.00
88            17.02          3.13         13.66          0.00
89            17.42          3.11         13.68          1.69
90            17.08          3.10         13.66          0.00
91            17.58          3.12         13.47          0.00
92            17.36          3.13         13.64          0.00
93            17.59          3.25         13.50          0.00
94            17.46          3.13         13.62          0.00
95            17.14          3.11         13.66          0.00
96            17.24          3.13         13.64          0.00
97            17.04          3.11         13.66          0.00
98            17.44          3.13         13.64          0.00
99            17.39          3.12         13.64              


---End Timer Report (root)---

