

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3436
Stamps Sum:          3436
Self Time (Agg.):    0.06762


Intervals
---------
exploration ........ 1739
skill model training  315.1
rl training ........ 1367
logging ............ 15.17


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   1738.91   17.39   18.01   16.97     100
skill model training  315.12    3.15    3.90    3.09     100
rl training   1366.64   13.67   14.75   13.50     100
logging        15.17    0.15    1.74    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             17.18          3.90         14.75          0.00
1             17.46          3.09         13.57          0.00
2             17.62          3.09         13.58          0.00
3             16.97          3.09         13.59          0.00
4             17.10          3.10         13.65          0.00
5             17.22          3.18         13.60          0.00
6             17.27          3.10         13.64          0.00
7             17.23          3.11         13.60          0.00
8             17.25          3.10         13.59          0.00
9             17.44          3.09         13.68          1.64
10            17.47          3.09         13.60          0.00
11            17.55          3.10         13.65          0.00
12            17.18          3.10         13.64          0.00
13            17.26          3.10         13.67          0.00
14            17.34          3.10         13.62          0.00
15            17.24          3.10         13.64          0.00
16            17.28          3.12         13.64          0.00
17            17.35          3.11         13.60          0.00
18            17.06          3.11         13.65          0.00
19            17.33          3.11         13.63          1.74
20            17.60          3.10         13.62          0.00
21            17.43          3.10         13.62          0.00
22            17.32          3.21         13.67          0.00
23            17.38          3.21         13.64          0.00
24            17.17          3.10         13.75          0.00
25            17.64          3.11         13.68          0.00
26            17.38          3.11         13.70          0.00
27            17.54          3.12         13.66          0.00
28            17.26          3.12         13.65          0.00
29            17.57          3.13         13.64          1.74
30            17.52          3.10         13.68          0.00
31            17.42          3.11         13.67          0.00
32            17.49          3.11         13.64          0.00
33            17.34          3.12         13.64          0.00
34            17.59          3.24         13.64          0.00
35            17.62          3.11         13.71          0.00
36            17.38          3.12         13.67          0.00
37            17.62          3.13         13.66          0.00
38            17.38          3.13         13.66          0.00
39            17.20          3.13         13.63          1.61
40            17.34          3.11         13.68          0.00
41            17.60          3.13         13.60          0.00
42            17.42          3.22         13.66          0.00
43            17.61          3.12         13.67          0.00
44            17.49          3.12         13.68          0.00
45            17.18          3.12         13.67          0.00
46            17.42          3.24         13.63          0.00
47            17.17          3.12         13.68          0.00
48            17.20          3.14         13.69          0.00
49            17.23          3.14         13.65          1.59
50            17.11          3.11         13.65          0.00
51            17.62          3.25         13.65          0.00
52            17.25          3.12         13.68          0.00
53            17.32          3.13         13.70          0.00
54            17.36          3.25         13.61          0.00
55            17.30          3.13         13.74          0.00
56            17.45          3.14         13.72          0.00
57            17.31          3.15         13.65          0.00
58            17.32          3.13         13.70          0.00
59            17.74          3.15         13.73          1.62
60            18.01          3.12         13.75          0.00
61            17.54          3.13         13.66          0.00
62            17.30          3.11         13.66          0.00
63            17.75          3.16         13.68          0.00
64            17.58          3.28         13.55          0.00
65            17.47          3.13         13.70          0.00
66            17.33          3.14         13.62          0.00
67            17.23          3.12         13.69          0.00
68            17.41          3.14         13.68          0.00
69            17.26          3.26         13.70          1.65
70            17.17          3.26         13.66          0.00
71            17.56          3.11         13.69          0.00
72            17.55          3.13         13.74          0.00
73            17.57          3.12         13.71          0.00
74            17.38          3.13         13.68          0.00
75            17.46          3.12         13.67          0.00
76            17.51          3.14         13.68          0.00
77            17.34          3.12         13.69          0.00
78            17.60          3.14         13.71          0.00
79            17.18          3.27         13.50          1.74
80            17.33          3.22         13.56          0.00
81            17.29          3.12         13.67          0.00
82            17.20          3.24         13.53          0.00
83            17.49          3.13         13.68          0.00
84            17.52          3.26         13.57          0.00
85            17.59          3.13         13.69          0.00
86            17.00          3.25         13.57          0.00
87            17.70          3.14         13.66          0.00
88            17.18          3.26         13.57          0.00
89            17.44          3.14         13.64          1.58
90            17.20          3.11         13.66          0.00
91            17.36          3.10         13.69          0.00
92            17.33          3.12         13.69          0.00
93            17.73          3.22         13.76          0.00
94            17.53          3.28         13.56          0.00
95            17.68          3.16         13.83          0.00
96            17.23          3.25         13.57          0.00
97            17.19          3.14         13.69          0.00
98            17.32          3.12         13.71          0.00
99            17.29          3.15         13.71              


---End Timer Report (root)---

