

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      1.325e+04
Stamps Sum:          1.325e+04
Self Time (Agg.):    0.9048


Intervals
---------
exploration ........ 8594
skill model training  720.9
rl training ........ 3838
logging ............ 94.43


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   8594.20   15.35   15.94   15.02     560
skill model training  720.94    1.29    2.58    1.20     560
rl training   3837.87    6.85    8.25    6.75     560
logging        94.43    0.17    1.94    0.00     559


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.35          2.58          8.25          0.00
1             15.24          1.36          6.89          0.00
2             15.04          1.22          6.84          0.00
3             15.30          1.33          6.75          0.00
4             15.30          1.21          6.81          0.00
5             15.14          1.25          6.84          0.00
6             15.15          1.29          6.76          0.00
7             15.39          1.28          6.81          0.00
8             15.20          1.22          6.83          0.00
9             15.14          1.21          6.77          1.76
10            15.27          1.32          6.76          0.00
11            15.14          1.26          6.85          0.00
12            15.11          1.29          6.86          0.00
13            15.27          1.32          6.86          0.00
14            15.36          1.31          6.76          0.00
15            15.41          1.29          6.76          0.00
16            15.36          1.28          6.87          0.00
17            15.32          1.22          6.87          0.00
18            15.32          1.29          6.79          0.00
19            15.14          1.24          6.77          1.73
20            15.39          1.38          6.77          0.00
21            15.34          1.32          6.79          0.00
22            15.42          1.26          6.76          0.00
23            15.29          1.31          6.85          0.00
24            15.22          1.26          6.87          0.00
25            15.32          1.23          6.87          0.00
26            15.44          1.27          6.77          0.00
27            15.40          1.30          6.76          0.00
28            15.49          1.26          6.87          0.00
29            15.33          1.30          6.87          1.62
30            15.12          1.30          6.79          0.00
31            15.36          1.25          6.87          0.00
32            15.36          1.26          6.86          0.00
33            15.26          1.31          6.88          0.00
34            15.40          1.23          6.87          0.00
35            15.35          1.39          6.78          0.00
36            15.27          1.29          6.78          0.00
37            15.33          1.25          6.78          0.00
38            15.49          1.25          6.76          0.00
39            15.30          1.31          6.86          1.65
40            15.43          1.37          6.77          0.00
41            15.52          1.29          6.78          0.00
42            15.34          1.26          6.77          0.00
43            15.22          1.24          6.79          0.00
44            15.41          1.28          6.88          0.00
45            15.40          1.29          6.87          0.00
46            15.13          1.27          6.88          0.00
47            15.13          1.26          6.89          0.00
48            15.15          1.26          6.86          0.00
49            15.28          1.27          6.90          1.61
50            15.37          1.24          6.78          0.00
51            15.46          1.31          6.89          0.00
52            15.18          1.31          6.87          0.00
53            15.26          1.25          6.89          0.00
54            15.38          1.24          6.88          0.00
55            15.46          1.27          6.89          0.00
56            15.19          1.29          6.88          0.00
57            15.15          1.24          6.88          0.00
58            15.29          1.28          6.91          0.00
59            15.12          1.28          6.91          1.62
60            15.30          1.27          6.78          0.00
61            15.45          1.25          6.79          0.00
62            15.44          1.31          6.76          0.00
63            15.49          1.26          6.79          0.00
64            15.24          1.31          6.79          0.00
65            15.20          1.28          6.79          0.00
66            15.34          1.27          6.78          0.00
67            15.59          1.28          6.79          0.00
68            15.30          1.26          6.79          0.00
69            15.35          1.27          6.79          1.76
70            15.42          1.29          6.89          0.00
71            15.22          1.24          6.88          0.00
72            15.38          1.30          6.91          0.00
73            15.08          1.30          6.89          0.00
74            15.18          1.26          6.90          0.00
75            15.34          1.31          6.89          0.00
76            15.40          1.32          6.89          0.00
77            15.06          1.28          6.79          0.00
78            15.39          1.22          6.77          0.00
79            15.46          1.28          6.78          1.73
80            15.15          1.27          6.89          0.00
81            15.51          1.25          6.89          0.00
82            15.31          1.28          6.92          0.00
83            15.33          1.28          6.90          0.00
84            15.13          1.25          6.76          0.00
85            15.57          1.31          6.79          0.00
86            15.23          1.30          6.78          0.00
87            15.57          1.27          6.79          0.00
88            15.28          1.32          6.79          0.00
89            15.41          1.29          6.78          1.76
90            15.21          1.32          6.78          0.00
91            15.46          1.27          6.79          0.00
92            15.59          1.28          6.80          0.00
93            15.45          1.27          6.81          0.00
94            15.22          1.33          6.78          0.00
95            15.22          1.27          6.79          0.00
96            15.26          1.32          6.80          0.00
97            15.20          1.29          6.90          0.00
98            15.32          1.24          6.92          0.00
99            15.36          1.31          6.91          1.63
100           15.15          1.28          6.93          0.00
101           15.10          1.29          6.94          0.00
102           15.16          1.33          6.93          0.00
103           15.22          1.31          6.91          0.00
104           15.39          1.32          6.80          0.00
105           15.30          1.22          6.79          0.00
106           15.20          1.28          6.80          0.00
107           15.54          1.32          6.79          0.00
108           15.10          1.40          6.81          0.00
109           15.10          1.30          6.92          1.61
110           15.30          1.25          6.81          0.00
111           15.11          1.25          6.93          0.00
112           15.41          1.26          6.94          0.00
113           15.51          1.28          6.93          0.00
114           15.29          1.23          6.80          0.00
115           15.36          1.27          6.79          0.00
116           15.48          1.29          6.82          0.00
117           15.30          1.29          6.81          0.00
118           15.35          1.30          6.92          0.00
119           15.24          1.25          6.93          1.62
120           15.02          1.28          6.93          0.00
121           15.46          1.25          6.92          0.00
122           15.32          1.26          6.78          0.00
123           15.40          1.29          6.81          0.00
124           15.53          1.30          6.79          0.00
125           15.31          1.30          6.83          0.00
126           15.16          1.32          6.94          0.00
127           15.09          1.21          6.93          0.00
128           15.32          1.31          6.79          0.00
129           15.28          1.30          6.82          1.78
130           15.13          1.26          6.78          0.00
131           15.32          1.34          6.81          0.00
132           15.28          1.28          6.80          0.00
133           15.35          1.27          6.93          0.00
134           15.38          1.24          6.92          0.00
135           15.39          1.24          6.80          0.00
136           15.42          1.27          6.80          0.00
137           15.58          1.24          6.82          0.00
138           15.45          1.25          6.96          0.00
139           15.40          1.28          6.93          1.65
140           15.24          1.29          6.93          0.00
141           15.51          1.27          6.79          0.00
142           15.35          1.28          6.81          0.00
143           15.64          1.29          6.78          0.00
144           15.32          1.25          6.93          0.00
145           15.12          1.33          6.94          0.00
146           15.13          1.27          6.78          0.00
147           15.29          1.30          6.78          0.00
148           15.14          1.29          7.00          0.00
149           15.47          1.28          6.94          1.63
150           15.21          1.31          6.95          0.00
151           15.37          1.31          6.79          0.00
152           15.65          1.32          6.80          0.00
153           15.67          1.33          6.82          0.00
154           15.15          1.29          6.94          0.00
155           15.27          1.29          6.82          0.00
156           15.34          1.28          6.80          0.00
