

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      9806
Stamps Sum:          9807
Self Time (Agg.):    0.3454


Intervals
---------
exploration ........ 4750
skill model training  941.9
rl training ........ 4065
logging ............ 49.84


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   4750.08   15.83   16.24   15.49     300
skill model training  941.89    3.14    3.88    3.07     300
rl training   4064.73   13.55   14.66   13.38     300
logging        49.84    0.17    1.88    0.00     299


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.82          3.88         14.66          0.00
1             16.00          3.16         13.45          0.00
2             15.97          3.07         13.44          0.00
3             15.87          3.08         13.44          0.00
4             16.01          3.08         13.51          0.00
5             15.49          3.07         13.53          0.00
6             15.63          3.18         13.41          0.00
7             15.82          3.08         13.46          0.00
8             15.61          3.08         13.45          0.00
9             15.53          3.09         13.53          1.66
10            15.69          3.08         13.48          0.00
11            15.68          3.08         13.47          0.00
12            15.96          3.09         13.52          0.00
13            15.60          3.09         13.50          0.00
14            15.63          3.08         13.51          0.00
15            16.05          3.09         13.47          0.00
16            15.58          3.09         13.48          0.00
17            15.91          3.09         13.50          0.00
18            15.75          3.09         13.48          0.00
19            15.80          3.09         13.48          1.72
20            16.02          3.07         13.50          0.00
21            16.03          3.08         13.46          0.00
22            15.95          3.19         13.48          0.00
23            15.56          3.20         13.51          0.00
24            15.67          3.19         13.46          0.00
25            15.55          3.08         13.63          0.00
26            15.59          3.09         13.51          0.00
27            16.01          3.09         13.52          0.00
28            15.92          3.10         13.54          0.00
29            15.65          3.09         13.51          1.73
30            15.98          3.07         13.66          0.00
31            15.99          3.08         13.53          0.00
32            15.98          3.09         13.51          0.00
33            15.70          3.09         13.53          0.00
34            15.71          3.10         13.54          0.00
35            15.64          3.21         13.54          0.00
36            15.67          3.10         13.64          0.00
37            15.87          3.10         13.50          0.00
38            15.82          3.12         13.52          0.00
39            15.80          3.12         13.49          1.64
40            15.62          3.08         13.53          0.00
41            15.93          3.09         13.49          0.00
42            15.65          3.10         13.51          0.00
43            16.04          3.21         13.52          0.00
44            15.58          3.09         13.54          0.00
45            15.67          3.11         13.55          0.00
46            15.72          3.11         13.49          0.00
47            15.94          3.22         13.52          0.00
48            15.67          3.10         13.55          0.00
49            16.03          3.12         13.53          1.72
50            15.93          3.09         13.53          0.00
51            15.85          3.10         13.52          0.00
52            15.92          3.21         13.52          0.00
53            15.55          3.09         13.57          0.00
54            15.68          3.11         13.52          0.00
55            15.62          3.24         13.50          0.00
56            16.03          3.11         13.56          0.00
57            16.10          3.12         13.53          0.00
58            15.81          3.24         13.57          0.00
59            15.64          3.11         13.54          1.73
60            15.82          3.08         13.55          0.00
61            15.93          3.10         13.51          0.00
62            15.97          3.23         13.53          0.00
63            15.73          3.09         13.53          0.00
64            15.72          3.11         13.54          0.00
65            15.60          3.09         13.59          0.00
66            15.95          3.11         13.55          0.00
67            16.10          3.13         13.49          0.00
68            16.06          3.10         13.55          0.00
69            16.10          3.12         13.53          1.63
70            15.97          3.09         13.51          0.00
