

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      2.116e+04
Stamps Sum:          2.116e+04
Self Time (Agg.):    0.9035


Intervals
---------
exploration ........ 8660
skill model training  4798
rl training ........ 7664
logging ............ 37.11


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   8659.58   15.06   15.46   14.73     575
skill model training  4797.98    8.34    9.03    3.54     575
rl training   7664.03   13.33   14.60   13.18     575
logging        37.11    0.06    1.75    0.00     574


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.05          3.54         14.60          0.00
1             14.88          4.35         13.22          0.00
2             14.82          6.41         13.22          0.00
3             14.81          8.42         13.20          0.00
4             14.82          8.43         13.22          0.00
5             14.98          8.07         13.22          0.00
6             14.77          8.43         13.28          0.00
7             14.76          8.22         13.33          0.00
8             14.94          8.31         13.35          0.00
9             14.84          8.23         13.34          0.00
10            15.03          8.25         13.24          0.00
11            15.10          8.23         13.23          0.00
12            14.86          8.45         13.21          0.00
13            15.02          8.35         13.26          0.00
14            15.05          8.43         13.24          0.00
15            14.90          8.32         13.23          0.00
16            15.18          8.29         13.32          0.00
17            14.73          8.37         13.34          0.00
18            15.16          8.05         13.32          0.00
19            15.09          8.31         13.22          0.00
20            15.06          8.46         13.20          0.00
21            14.84          8.34         13.25          0.00
22            14.92          8.28         13.25          0.00
23            15.05          8.45         13.25          0.00
24            15.05          8.44         13.21          1.60
25            14.85          8.44         13.26          0.00
26            14.89          8.22         13.26          0.00
27            15.21          8.37         13.24          0.00
28            14.83          8.48         13.35          0.00
29            14.83          8.24         13.36          0.00
30            15.01          8.38         13.24          0.00
31            14.89          8.18         13.27          0.00
32            15.05          8.23         13.28          0.00
33            14.85          8.22         13.28          0.00
34            14.89          8.51         13.25          0.00
35            14.89          8.29         13.28          0.00
36            14.88          8.40         13.27          0.00
37            15.28          8.30         13.27          0.00
38            14.95          8.31         13.29          0.00
39            14.84          8.31         13.27          0.00
40            15.25          8.46         13.40          0.00
41            14.79          8.32         13.36          0.00
42            15.14          8.52         13.28          0.00
43            14.88          8.48         13.25          0.00
44            14.88          8.45         13.26          0.00
45            15.02          8.32         13.29          0.00
46            14.90          8.41         13.30          0.00
47            14.84          8.40         13.28          0.00
48            15.12          8.34         13.28          0.00
49            14.91          8.18         13.27          1.50
50            15.12          8.55         13.27          0.00
