

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3.341e+04
Stamps Sum:          3.341e+04
Self Time (Agg.):    2.823


Intervals
---------
exploration ........ 1.623e+04
skill model training  3179
rl training ........ 1.382e+04
logging ............ 175.3


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   16230.60   16.23   17.08   15.86   1,000
skill model training  3179.03    3.18    3.95    3.08   1,000
rl training   13823.40   13.82   14.79   13.62   1,000
logging       175.26    0.18    2.49    0.00     999


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             16.06          3.92         14.79          0.00
1             16.29          3.18         13.68          0.00
2             16.12          3.08         13.67          0.00
3             16.36          3.09         13.68          0.00
4             16.19          3.09         13.77          0.00
5             15.86          3.09         13.77          0.00
6             15.88          3.18         13.69          0.00
7             15.95          3.10         13.70          0.00
8             16.22          3.10         13.66          0.00
9             16.34          3.10         13.82          1.64
10            15.96          3.10         13.76          0.00
11            16.37          3.09         13.73          0.00
12            16.34          3.10         13.73          0.00
13            16.46          3.09         13.72          0.00
14            16.43          3.11         13.73          0.00
15            15.99          3.10         13.76          0.00
16            15.97          3.10         13.72          0.00
17            16.16          3.11         13.72          0.00
18            16.01          3.11         13.75          0.00
19            16.42          3.11         13.71          1.68
20            15.99          3.09         13.74          0.00
21            16.44          3.10         13.72          0.00
22            16.17          3.24         13.73          0.00
23            16.04          3.20         13.74          0.00
24            16.19          3.10         13.86          0.00
25            16.19          3.10         13.75          0.00
26            15.94          3.11         13.74          0.00
27            16.00          3.11         13.76          0.00
28            16.05          3.10         13.78          0.00
29            16.29          3.11         13.77          1.73
30            16.34          3.08         13.79          0.00
31            16.28          3.09         13.80          0.00
32            16.38          3.10         13.77          0.00
33            16.37          3.10         13.76          0.00
34            16.04          3.11         13.74          0.00
35            16.36          3.22         13.76          0.00
36            16.32          3.10         13.77          0.00
37            16.05          3.12         13.76          0.00
38            16.03          3.12         13.73          0.00
39            16.06          3.12         13.76          1.60
40            16.09          3.10         13.75          0.00
41            16.29          3.13         13.75          0.00
42            16.52          3.11         13.75          0.00
43            16.19          3.11         13.79          0.00
44            16.20          3.11         13.79          0.00
45            16.34          3.12         13.76          0.00
46            16.14          3.12         13.75          0.00
47            15.97          3.22         13.74          0.00
48            16.08          3.11         13.75          0.00
49            16.20          3.13         13.77          1.61
50            16.30          3.10         13.77          0.00
51            16.18          3.11         13.76          0.00
52            15.97          3.22         13.78          0.00
53            16.21          3.11         13.79          0.00
54            16.12          3.12         13.78          0.00
55            15.96          3.26         13.78          0.00
56            16.18          3.13         13.78          0.00
57            16.34          3.14         13.76          0.00
58            16.13          3.25         13.75          0.00
59            16.07          3.12         13.82          1.78
60            16.00          3.09         13.81          0.00
61            16.22          3.12         13.79          0.00
62            15.94          3.22         13.69          0.00
63            16.04          3.12         13.79          0.00
64            16.05          3.13         13.76          0.00
65            16.18          3.10         13.80          0.00
66            16.49          3.13         13.80          0.00
67            15.93          3.26         13.78          0.00
68            15.99          3.13         13.78          0.00
69            16.36          3.13         13.79          1.62
70            16.31          3.12         13.78          0.00
71            16.33          3.10         13.81          0.00
72            16.18          3.12         13.77          0.00
73            16.21          3.10         13.82          0.00
74            16.03          3.12         13.81          0.00
75            16.20          3.25         13.67          0.00
76            16.03          3.13         13.78          0.00
77            16.07          3.14         13.75          0.00
78            15.98          3.12         13.79          0.00
79            16.24          3.13         13.78          1.64
80            16.44          3.12         13.78          0.00
81            15.98          3.11         13.82          0.00
82            16.27          3.13         13.79          0.00
83            16.25          3.12         13.82          0.00
84            16.08          3.13         13.78          0.00
85            16.41          3.13         13.79          0.00
86            16.32          3.14         13.79          0.00
87            16.19          3.13         13.80          0.00
88            16.08          3.13         13.77          0.00
89            16.22          3.12         13.84          1.58
90            16.33          3.12         13.80          0.00
91            16.08          3.09         13.80          0.00
92            16.46          3.12         13.82          0.00
93            16.13          3.12         13.81          0.00
94            16.06          3.11         13.80          0.00
95            15.94          3.12         13.82          0.00
96            16.07          3.14         13.77          0.00
97            15.94          3.13         13.79          0.00
98            15.92          3.27         13.67          0.00
99            16.54          3.15         13.78          1.61
100           16.28          3.13         13.78          0.00
101           16.35          3.12         13.83          0.00
102           16.10          3.27         13.68          0.00
103           16.07          3.13         13.80          0.00
104           16.30          3.12         13.84          0.00
105           16.02          3.13         13.80          0.00
106           16.42          3.13         13.84          0.00
107           16.00          3.28         13.70          0.00
108           16.29          3.14         13.81          0.00
109           15.92          3.12         13.84          1.59
110           16.10          3.11         13.85          0.00
111           16.32          3.11         13.84          0.00
112           16.45          3.13         13.78          0.00
113           15.99          3.12         13.82          0.00
114           16.21          3.11         13.86          0.00
115           16.39          3.14         13.80          0.00
116           16.27          3.13         13.84          0.00
117           15.93          3.12         13.86          0.00
118           16.30          3.15         13.79          0.00
119           16.40          3.15         13.82          1.62
120           16.17          3.13         13.84          0.00
121           15.98          3.12         13.81          0.00
122           16.40          3.11         13.81          0.00
123           16.14          3.13         13.67          0.00
124           16.51          3.13         13.85          0.00
125           16.31          3.11         13.86          0.00
126           16.15          3.15         13.62          0.00
127           16.45          3.14         13.83          0.00
128           16.41          3.12         13.83          0.00
129           15.97          3.30         13.66          1.77
130           15.89          3.10         13.80          0.00
131           16.01          3.10         13.85          0.00
132           16.19          3.13         13.66          0.00
133           16.15          3.12         13.85          0.00
134           15.98          3.12         13.81          0.00
135           16.02          3.12         13.82          0.00
136           16.54          3.15         13.64          0.00
137           16.08          3.13         13.85          0.00
138           15.88          3.11         13.84          0.00
139           16.16          3.30         13.67          1.79
140           16.21          3.10         13.86          0.00
141           16.37          3.13         13.85          0.00
142           16.34          3.29         13.67          0.00
143           16.08          3.14         13.65          0.00
144           16.20          3.13         13.83          0.00
145           15.99          3.11         13.83          0.00
146           16.08          3.11         13.85          0.00
147           16.34          3.14         13.67          0.00
148           16.16          3.15         13.85          0.00
149           16.18          3.13         13.82          1.63
150           16.03          3.12         13.65          0.00
151           16.10          3.12         13.82          0.00
152           16.00          3.12         13.82          0.00
153           16.28          3.12         13.87          0.00
154           15.94          3.11         13.85          0.00
155           16.52          3.14         13.70          0.00
156           16.01          3.15         13.84          0.00
157           15.96          3.12         13.85          0.00
158           15.94          3.13         13.86          0.00
159           15.91          3.13         13.87          1.64
160           16.08          3.11         13.84          0.00
161           16.21          3.12         13.86          0.00
162           16.29          3.12         13.82          0.00
163           15.88          3.13         13.86          0.00
164           15.95          3.11         13.89          0.00
165           16.37          3.15         13.67          0.00
166           16.51          3.15         13.67          0.00
167           16.37          3.14         13.84          0.00
168           16.26          3.13         13.85          0.00
169           16.16          3.12         13.86          1.62
170           16.08          3.14         13.67          0.00
171           16.51          3.13         13.65          0.00
172           16.11          3.13         13.85          0.00
173           16.36          3.13         13.85          0.00
174           16.05          3.12         13.86          0.00
175           16.38          3.12         13.91          0.00
176           16.00          3.12         13.91          0.00
177           16.42          3.34         13.66          0.00
178           16.35          3.16         13.67          0.00
179           16.04          3.16         13.88          1.67
180           16.19          3.09         13.88          0.00
181           16.43          3.10         13.89          0.00
182           16.27          3.10         13.87          0.00
183           16.03          3.33         13.69          0.00
184           16.20          3.15         13.69          0.00
185           16.28          3.15         13.67          0.00
186           16.32          3.15         13.65          0.00
187           16.33          3.15         13.85          0.00
188           15.97          3.13         13.84          0.00
189           15.95          3.14         13.87          1.61
190           15.97          3.28         13.68          0.00
191           15.99          3.32         13.66          0.00
192           16.11          3.15         13.67          0.00
193           16.11          3.15         13.69          0.00
194           16.31          3.14         13.63          0.00
195           16.43          3.15         13.86          0.00
196           16.26          3.14         13.86          0.00
197           16.26          3.14         13.86          0.00
198           15.95          3.13         13.87          0.00
199           16.31          3.14         13.87          1.62
200           15.98          3.09         13.88          0.00
201           16.03          3.31         13.69          0.00
202           16.29          3.34         13.67          0.00
203           16.42          3.15         13.66          0.00
204           16.19          3.16         13.68          0.00
205           16.27          3.15         13.67          0.00
206           16.20          3.15         13.67          0.00
207           16.50          3.14         13.68          0.00
208           16.53          3.16         13.66          0.00
209           16.36          3.15         13.83          1.64
210           16.35          3.10         13.88          0.00
211           15.96          3.11         13.88          0.00
212           16.40          3.11         13.88          0.00
213           16.37          3.12         13.85          0.00
214           16.01          3.12         13.88          0.00
215           16.20          3.12         13.87          0.00
216           15.94          3.12         13.87          0.00
217           15.92          3.12         13.88          0.00
218           16.10          3.13         13.89          0.00
