

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      4444
Stamps Sum:          4444
Self Time (Agg.):    0.09911


Intervals
---------
exploration ........ 2236
skill model training  410.2
rl training ........ 1777
logging ............ 20.2


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   2236.47   17.20  158.48   15.73     130
skill model training  410.22    3.16    3.89    3.08     130
rl training   1777.21   13.67   14.67   13.50     130
logging        20.20    0.16    1.75    0.00     129


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0            158.48          3.89         14.67          0.00
1             15.97          3.08         13.62          0.00
2             15.96          3.17         13.54          0.00
3             16.06          3.09         13.53          0.00
4             16.08          3.08         13.53          0.00
5             15.98          3.10         13.57          0.00
6             16.12          3.09         13.62          0.00
7             15.73          3.19         13.51          0.00
8             16.11          3.10         13.55          0.00
9             15.83          3.10         13.53          1.71
10            15.80          3.09         13.59          0.00
11            15.90          3.10         13.59          0.00
12            15.83          3.10         13.59          0.00
13            15.97          3.11         13.63          0.00
14            16.18          3.11         13.63          0.00
15            16.08          3.10         13.59          0.00
16            16.18          3.11         13.59          0.00
17            16.23          3.12         13.58          0.00
18            15.94          3.10         13.61          0.00
19            16.05          3.12         13.58          1.69
20            16.08          3.09         13.62          0.00
21            15.98          3.10         13.62          0.00
22            16.05          3.10         13.60          0.00
23            16.08          3.11         13.62          0.00
24            15.97          3.10         13.62          0.00
25            15.90          3.12         13.63          0.00
26            16.29          3.12         13.59          0.00
27            15.86          3.11         13.60          0.00
28            16.17          3.12         13.60          0.00
29            15.98          3.22         13.61          1.66
30            16.17          3.10         13.60          0.00
31            15.92          3.11         13.60          0.00
32            16.06          3.12         13.62          0.00
33            15.84          3.22         13.62          0.00
34            16.09          3.09         13.60          0.00
35            16.11          3.11         13.66          0.00
36            16.17          3.12         13.63          0.00
37            16.31          3.12         13.62          0.00
38            16.15          3.13         13.60          0.00
39            15.94          3.22         13.66          1.61
40            16.19          3.11         13.62          0.00
41            15.83          3.22         13.63          0.00
42            16.05          3.12         13.64          0.00
43            16.03          3.11         13.61          0.00
44            16.04          3.13         13.62          0.00
45            16.08          3.24         13.62          0.00
46            16.05          3.13         13.61          0.00
47            15.89          3.12         13.62          0.00
48            16.00          3.13         13.66          0.00
49            16.17          3.25         13.64          1.59
50            15.90          3.11         13.63          0.00
51            16.04          3.11         13.63          0.00
52            16.18          3.12         13.65          0.00
53            15.94          3.13         13.63          0.00
54            16.13          3.23         13.53          0.00
55            16.19          3.12         13.66          0.00
56            16.06          3.12         13.61          0.00
57            16.06          3.26         13.69          0.00
58            16.45          3.21         13.88          0.00
59            16.36          3.25         14.12          1.62
60            16.83          3.23         14.06          0.00
61            16.19          3.25         13.64          0.00
62            15.90          3.11         13.66          0.00
63            15.97          3.13         13.65          0.00
64            16.02          3.12         13.66          0.00
65            16.11          3.13         13.66          0.00
66            16.07          3.15         14.18          0.00
67            16.54          3.12         13.64          0.00
68            16.10          3.18         14.20          0.00
69            16.22          3.26         13.56          1.75
70            16.68          3.33         14.05          0.00
71            16.79          3.12         13.64          0.00
72            16.19          3.12         13.62          0.00
73            16.04          3.11         13.67          0.00
74            16.19          3.13         13.62          0.00
75            15.96          3.12         13.66          0.00
76            16.34          3.13         13.66          0.00
77            15.82          3.11         13.66          0.00
78            16.24          3.13         13.63          0.00
79            16.06          3.25         13.52          1.73
80            15.79          3.10         13.67          0.00
81            16.01          3.11         13.63          0.00
82            15.99          3.11         13.67          0.00
83            16.19          3.12         13.64          0.00
84            16.12          3.11         13.65          0.00
85            16.15          3.12         13.62          0.00
86            16.25          3.11         13.66          0.00
87            16.01          3.13         13.63          0.00
88            16.22          3.12         13.67          0.00
89            16.34          3.13         13.68          1.60
90            16.29          3.13         13.65          0.00
91            15.85          3.11         13.69          0.00
92            15.84          3.26         13.50          0.00
93            16.22          3.12         13.67          0.00
94            15.92          3.25         13.53          0.00
95            15.90          3.14         13.71          0.00
96            16.11          3.12         13.70          0.00
97            16.35          3.13         13.64          0.00
98            16.18          3.13         13.72          0.00
99            16.47          3.17         13.75          1.65
100           16.56          3.26         13.76          0.00
101           16.54          3.19         13.77          0.00
102           16.26          3.16         13.70          0.00
103           16.19          3.14         13.63          0.00
104           16.25          3.13         13.67          0.00
105           16.16          3.26         13.57          0.00
106           16.05          3.41         13.99          0.00
107           16.69          3.22         13.73          0.00
108           16.45          3.26         13.93          0.00
109           16.92          3.14         13.66          1.63
110           15.99          3.12         13.66          0.00
111           16.09          3.12         13.80          0.00
112           16.06          3.27         14.11          0.00
113           16.20          3.16         13.70          0.00
114           16.03          3.12         13.74          0.00
115           15.89          3.29         13.52          0.00
116           16.03          3.14         13.69          0.00
117           15.91          3.13         13.70          0.00
118           15.86          3.30         13.57          0.00
119           16.06          3.15         13.68          1.60
120           15.87          3.28         13.53          0.00
121           16.10          3.14         13.68          0.00
122           16.02          3.11         13.69          0.00
123           16.22          3.29         13.52          0.00
124           16.31          3.14         13.71          0.00
125           16.01          3.13         13.69          0.00
126           16.01          3.12         13.75          0.00
127           16.12          3.14         13.68          0.00
128           15.92          3.14         13.68          0.00
129           15.96          3.13         13.69              


---End Timer Report (root)---

