

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      2.182e+04
Stamps Sum:          2.182e+04
Self Time (Agg.):    1.326


Intervals
---------
exploration ........ 1.06e+04
skill model training  2080
rl training ........ 9020
logging ............ 112


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   10604.72   16.07   16.67   15.68     660
skill model training  2080.49    3.15    3.88    3.07     660
rl training   9020.20   13.67   14.70   13.46     660
logging       112.01    0.17    2.07    0.00     659


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.80          3.88         14.70          0.00
1             16.13          3.17         13.52          0.00
2             16.08          3.07         13.50          0.00
3             15.99          3.08         13.51          0.00
4             15.92          3.08         13.61          0.00
5             16.02          3.07         13.61          0.00
6             15.96          3.17         13.54          0.00
7             15.81          3.10         13.52          0.00
8             16.15          3.09         13.51          0.00
9             16.11          3.09         13.57          1.63
10            15.88          3.08         13.58          0.00
11            16.07          3.08         13.60          0.00
12            15.80          3.09         13.58          0.00
13            15.80          3.09         13.57          0.00
14            15.77          3.09         13.56          0.00
15            15.81          3.08         13.57          0.00
16            15.94          3.09         13.56          0.00
17            16.14          3.10         13.59          0.00
18            16.13          3.09         13.58          0.00
19            16.07          3.10         13.58          1.68
20            15.99          3.08         13.55          0.00
21            16.01          3.08         13.60          0.00
22            16.15          3.20         13.60          0.00
23            15.78          3.21         13.59          0.00
24            15.76          3.08         13.71          0.00
25            15.92          3.09         13.60          0.00
26            16.26          3.10         13.58          0.00
27            16.17          3.11         13.59          0.00
28            15.86          3.10         13.60          0.00
29            15.84          3.11         13.60          1.71
30            16.01          3.08         13.63          0.00
31            16.05          3.09         13.61          0.00
32            16.16          3.09         13.57          0.00
33            16.09          3.10         13.63          0.00
34            15.96          3.11         13.60          0.00
35            16.10          3.22         13.61          0.00
36            16.04          3.09         13.59          0.00
37            15.86          3.11         13.60          0.00
38            16.25          3.11         13.62          0.00
39            15.95          3.11         13.59          1.59
40            15.99          3.08         13.63          0.00
41            15.88          3.10         13.60          0.00
42            16.27          3.10         13.58          0.00
43            16.02          3.10         13.64          0.00
44            15.93          3.11         13.59          0.00
45            15.92          3.11         13.62          0.00
46            15.91          3.11         13.63          0.00
47            16.20          3.21         13.61          0.00
48            15.68          3.10         13.61          0.00
49            15.82          3.11         13.63          1.61
50            16.15          3.09         13.62          0.00
51            16.11          3.10         13.60          0.00
52            15.91          3.22         13.70          0.00
53            15.92          3.10         13.66          0.00
54            16.17          3.11         13.63          0.00
55            15.93          3.24         13.61          0.00
56            15.82          3.11         13.62          0.00
57            15.94          3.12         13.65          0.00
