

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      2.365e+04
Stamps Sum:          2.365e+04
Self Time (Agg.):    2.549


Intervals
---------
exploration ........ 1.536e+04
skill model training  1276
rl training ........ 6841
logging ............ 172.9


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   15358.71   15.36   15.98   15.02   1,000
skill model training  1276.15    1.28    2.62    1.19   1,000
rl training   6840.94    6.84    8.18    6.72   1,000
logging       172.89    0.17    2.23    0.00     999


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.26          2.62          8.18          0.00
1             15.41          1.30          6.73          0.00
2             15.30          1.26          6.79          0.00
3             15.11          1.25          6.75          0.00
4             15.43          1.29          6.79          0.00
5             15.09          1.30          6.83          0.00
6             15.32          1.33          6.74          0.00
7             15.20          1.22          6.82          0.00
8             15.09          1.29          6.84          0.00
9             15.08          1.27          6.73          1.74
10            15.17          1.27          6.77          0.00
11            15.48          1.27          6.79          0.00
12            15.33          1.25          6.83          0.00
13            15.16          1.24          6.84          0.00
14            15.60          1.21          6.76          0.00
15            15.53          1.25          6.75          0.00
16            15.18          1.25          6.83          0.00
17            15.42          1.43          6.83          0.00
18            15.20          1.29          6.75          0.00
19            15.31          1.25          6.74          1.70
20            15.28          1.29          6.90          0.00
21            15.35          1.25          6.73          0.00
22            15.41          1.27          6.78          0.00
23            15.29          1.24          6.85          0.00
24            15.26          1.26          6.83          0.00
25            15.32          1.25          6.87          0.00
26            15.58          1.31          6.76          0.00
27            15.37          1.23          6.77          0.00
28            15.56          1.22          6.84          0.00
29            15.20          1.24          6.86          1.59
30            15.26          1.25          6.78          0.00
31            15.38          1.29          6.76          0.00
32            15.42          1.31          6.86          0.00
33            15.34          1.24          6.84          0.00
34            15.44          1.28          6.87          0.00
35            15.41          1.24          6.74          0.00
36            15.28          1.28          6.77          0.00
37            15.20          1.30          6.78          0.00
38            15.15          1.30          6.77          0.00
39            15.17          1.30          6.87          1.62
40            15.26          1.25          6.75          0.00
41            15.21          1.29          6.78          0.00
42            15.34          1.25          6.78          0.00
43            15.41          1.26          6.76          0.00
44            15.24          1.26          6.87          0.00
45            15.12          1.27          6.87          0.00
46            15.18          1.28          6.89          0.00
47            15.20          1.30          6.88          0.00
48            15.14          1.27          6.88          0.00
49            15.64          1.27          6.79          1.58
50            15.31          1.26          6.88          0.00
51            15.44          1.30          6.88          0.00
52            15.17          1.25          6.86          0.00
53            15.43          1.27          6.88          0.00
54            15.38          1.25          6.88          0.00
55            15.25          1.24          6.88          0.00
56            15.21          1.28          6.85          0.00
57            15.44          1.26          6.87          0.00
58            15.53          1.28          6.86          0.00
59            15.49          1.27          6.89          1.63
60            15.41          1.28          6.78          0.00
61            15.48          1.27          6.78          0.00
62            15.38          1.26          6.77          0.00
63            15.61          1.28          6.80          0.00
64            15.61          1.28          6.78          0.00
65            15.45          1.31          6.78          0.00
66            15.41          1.24          6.79          0.00
67            15.42          1.24          6.77          0.00
68            15.53          1.25          6.78          0.00
69            15.25          1.27          6.76          1.71
70            15.37          1.29          6.87          0.00
71            15.41          1.27          6.89          0.00
72            15.53          1.27          6.88          0.00
73            15.56          1.30          6.87          0.00
74            15.17          1.30          6.91          0.00
75            15.31          1.23          6.91          0.00
76            15.20          1.27          6.90          0.00
77            15.10          1.24          6.75          0.00
78            15.39          1.29          6.72          0.00
79            15.45          1.29          6.78          1.71
80            15.06          1.26          6.92          0.00
81            15.52          1.28          6.89          0.00
82            15.52          1.29          6.88          0.00
83            15.09          1.22          6.87          0.00
84            15.35          1.26          6.79          0.00
85            15.47          1.28          6.78          0.00
86            15.54          1.28          6.75          0.00
87            15.24          1.31          6.76          0.00
88            15.26          1.31          6.78          0.00
