

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      2.929e+04
Stamps Sum:          2.929e+04
Self Time (Agg.):    0.3979


Intervals
---------
exploration ........ 2.149e+04
skill model training  3027
rl training ........ 4760
logging ............ 11.52


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   21493.92   61.41   62.26   60.58     350
skill model training  3027.07    8.65    9.66    8.36     350
rl training   4759.52   13.60   14.91   13.47     350
logging        11.52    0.03    1.78    0.00     349


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             60.78          9.66         14.91          0.00
1             61.27          8.51         13.61          0.00
2             60.94          8.68         13.52          0.00
3             60.97          8.55         13.51          0.00
4             61.21          8.39         13.52          0.00
5             61.01          8.57         13.58          0.00
6             61.01          8.46         13.54          0.00
7             61.61          8.44         13.55          0.00
8             61.59          9.06         13.51          0.00
9             61.35          8.50         13.52          0.00
10            61.38          8.55         13.64          0.00
11            61.13          8.82         13.57          0.00
12            61.43          9.10         13.51          0.00
13            61.31          8.58         13.55          0.00
14            61.16          9.04         13.52          0.00
15            60.93          8.66         13.66          0.00
16            61.01          8.54         13.53          0.00
17            60.63          8.59         13.56          0.00
18            61.63          8.76         13.54          0.00
19            60.90          8.57         13.55          0.00
20            61.31          8.61         13.60          0.00
21            61.22          8.81         13.55          0.00
22            61.40          8.50         13.54          0.00
23            61.26          8.61         13.52          0.00
24            60.58          8.59         13.54          0.00
25            61.53          8.86         13.51          0.00
26            61.25          8.74         13.62          0.00
27            61.10          8.70         13.54          0.00
28            61.50          8.60         13.55          0.00
29            61.36          8.64         13.55          0.00
30            61.30          8.78         13.56          0.00
31            61.41          8.75         13.53          0.00
32            60.98          8.55         13.62          0.00
33            61.09          8.84         13.64          0.00
34            61.13          8.81         13.55          0.00
35            61.34          8.64         13.56          0.00
36            61.25          8.56         13.51          0.00
37            61.46          8.65         13.51          0.00
38            61.17          8.64         13.62          0.00
39            61.18          8.65         13.56          0.00
