

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3.282e+04
Stamps Sum:          3.283e+04
Self Time (Agg.):    2.021


Intervals
---------
exploration ........ 1.332e+04
skill model training  7459
rl training ........ 1.191e+04
logging ............ 143.5


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   13317.85   15.13   15.81   14.81     880
skill model training  7459.06    8.48    9.81    8.12     880
rl training   11905.77   13.53   14.81   13.34     880
logging       143.52    0.16    2.05    0.00     879


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.06          9.81         14.81          0.00
1             15.29          8.28         13.43          0.00
2             14.88          8.42         13.43          0.00
3             15.23          8.24         13.46          0.00
4             15.05          8.56         13.50          0.00
5             14.85          8.53         13.38          0.00
6             14.84          8.75         13.45          0.00
7             14.97          8.30         13.43          0.00
8             14.89          8.44         13.39          0.00
9             15.17          8.43         13.42          1.62
10            14.83          8.50         13.41          0.00
11            14.89          8.57         13.45          0.00
12            15.10          8.51         13.53          0.00
13            15.22          8.41         13.43          0.00
14            15.19          8.44         13.44          0.00
15            15.14          8.53         13.43          0.00
16            14.87          8.43         13.42          0.00
17            15.17          8.56         13.43          0.00
18            15.17          8.50         13.45          0.00
19            14.95          8.39         13.44          1.61
20            15.08          8.19         13.46          0.00
21            15.27          8.38         13.47          0.00
22            15.19          8.37         13.45          0.00
23            14.91          8.44         13.47          0.00
24            14.96          8.31         13.44          0.00
25            14.90          8.52         13.54          0.00
26            15.17          8.36         13.47          0.00
27            15.11          8.36         13.42          0.00
28            14.95          8.40         13.46          0.00
29            14.95          8.25         13.48          1.60
30            15.12          8.31         13.47          0.00
31            15.18          8.18         13.45          0.00
32            15.36          8.46         13.47          0.00
33            15.08          8.35         13.47          0.00
34            14.88          8.42         13.60          0.00
35            15.01          8.31         13.49          0.00
36            15.35          8.40         13.47          0.00
37            15.24          8.31         13.46          0.00
38            14.90          8.47         13.46          0.00
39            15.12          8.48         13.52          1.62
40            15.12          8.75         13.41          0.00
41            15.23          8.54         13.48          0.00
42            14.94          8.44         13.50          0.00
43            15.07          8.41         13.46          0.00
44            14.90          8.64         13.49          0.00
