

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      4680
Stamps Sum:          4680
Self Time (Agg.):    0.1135


Intervals
---------
exploration ........ 2460
skill model training  134.6
rl training ........ 2062
logging ............ 23.69


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   2460.03   16.40   16.76   16.07     150
skill model training  134.58    0.90    1.67    0.87     150
rl training   2062.02   13.75   14.84   13.60     150
logging        23.69    0.16    1.79    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             16.38          1.67         14.84          0.00
1             16.56          0.88         13.70          0.00
2             16.32          0.88         13.74          0.00
3             16.52          0.97         13.68          0.00
4             16.60          0.88         13.62          0.00
5             16.26          0.89         13.63          0.00
6             16.33          0.88         13.66          0.00
7             16.53          0.89         13.66          0.00
8             16.24          0.88         13.65          0.00
9             16.60          0.88         13.63          1.72
10            16.11          0.87         13.78          0.00
11            16.38          0.88         13.70          0.00
12            16.53          0.89         13.67          0.00
13            16.62          0.89         13.73          0.00
14            16.15          0.88         13.70          0.00
15            16.62          0.89         13.71          0.00
16            16.21          0.88         13.70          0.00
17            16.18          0.89         13.67          0.00
18            16.56          0.89         13.82          0.00
19            16.56          0.89         13.69          1.68
20            16.23          0.88         13.72          0.00
21            16.41          0.88         13.82          0.00
22            16.10          0.88         13.71          0.00
23            16.58          0.89         13.72          0.00
24            16.69          0.88         13.73          0.00
25            16.38          0.89         13.67          0.00
26            16.22          0.88         13.71          0.00
27            16.20          0.89         13.71          0.00
28            16.32          0.89         13.71          0.00
29            16.48          0.89         13.70          1.62
30            16.25          0.88         13.86          0.00
31            16.40          0.89         13.71          0.00
32            16.25          0.88         13.74          0.00
33            16.27          0.89         13.70          0.00
34            16.30          0.89         13.72          0.00
35            16.38          0.89         13.73          0.00
36            16.18          0.89         13.70          0.00
37            16.56          0.90         13.75          0.00
38            16.55          0.89         13.74          0.00
39            16.14          0.89         13.73          1.69
40            16.39          0.89         13.72          0.00
41            16.14          0.89         13.72          0.00
42            16.43          0.89         13.74          0.00
43            16.16          0.88         13.77          0.00
44            16.23          0.90         13.74          0.00
45            16.74          0.90         13.73          0.00
46            16.19          0.88         13.74          0.00
47            16.45          0.89         13.75          0.00
48            16.54          0.90         13.71          0.00
49            16.21          0.88         13.74          1.74
50            16.27          0.88         13.73          0.00
51            16.25          0.89         13.74          0.00
52            16.42          0.88         13.76          0.00
53            16.43          0.90         13.73          0.00
54            16.47          1.00         13.73          0.00
55            16.30          0.89         13.75          0.00
56            16.44          0.90         13.74          0.00
57            16.20          0.89         13.74          0.00
58            16.29          0.90         13.75          0.00
59            16.20          0.89         13.75          1.73
60            16.49          0.89         13.74          0.00
61            16.28          0.90         13.72          0.00
62            16.46          0.89         13.75          0.00
63            16.30          0.89         13.76          0.00
64            16.19          0.89         13.73          0.00
65            16.34          0.90         13.74          0.00
66            16.57          0.89         13.76          0.00
67            16.67          0.90         13.79          0.00
68            16.31          0.89         13.80          0.00
69            16.29          0.90         13.76          1.64
70            16.51          0.89         13.77          0.00
71            16.62          0.89         13.75          0.00
72            16.71          0.89         13.74          0.00
73            16.42          0.89         13.76          0.00
74            16.40          0.90         13.64          0.00
75            16.26          0.89         13.77          0.00
76            16.24          0.88         13.77          0.00
77            16.49          0.89         13.74          0.00
78            16.37          0.89         13.80          0.00
79            16.58          0.90         13.72          1.64
80            16.48          0.88         13.74          0.00
81            16.13          0.89         13.75          0.00
82            16.40          0.89         13.77          0.00
83            16.64          0.89         13.77          0.00
84            16.34          0.89         13.75          0.00
85            16.28          0.89         13.64          0.00
86            16.63          0.90         13.75          0.00
87            16.07          0.88         13.75          0.00
88            16.31          0.90         13.76          0.00
89            16.46          0.90         13.76          1.63
90            16.59          0.89         13.73          0.00
91            16.54          0.89         13.77          0.00
92            16.36          0.89         13.62          0.00
93            16.50          0.90         13.75          0.00
94            16.26          0.89         13.80          0.00
95            16.31          0.90         13.76          0.00
96            16.16          0.89         13.76          0.00
97            16.58          0.89         13.78          0.00
98            16.26          0.90         13.75          0.00
99            16.60          0.89         14.01          1.59
100           16.38          0.89         13.74          0.00
101           16.62          0.89         13.77          0.00
102           16.22          0.88         13.79          0.00
103           16.68          0.90         13.61          0.00
104           16.56          0.89         13.79          0.00
105           16.15          0.89         13.77          0.00
106           16.28          0.90         13.64          0.00
107           16.59          0.90         13.76          0.00
108           16.65          0.92         13.78          0.00
109           16.54          0.89         13.81          1.79
110           16.50          0.89         13.78          0.00
111           16.29          0.89         13.79          0.00
112           16.76          0.90         13.65          0.00
113           16.28          0.90         13.79          0.00
114           16.26          0.89         13.78          0.00
115           16.47          0.89         13.79          0.00
116           16.69          0.90         13.65          0.00
117           16.58          0.90         13.76          0.00
118           16.47          0.89         13.78          0.00
119           16.23          0.89         13.82          1.61
120           16.30          0.89         13.82          0.00
121           16.40          0.89         13.75          0.00
122           16.47          0.89         13.83          0.00
123           16.39          0.90         13.65          0.00
124           16.62          0.89         13.81          0.00
125           16.23          0.89         13.79          0.00
126           16.21          0.89         13.77          0.00
127           16.24          0.89         13.82          0.00
128           16.38          0.90         13.62          0.00
129           16.34          0.90         13.76          1.64
130           16.47          0.88         13.78          0.00
131           16.65          0.90         13.62          0.00
132           16.76          0.89         13.78          0.00
133           16.51          0.90         13.77          0.00
134           16.53          0.89         13.80          0.00
135           16.26          0.89         13.84          0.00
136           16.35          0.90         13.64          0.00
137           16.35          0.90         13.64          0.00
138           16.55          0.90         13.77          0.00
139           16.45          0.90         13.81          1.61
140           16.25          0.90         13.60          0.00
141           16.26          0.89         13.66          0.00
142           16.28          0.90         13.79          0.00
143           16.24          0.89         13.81          0.00
144           16.40          0.89         13.80          0.00
145           16.45          0.89         13.82          0.00
146           16.67          0.89         13.82          0.00
147           16.64          0.90         13.64          0.00
148           16.43          0.90         13.65          0.00
149           16.51          0.90         13.83              


---End Timer Report (root)---

