

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      1.178e+04
Stamps Sum:          1.178e+04
Self Time (Agg.):    0.1121


Intervals
---------
exploration ........ 9571
skill model training  135.1
rl training ........ 2048
logging ............ 24.11


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   9571.13   63.81  309.32   61.53     150
skill model training  135.07    0.90    1.66    0.88     150
rl training   2048.18   13.65   14.70   13.49     150
logging        24.11    0.16    1.80    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0            309.32          1.66         14.70          0.00
1             62.16          0.88         13.59          0.00
2             61.86          0.88         13.58          0.00
3             61.70          0.88         13.68          0.00
4             61.93          0.89         13.57          0.00
5             62.15          0.89         13.62          0.00
6             61.77          0.88         13.68          0.00
7             62.24          0.89         13.57          0.00
8             61.85          0.89         13.58          0.00
9             61.88          0.88         13.66          1.63
10            62.13          0.88         13.62          0.00
11            62.02          0.88         13.60          0.00
12            62.43          0.89         13.60          0.00
13            62.02          0.88         13.63          0.00
14            62.05          0.88         13.62          0.00
15            61.62          0.88         13.66          0.00
16            62.01          0.89         13.64          0.00
17            61.93          0.89         13.59          0.00
18            62.32          0.89         13.64          0.00
19            62.11          0.89         13.65          1.70
20            62.34          0.88         13.63          0.00
21            62.51          0.89         13.65          0.00
22            61.97          0.89         13.59          0.00
23            62.46          0.97         13.62          0.00
24            61.92          0.89         13.62          0.00
25            62.26          0.89         13.64          0.00
26            62.18          0.90         13.64          0.00
27            62.31          0.89         13.65          0.00
28            62.24          0.89         13.74          0.00
29            61.84          0.89         13.65          1.72
30            61.95          0.89         13.64          0.00
31            61.69          0.89         13.63          0.00
32            61.70          0.89         13.64          0.00
33            61.80          0.89         13.60          0.00
34            62.17          0.89         13.66          0.00
35            62.42          0.89         13.67          0.00
36            62.11          0.89         13.66          0.00
37            62.36          0.90         13.62          0.00
38            62.11          0.89         13.61          0.00
39            61.96          0.89         13.66          1.61
40            62.56          0.89         13.66          0.00
41            62.46          0.89         13.66          0.00
42            61.95          0.88         13.68          0.00
43            62.26          0.88         13.68          0.00
44            62.87          0.90         13.66          0.00
45            62.15          0.89         13.66          0.00
46            62.53          0.90         13.67          0.00
47            62.60          0.90         13.63          0.00
48            62.67          0.90         13.66          0.00
49            62.54          0.89         13.68          1.70
50            61.74          0.89         13.65          0.00
51            62.38          0.89         13.66          0.00
52            62.35          0.89         13.69          0.00
53            62.20          0.89         13.67          0.00
54            62.01          0.89         13.64          0.00
55            61.74          0.90         13.65          0.00
56            62.34          0.90         13.66          0.00
57            62.28          0.90         13.69          0.00
58            62.68          0.89         13.67          0.00
59            61.91          0.89         13.68          1.63
60            62.41          0.88         13.71          0.00
61            62.13          0.89         13.68          0.00
62            62.26          0.89         13.69          0.00
63            61.88          0.89         13.68          0.00
64            61.70          0.90         13.70          0.00
65            62.38          0.89         13.70          0.00
66            62.46          0.89         13.69          0.00
67            61.78          0.90         13.68          0.00
68            62.37          0.90         13.70          0.00
69            62.61          0.89         13.72          1.76
