

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      7459
Stamps Sum:          7459
Self Time (Agg.):    0.3337


Intervals
---------
exploration ........ 4813
skill model training  483.4
rl training ........ 2113
logging ............ 49.57


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   4813.07   16.04   16.47   15.69     300
skill model training  483.41    1.61    2.36    1.57     300
rl training   2113.07    7.04    8.14    6.93     300
logging        49.57    0.17    1.85    0.00     299


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.94          2.36          8.14          0.00
1             16.14          1.58          6.95          0.00
2             16.04          1.58          7.01          0.00
3             16.16          1.67          6.96          0.00
4             15.78          1.58          7.01          0.00
5             15.69          1.58          7.04          0.00
6             16.15          1.58          7.02          0.00
7             15.74          1.58          7.03          0.00
8             16.17          1.59          6.93          0.00
9             16.07          1.59          7.04          1.70
10            15.76          1.58          7.06          0.00
11            15.77          1.58          7.07          0.00
12            16.09          1.59          6.93          0.00
13            15.88          1.60          7.05          0.00
14            15.74          1.58          7.04          0.00
15            15.85          1.59          6.97          0.00
16            16.26          1.59          7.05          0.00
17            15.73          1.58          7.05          0.00
18            16.16          1.60          6.96          0.00
19            16.26          1.60          7.02          1.62
20            16.20          1.58          6.94          0.00
21            16.18          1.58          7.04          0.00
22            16.01          1.58          7.08          0.00
23            15.87          1.58          7.07          0.00
24            15.97          1.59          7.00          0.00
25            15.97          1.59          7.04          0.00
26            16.00          1.58          7.06          0.00
27            15.72          1.59          7.06          0.00
28            16.16          1.59          6.99          0.00
29            15.96          1.60          6.98          1.71
30            16.13          1.67          6.98          0.00
31            15.82          1.58          6.96          0.00
32            15.89          1.58          6.95          0.00
33            15.89          1.59          7.05          0.00
34            15.74          1.58          7.09          0.00
35            16.14          1.69          6.99          0.00
36            16.05          1.60          6.96          0.00
37            16.06          1.60          6.99          0.00
38            15.93          1.59          7.08          0.00
39            15.74          1.59          7.06          1.63
40            16.05          1.58          6.95          0.00
41            16.01          1.59          7.06          0.00
42            15.77          1.58          7.08          0.00
43            16.18          1.58          7.09          0.00
44            15.76          1.59          7.07          0.00
45            15.85          1.70          6.98          0.00
46            15.88          1.60          6.99          0.00
47            16.25          1.60          6.96          0.00
48            16.05          1.60          6.96          0.00
49            16.07          1.60          7.05          1.62
50            16.13          1.58          6.98          0.00
51            15.88          1.59          6.98          0.00
52            16.16          1.60          6.94          0.00
53            16.08          1.59          6.95          0.00
54            15.88          1.60          7.08          0.00
55            16.05          1.59          7.10          0.00
56            16.02          1.59          7.10          0.00
57            15.74          1.59          7.10          0.00
58            15.83          1.59          7.13          0.00
59            16.11          1.59          7.12          1.65
60            16.25          1.59          6.98          0.00
61            16.23          1.60          6.98          0.00
62            16.17          1.60          7.11          0.00
63            15.84          1.59          7.09          0.00
64            16.21          1.60          7.12          0.00
65            16.04          1.59          7.09          0.00
66            15.92          1.59          7.09          0.00
67            15.91          1.59          7.11          0.00
68            16.22          1.60          7.12          0.00
69            15.80          1.60          7.08          1.65
70            16.13          1.59          6.99          0.00
71            15.87          1.60          6.98          0.00
72            16.13          1.60          7.01          0.00
73            16.01          1.60          7.00          0.00
74            16.00          1.60          6.99          0.00
75            16.04          1.60          6.97          0.00
76            16.00          1.60          7.00          0.00
77            16.16          1.61          7.00          0.00
78            16.30          1.61          6.98          0.00
79            15.94          1.60          6.98          1.74
80            15.78          1.58          7.07          0.00
81            15.82          1.59          7.09          0.00
82            16.19          1.59          7.11          0.00
83            16.25          1.59          6.94          0.00
84            16.01          1.60          7.00          0.00
85            16.06          1.60          6.99          0.00
86            15.94          1.60          6.97          0.00
87            16.15          1.61          6.95          0.00
88            16.05          1.60          6.97          0.00
89            16.12          1.60          6.98          1.71
90            15.85          1.59          7.09          0.00
91            16.18          1.58          7.10          0.00
92            15.81          1.59          6.97          0.00
93            16.12          1.59          6.96          0.00
94            15.99          1.60          6.97          0.00
95            16.30          1.60          6.97          0.00
96            16.07          1.61          6.97          0.00
97            15.89          1.60          6.98          0.00
98            16.16          1.60          6.97          0.00
99            15.95          1.61          6.99          1.65
100           16.22          1.60          6.97          0.00
101           15.98          1.61          6.99          0.00
102           15.78          1.60          7.01          0.00
103           15.92          1.61          6.99          0.00
104           15.81          1.57          7.15          0.00
105           15.81          1.61          7.14          0.00
106           15.90          1.60          7.12          0.00
107           16.14          1.60          7.11          0.00
108           16.01          1.60          6.99          0.00
109           16.20          1.61          7.00          1.78
110           15.88          1.61          7.10          0.00
111           15.73          1.60          6.99          0.00
112           15.85          1.62          6.98          0.00
113           16.21          1.62          7.01          0.00
114           16.07          1.61          6.99          0.00
115           15.94          1.77          7.00          0.00
116           16.08          1.59          7.15          0.00
117           16.22          1.61          7.16          0.00
118           16.25          1.60          7.12          0.00
119           15.83          1.61          6.98          1.75
120           15.86          1.58          7.12          0.00
121           15.81          1.59          6.96          0.00
122           16.28          1.61          6.97          0.00
123           15.97          1.61          6.97          0.00
124           16.05          1.61          7.00          0.00
125           16.21          1.58          7.13          0.00
126           16.14          1.61          7.14          0.00
127           15.83          1.60          6.99          0.00
128           16.09          1.61          7.00          0.00
129           16.21          1.61          7.00          1.76
130           15.73          1.60          6.98          0.00
131           16.20          1.61          6.98          0.00
132           15.76          1.79          6.98          0.00
133           15.94          1.58          7.17          0.00
134           16.25          1.61          7.11          0.00
135           15.94          1.61          6.99          0.00
136           16.35          1.62          6.98          0.00
137           16.00          1.62          7.02          0.00
138           16.06          1.58          7.16          0.00
139           16.22          1.61          7.15          1.64
140           16.11          1.59          7.14          0.00
141           15.93          1.59          7.12          0.00
142           16.03          1.60          6.98          0.00
143           16.10          1.61          6.98          0.00
144           16.07          1.61          7.00          0.00
145           16.12          1.58          7.15          0.00
146           15.86          1.60          7.15          0.00
147           15.93          1.61          6.98          0.00
148           16.20          1.61          7.01          0.00
149           16.27          1.62          7.01          1.61
150           15.99          1.61          6.97          0.00
151           15.88          1.58          7.19          0.00
152           16.18          1.61          7.15          0.00
153           16.19          1.61          7.01          0.00
154           16.35          1.62          6.98          0.00
155           16.16          1.78          7.01          0.00
156           15.94          1.58          7.17          0.00
157           16.01          1.62          7.01          0.00
158           16.41          1.62          7.00          0.00
159           16.15          1.63          7.01          1.61
160           16.02          1.62          7.00          0.00
161           15.91          1.58          7.16          0.00
162           16.15          1.61          7.15          0.00
163           15.99          1.60          7.00          0.00
164           16.12          1.62          7.01          0.00
165           16.20          1.58          7.17          0.00
166           15.85          1.61          6.97          0.00
167           16.02          1.62          6.99          0.00
168           16.47          1.62          7.01          0.00
169           16.15          1.58          7.17          1.60
170           15.69          1.58          7.18          0.00
171           15.88          1.60          6.97          0.00
172           15.84          1.61          7.00          0.00
173           16.27          1.61          7.01          0.00
174           16.12          1.57          7.14          0.00
175           16.17          1.61          6.98          0.00
176           16.31          1.62          7.00          0.00
177           16.10          1.78          7.03          0.00
178           16.09          1.58          7.14          0.00
179           16.11          1.61          7.00          1.80
180           16.10          1.59          6.98          0.00
181           16.10          1.61          7.00          0.00
182           16.00          1.58          7.15          0.00
183           16.07          1.61          6.97          0.00
184           16.04          1.60          6.98          0.00
185           16.28          1.58          7.18          0.00
186           16.27          1.61          6.98          0.00
187           16.34          1.61          7.01          0.00
188           15.95          1.62          7.00          0.00
189           15.78          1.58          7.17          1.61
190           15.91          1.59          7.17          0.00
191           16.32          1.59          6.96          0.00
192           15.99          1.61          6.98          0.00
193           16.19          1.58          7.18          0.00
194           15.79          1.60          6.97          0.00
195           16.04          1.61          7.00          0.00
196           16.03          1.58          7.18          0.00
197           16.04          1.61          6.97          0.00
198           16.10          1.61          7.01          0.00
199           16.16          1.78          7.00          1.62
200           15.95          1.58          7.20          0.00
201           16.10          1.60          6.99          0.00
