

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      2.058e+04
Stamps Sum:          2.058e+04
Self Time (Agg.):    0.1122


Intervals
---------
exploration ........ 1.925e+04
skill model training  242
rl training ........ 1058
logging ............ 23.33


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   19253.08  128.35  252.62  126.31     150
skill model training  241.99    1.61    2.39    1.58     150
rl training   1058.38    7.06    8.14    6.91     150
logging        23.33    0.16    1.75    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0            252.62          2.39          8.14          0.00
1            127.58          1.58          7.02          0.00
2            127.59          1.59          6.91          0.00
3            127.20          1.59          7.03          0.00
4            126.65          1.59          7.02          0.00
5            127.04          1.66          6.95          0.00
6            126.31          1.59          7.03          0.00
7            127.78          1.59          6.94          0.00
8            127.11          1.58          7.04          0.00
9            127.17          1.59          7.04          1.66
10           127.34          1.59          7.07          0.00
11           127.50          1.59          7.05          0.00
12           127.68          1.58          7.07          0.00
13           126.76          1.59          7.07          0.00
14           126.81          1.60          7.06          0.00
15           126.42          1.58          7.10          0.00
16           127.65          1.59          7.07          0.00
17           128.07          1.59          7.10          0.00
18           127.52          1.68          7.00          0.00
19           127.84          1.68          6.98          1.75
20           126.84          1.59          6.98          0.00
21           127.46          1.59          6.97          0.00
22           127.39          1.58          7.11          0.00
23           127.03          1.59          7.08          0.00
24           127.11          1.59          7.09          0.00
25           127.48          1.60          6.97          0.00
26           127.56          1.60          6.97          0.00
27           127.81          1.59          7.10          0.00
28           127.84          1.59          7.07          0.00
29           127.49          1.59          7.08          1.62
30           126.78          1.58          7.07          0.00
31           127.74          1.59          6.97          0.00
32           126.79          1.59          7.08          0.00
33           127.07          1.59          6.98          0.00
34           127.25          1.60          7.09          0.00
35           127.88          1.60          6.96          0.00
36           127.75          1.59          7.09          0.00
37           127.64          1.63          6.96          0.00
38           127.07          1.59          7.08          0.00
39           126.50          1.60          7.08          1.63
40           127.97          1.58          7.00          0.00
41           127.44          1.59          7.10          0.00
42           127.13          1.59          7.12          0.00
43           127.68          1.60          7.00          0.00
44           128.24          1.60          7.08          0.00
45           127.27          1.60          7.10          0.00
46           127.93          1.61          6.96          0.00
47           127.88          1.60          6.97          0.00
48           127.29          1.59          7.09          0.00
49           127.52          1.59          7.11          1.59
50           126.63          1.59          7.08          0.00
51           127.57          1.59          7.09          0.00
52           128.60          1.59          7.11          0.00
53           127.11          1.59          7.10          0.00
54           127.96          1.59          7.11          0.00
55           126.69          1.59          7.12          0.00
56           127.01          1.71          7.02          0.00
57           127.04          1.60          6.98          0.00
58           127.82          1.61          7.00          0.00
59           127.18          1.61          6.98          1.73
60           127.33          1.59          7.09          0.00
61           127.88          1.59          6.97          0.00
62           126.51          1.60          6.96          0.00
63           127.18          1.60          6.98          0.00
64           127.54          1.60          7.00          0.00
65           127.73          1.71          7.01          0.00
66           127.42          1.60          7.12          0.00
67           128.07          1.59          7.15          0.00
68           128.13          1.60          7.10          0.00
69           128.28          1.60          7.06          1.64
70           128.05          1.58          7.11          0.00
71           126.86          1.59          6.99          0.00
72           127.28          1.59          6.99          0.00
73           128.00          1.59          7.13          0.00
74           127.42          1.60          7.10          0.00
75           127.15          1.60          6.96          0.00
76           128.10          1.60          7.11          0.00
77           128.25          1.60          7.09          0.00
78           127.46          1.60          6.99          0.00
79           126.57          1.61          7.01          1.61
80           127.92          1.72          7.00          0.00
81           127.41          1.60          7.10          0.00
82           127.26          1.61          7.01          0.00
83           127.79          1.59          7.12          0.00
84           127.58          1.61          7.01          0.00
85           127.77          1.60          7.11          0.00
86           127.10          1.61          7.01          0.00
87           127.26          1.61          7.12          0.00
88           127.55          1.62          7.00          0.00
89           126.80          1.60          7.13          1.62
90           126.55          1.59          7.11          0.00
91           128.27          1.72          7.00          0.00
92           127.62          1.60          6.99          0.00
93           127.74          1.60          7.12          0.00
94           127.92          1.60          6.99          0.00
95           128.33          1.61          6.98          0.00
96           126.93          1.59          7.15          0.00
97           127.34          1.60          6.99          0.00
98           127.94          1.60          7.11          0.00
99           127.32          1.72          7.00          1.61
100          127.95          1.60          7.15          0.00
101          127.43          1.60          7.16          0.00
102          128.02          1.61          6.99          0.00
103          127.58          1.61          7.00          0.00
104          127.40          1.61          7.12          0.00
105          127.83          1.61          7.14          0.00
106          128.40          1.73          6.98          0.00
107          127.40          1.60          7.00          0.00
108          127.16          1.61          6.99          0.00
109          127.72          1.61          7.16          1.60
110          128.59          1.59          7.00          0.00
111          126.87          1.59          7.00          0.00
112          127.54          1.59          6.98          0.00
113          128.80          1.60          6.99          0.00
114          127.08          1.60          7.14          0.00
115          127.13          1.61          7.12          0.00
116          127.85          1.60          7.14          0.00
117          128.02          1.60          7.15          0.00
118          127.43          1.60          7.17          0.00
119          127.78          1.75          7.03          1.61
120          127.63          1.61          7.01          0.00
121          127.44          1.61          7.01          0.00
122          127.83          1.61          7.01          0.00
123          126.76          1.62          6.99          0.00
124          127.29          1.61          7.01          0.00
125          127.56          1.62          7.01          0.00
126          127.68          1.62          7.03          0.00
127          127.54          1.61          7.02          0.00
128          127.48          1.61          7.03          0.00
129          128.20          1.61          7.05          1.65
130          128.39          1.61          7.01          0.00
131          128.72          1.61          7.01          0.00
132          127.57          1.61          7.16          0.00
133          127.89          1.60          7.15          0.00
134          128.15          1.61          7.16          0.00
135          127.42          1.62          6.99          0.00
136          128.13          1.62          7.02          0.00
137          128.49          1.62          7.02          0.00
138          126.49          1.75          7.02          0.00
139          126.95          1.62          7.15          1.66
140          128.25          1.59          7.18          0.00
141          128.11          1.60          6.99          0.00
142          127.64          1.60          7.03          0.00
143          127.77          1.61          7.02          0.00
144          127.80          1.60          7.16          0.00
145          126.43          1.61          7.00          0.00
146          127.86          1.61          6.99          0.00
147          128.31          1.75          7.01          0.00
148          127.03          1.60          7.14          0.00
149          127.60          1.61          7.00              


---End Timer Report (root)---

