

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      2.555e+04
Stamps Sum:          2.555e+04
Self Time (Agg.):    0.1146


Intervals
---------
exploration ........ 2.333e+04
skill model training  135.4
rl training ........ 2057
logging ............ 23.91


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   23331.28  155.54  309.90  153.33     150
skill model training  135.42    0.90    1.37    0.88     150
rl training   2056.74   13.71   14.61   13.54     150
logging        23.91    0.16    1.86    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0            309.90          1.37         14.61          0.00
1            154.34          0.88         13.78          0.00
2            155.00          0.89         13.73          0.00
3            155.31          0.89         13.54          0.00
4            154.45          0.89         13.75          0.00
5            153.65          0.89         13.76          0.00
6            155.21          0.89         13.56          0.00
7            153.33          0.89         13.75          0.00
8            154.22          0.89         13.72          0.00
9            154.45          0.90         13.56          1.77
10           154.17          0.90         13.56          0.00
11           154.60          0.89         13.73          0.00
12           154.62          0.90         13.57          0.00
13           153.34          0.89         13.75          0.00
14           154.23          0.90         13.56          0.00
15           154.32          0.89         13.76          0.00
16           153.91          0.90         13.72          0.00
17           155.04          0.90         13.79          0.00
18           154.55          0.90         13.73          0.00
19           154.74          0.89         13.76          1.63
20           155.83          0.88         13.75          0.00
21           154.34          0.90         13.58          0.00
22           154.93          0.89         13.74          0.00
23           154.27          0.89         13.78          0.00
24           155.06          0.89         13.73          0.00
25           153.98          0.89         13.76          0.00
26           154.10          0.90         13.57          0.00
27           154.59          0.89         13.74          0.00
28           154.71          0.89         13.57          0.00
29           153.88          0.90         13.74          1.57
30           154.69          0.89         13.57          0.00
31           154.18          0.89         13.73          0.00
32           153.38          0.89         13.74          0.00
33           154.70          0.89         13.60          0.00
34           154.10          0.89         13.72          0.00
35           154.38          0.88         13.77          0.00
36           153.58          0.90         13.57          0.00
37           153.95          0.89         13.58          0.00
38           154.57          0.89         13.79          0.00
39           154.66          0.89         13.77          1.59
40           154.50          0.89         13.73          0.00
41           154.07          0.89         13.73          0.00
42           155.15          0.89         13.78          0.00
43           154.40          0.90         13.59          0.00
44           154.75          0.90         13.57          0.00
45           155.05          0.90         13.76          0.00
46           155.08          0.89         13.78          0.00
47           155.03          0.89         13.77          0.00
48           154.20          0.90         13.58          0.00
49           153.70          0.90         13.54          1.81
50           154.09          0.89         13.77          0.00
51           154.38          0.90         13.78          0.00
52           155.03          0.90         13.79          0.00
53           153.93          0.89         13.76          0.00
54           154.96          0.90         13.59          0.00
55           153.83          0.90         13.61          0.00
56           153.70          0.90         13.56          0.00
57           154.47          0.90         13.57          0.00
58           154.56          0.90         13.78          0.00
59           154.03          0.90         13.72          1.61
60           153.55          0.88         13.81          0.00
61           154.45          0.89         13.79          0.00
62           154.82          0.89         13.78          0.00
63           154.70          0.89         13.78          0.00
64           153.91          0.89         13.79          0.00
65           155.45          0.89         13.80          0.00
66           155.17          0.89         13.83          0.00
67           155.01          0.89         13.76          0.00
68           154.76          0.89         13.83          0.00
69           154.17          0.89         13.77          1.58
70           155.32          0.90         13.59          0.00
