

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      4748
Stamps Sum:          4749
Self Time (Agg.):    0.1144


Intervals
---------
exploration ........ 2543
skill model training  134.3
rl training ........ 2048
logging ............ 23.44


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   2543.30   16.96   17.33   16.64     150
skill model training  134.25    0.90    1.68    0.87     150
rl training   2047.53   13.65   14.76   13.51     150
logging        23.44    0.16    1.75    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             16.87          1.68         14.76          0.00
1             16.70          0.88         13.63          0.00
2             16.87          0.88         13.64          0.00
3             16.85          0.95         13.57          0.00
4             16.94          0.96         13.58          0.00
5             16.82          0.88         13.53          0.00
6             17.02          0.88         13.57          0.00
7             17.05          0.89         13.56          0.00
8             16.96          0.88         13.54          0.00
9             17.07          0.88         13.56          1.74
10            16.96          0.87         13.65          0.00
11            16.80          0.88         13.66          0.00
12            16.79          0.87         13.60          0.00
13            17.04          0.88         13.59          0.00
14            16.98          0.88         13.62          0.00
15            16.74          0.88         13.59          0.00
16            16.83          0.88         13.60          0.00
17            17.13          0.88         13.57          0.00
18            16.78          0.88         13.72          0.00
19            17.08          0.88         13.61          1.67
20            16.96          0.88         13.58          0.00
21            16.69          0.88         13.67          0.00
22            17.03          0.87         13.64          0.00
23            16.91          0.88         13.60          0.00
24            16.86          0.89         13.59          0.00
25            16.86          0.89         13.55          0.00
26            16.70          0.88         13.60          0.00
27            16.78          0.88         13.60          0.00
28            17.13          0.89         13.61          0.00
29            17.01          0.89         13.61          1.58
30            16.92          0.88         13.65          0.00
31            17.17          0.89         13.64          0.00
32            17.19          0.88         13.66          0.00
33            16.93          0.89         13.64          0.00
34            17.07          0.89         13.62          0.00
35            17.07          0.89         13.61          0.00
36            16.64          0.88         13.62          0.00
37            16.77          0.89         13.61          0.00
38            16.80          0.89         13.61          0.00
