

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      2.703e+04
Stamps Sum:          2.703e+04
Self Time (Agg.):    0.117


Intervals
---------
exploration ........ 2.482e+04
skill model training  134.8
rl training ........ 2057
logging ............ 23.97


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   24818.95  165.46  328.45  162.92     150
skill model training  134.84    0.90    1.36    0.88     150
rl training   2056.67   13.71   14.68   13.55     150
logging        23.97    0.16    1.86    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0            328.45          1.36         14.68          0.00
1            163.87          0.88         13.77          0.00
2            164.30          0.89         13.74          0.00
3            164.36          0.89         13.57          0.00
4            164.54          0.89         13.76          0.00
5            164.12          0.89         13.76          0.00
6            164.07          0.89         13.57          0.00
7            163.89          0.89         13.76          0.00
8            164.16          0.89         13.75          0.00
9            164.15          0.90         13.55          1.74
10           165.21          0.89         13.60          0.00
11           164.50          0.89         13.75          0.00
12           165.18          0.89         13.59          0.00
13           164.32          0.88         13.77          0.00
14           165.13          0.89         13.56          0.00
15           163.27          0.89         13.77          0.00
16           163.98          0.89         13.72          0.00
17           164.38          1.05         13.62          0.00
18           164.01          0.89         13.78          0.00
19           164.53          0.89         13.57          1.79
20           163.28          0.88         13.79          0.00
21           164.73          0.89         13.56          0.00
22           164.65          0.89         13.77          0.00
23           163.96          0.89         13.61          0.00
24           163.92          0.89         13.75          0.00
25           164.76          0.90         13.81          0.00
26           165.06          0.89         13.74          0.00
27           164.39          0.89         13.81          0.00
28           165.10          0.90         13.59          0.00
29           163.49          0.89         13.76          1.58
30           163.76          0.88         13.59          0.00
31           164.42          0.89         13.77          0.00
32           163.90          0.88         13.82          0.00
33           164.74          0.89         13.59          0.00
34           164.17          0.89         13.77          0.00
35           164.65          0.89         13.81          0.00
36           164.14          0.90         13.59          0.00
37           163.30          0.89         13.75          0.00
38           164.56          0.92         13.82          0.00
39           164.58          0.90         13.60          1.78
40           164.21          0.89         13.77          0.00
41           165.49          0.89         13.76          0.00
42           164.20          0.89         13.60          0.00
43           163.33          0.90         13.58          0.00
44           164.09          0.89         13.77          0.00
45           164.76          0.89         13.81          0.00
46           164.49          0.89         13.82          0.00
47           164.21          0.89         13.62          0.00
48           164.28          0.90         13.58          0.00
49           164.54          0.89         13.82          1.58
50           164.26          0.88         13.78          0.00
51           164.10          0.89         13.56          0.00
52           163.70          0.89         13.60          0.00
53           164.73          0.90         13.57          0.00
54           164.17          0.89         13.60          0.00
55           163.83          0.89         13.79          0.00
56           164.89          0.89         13.77          0.00
57           165.23          0.89         13.82          0.00
58           164.87          0.89         13.78          0.00
59           164.41          0.90         13.79          1.59
60           164.04          0.89         13.59          0.00
61           163.75          0.89         13.61          0.00
62           164.15          0.89         13.61          0.00
63           163.61          0.90         13.60          0.00
64           164.18          0.89         13.58          0.00
65           164.01          0.89         13.62          0.00
66           164.05          0.89         13.59          0.00
