

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      6240
Stamps Sum:          6240
Self Time (Agg.):    0.07279


Intervals
---------
exploration ........ 4765
skill model training  91.19
rl training ........ 1369
logging ............ 15.04


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   4764.55   47.65   94.01   46.52     100
skill model training   91.19    0.91    1.51    0.88     100
rl training   1369.45   13.69   14.68   13.56     100
logging        15.04    0.15    1.96    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             94.01          1.51         14.68          0.00
1             47.03          0.90         13.59          0.00
2             46.95          0.91         13.59          0.00
3             46.93          0.90         13.61          0.00
4             46.70          0.91         13.63          0.00
5             46.70          0.91         13.61          0.00
6             47.18          0.91         13.60          0.00
7             46.62          0.91         13.62          0.00
8             47.53          0.90         13.64          0.00
9             47.09          0.90         13.60          1.58
10            46.80          0.91         13.60          0.00
11            46.83          0.91         13.56          0.00
12            47.15          0.91         13.61          0.00
13            47.41          0.90         13.61          0.00
14            47.60          0.91         13.61          0.00
15            46.88          0.90         13.60          0.00
16            47.19          0.90         13.61          0.00
17            47.02          0.91         13.59          0.00
18            47.73          0.90         13.61          0.00
19            47.25          0.90         13.59          1.58
20            46.76          0.94         13.71          0.00
21            47.55          0.90         13.59          0.00
22            47.23          0.91         13.61          0.00
23            47.51          0.90         13.64          0.00
24            47.16          0.91         13.62          0.00
25            47.36          0.91         13.61          0.00
26            46.86          0.91         13.62          0.00
27            46.90          0.91         13.61          0.00
28            47.25          0.91         13.62          0.00
29            46.93          0.91         13.58          1.59
30            46.81          0.91         13.60          0.00
31            47.70          0.91         13.62          0.00
32            47.55          0.91         13.62          0.00
33            47.15          0.91         13.59          0.00
34            47.52          0.91         13.62          0.00
35            46.92          0.91         13.63          0.00
36            47.21          0.91         13.60          0.00
37            47.32          0.91         13.64          0.00
38            47.04          0.88         13.97          0.00
39            47.14          0.91         13.96          1.60
40            46.78          0.90         13.60          0.00
41            47.22          1.23         13.66          0.00
42            47.16          0.89         13.94          0.00
43            46.62          0.89         13.94          0.00
44            46.89          0.89         13.93          0.00
45            47.36          0.89         13.96          0.00
46            46.70          0.90         13.91          0.00
47            46.52          0.89         13.59          0.00
48            47.29          0.90         13.59          0.00
49            47.14          0.90         13.61          1.61
50            47.69          0.90         13.59          0.00
51            47.62          0.90         13.63          0.00
52            47.20          0.91         13.61          0.00
53            46.97          0.90         13.60          0.00
54            47.63          0.92         13.72          0.00
55            47.53          0.91         13.66          0.00
56            47.50          0.91         13.61          0.00
57            47.20          0.91         13.59          0.00
58            47.18          0.92         13.60          0.00
59            46.92          0.91         13.61          1.65
60            47.35          0.91         13.60          0.00
61            46.80          0.91         13.62          0.00
62            47.33          0.91         13.59          0.00
63            47.25          0.89         13.95          0.00
64            46.84          0.90         13.97          0.00
65            46.89          0.90         13.94          0.00
66            46.91          0.90         13.59          0.00
67            47.45          0.90         13.61          0.00
68            47.18          0.90         13.61          0.00
69            47.27          0.91         13.65          1.61
70            47.10          0.91         13.60          0.00
71            46.90          0.91         13.62          0.00
72            47.55          0.91         13.62          0.00
73            47.60          0.91         13.60          0.00
74            47.19          0.90         13.61          0.00
75            47.44          0.91         13.65          0.00
76            46.67          0.88         14.02          0.00
77            47.06          0.90         14.00          0.00
78            47.12          0.90         13.98          0.00
79            47.70          0.90         13.58          1.96
80            47.18          0.88         13.94          0.00
81            46.91          0.89         13.61          0.00
82            47.58          0.90         13.60          0.00
83            47.71          0.90         13.59          0.00
84            47.10          0.90         13.62          0.00
85            47.38          0.90         13.60          0.00
86            48.04          0.91         13.65          0.00
87            47.34          0.91         13.64          0.00
88            47.07          0.88         14.03          0.00
89            47.29          0.90         13.98          1.61
90            46.84          0.88         13.98          0.00
91            47.01          0.89         13.96          0.00
92            47.08          0.90         13.63          0.00
93            47.33          0.91         13.60          0.00
94            46.92          0.91         13.59          0.00
95            47.81          0.91         13.64          0.00
96            47.00          0.91         13.60          0.00
97            47.30          0.88         13.96          0.00
98            47.11          0.90         14.00          0.00
99            47.33          0.89         13.64              


---End Timer Report (root)---

