

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      9502
Stamps Sum:          9502
Self Time (Agg.):    0.3325


Intervals
---------
exploration ........ 5098
skill model training  270.3
rl training ........ 4085
logging ............ 48.98


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   5097.73   16.99   17.39   16.64     300
skill model training  270.28    0.90    1.67    0.87     300
rl training   4085.50   13.62   14.69   13.46     300
logging        48.98    0.16    1.87    0.00     299


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             16.85          1.67         14.69          0.00
1             16.88          0.88         13.57          0.00
2             16.99          0.88         13.56          0.00
3             16.71          0.95         13.55          0.00
4             17.14          0.97         13.49          0.00
5             17.17          0.89         13.52          0.00
6             17.07          0.88         13.51          0.00
7             17.08          0.89         13.51          0.00
8             16.92          0.89         13.51          0.00
9             17.11          0.89         13.49          1.76
10            17.00          0.88         13.63          0.00
11            16.73          0.88         13.55          0.00
12            17.05          0.88         13.55          0.00
13            16.87          0.88         13.55          0.00
14            16.77          0.89         13.55          0.00
15            17.13          0.89         13.55          0.00
16            16.95          0.88         13.56          0.00
17            17.22          0.89         13.53          0.00
18            17.09          0.89         13.66          0.00
19            16.95          0.88         13.54          1.69
20            17.03          0.88         13.57          0.00
21            16.76          0.88         13.65          0.00
22            17.03          0.89         13.56          0.00
23            16.76          0.89         13.59          0.00
24            17.12          0.88         13.56          0.00
25            17.04          0.89         13.57          0.00
26            16.92          0.88         13.59          0.00
27            16.82          0.90         13.55          0.00
28            17.08          0.89         13.57          0.00
29            17.09          0.89         13.55          1.61
30            16.68          0.88         13.57          0.00
31            17.29          0.89         13.56          0.00
32            16.94          0.88         13.59          0.00
33            17.01          0.89         13.60          0.00
34            17.04          0.89         13.55          0.00
35            17.17          0.89         13.54          0.00
36            16.92          0.89         13.57          0.00
37            17.03          0.90         13.58          0.00
38            16.74          0.89         13.61          0.00
39            17.03          0.89         13.61          1.69
40            16.82          0.88         13.55          0.00
41            17.13          0.89         13.59          0.00
42            17.24          0.89         13.57          0.00
43            17.13          0.88         13.63          0.00
44            16.82          0.89         13.58          0.00
45            17.05          0.89         13.59          0.00
46            16.74          0.89         13.57          0.00
47            16.97          0.90         13.58          0.00
48            16.98          0.90         13.57          0.00
49            16.93          0.89         13.62          1.69
50            16.74          0.88         13.58          0.00
51            17.11          0.90         13.58          0.00
52            16.77          0.89         13.58          0.00
53            16.94          0.89         13.59          0.00
54            16.67          1.01         13.55          0.00
55            17.12          0.89         13.60          0.00
56            17.13          0.90         13.60          0.00
57            16.79          0.89         13.59          0.00
58            17.05          0.89         13.58          0.00
59            16.98          0.91         13.59          1.74
60            17.03          0.89         13.62          0.00
61            16.91          0.90         13.58          0.00
62            17.09          0.89         13.63          0.00
63            17.20          0.90         13.58          0.00
64            16.75          0.89         13.62          0.00
65            16.85          0.89         13.59          0.00
66            17.03          0.89         13.56          0.00
67            16.95          0.90         13.58          0.00
68            17.17          0.89         13.59          0.00
69            16.87          0.90         13.60          1.59
70            16.79          0.89         13.61          0.00
71            16.84          0.88         13.61          0.00
72            17.16          0.89         13.59          0.00
73            16.98          0.89         13.61          0.00
74            16.95          0.90         13.47          0.00
75            17.20          0.90         13.61          0.00
76            16.72          0.88         13.58          0.00
77            16.83          0.90         13.64          0.00
78            16.95          0.88         13.62          0.00
79            16.76          0.90         13.62          1.62
80            17.21          0.90         13.58          0.00
81            16.91          0.89         13.63          0.00
82            16.88          0.88         13.66          0.00
83            16.90          0.91         13.63          0.00
84            17.11          0.89         13.59          0.00
85            17.06          0.89         13.59          0.00
86            16.68          0.89         13.62          0.00
87            17.00          0.89         13.62          0.00
88            17.02          0.90         13.58          0.00
89            17.11          0.89         13.64          1.60
90            17.07          0.89         13.60          0.00
91            17.17          0.89         13.63          0.00
92            16.98          0.90         13.65          0.00
93            17.02          0.89         13.63          0.00
94            17.21          0.89         13.72          0.00
95            17.06          0.93         13.82          0.00
96            17.27          0.89         13.64          0.00
97            17.11          0.90         13.64          0.00
98            17.03          0.90         13.63          0.00
99            16.82          0.89         13.62          1.61
100           16.98          0.90         13.62          0.00
101           17.00          0.88         13.65          0.00
102           17.16          0.89         13.67          0.00
103           17.23          0.90         13.46          0.00
104           16.99          0.89         13.67          0.00
105           16.77          0.89         13.64          0.00
106           16.93          0.91         13.54          0.00
107           17.20          0.90         13.63          0.00
108           16.94          0.89         13.61          0.00
109           17.02          0.89         13.64          1.73
110           17.02          0.89         13.62          0.00
