

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3759
Stamps Sum:          3759
Self Time (Agg.):    0.112


Intervals
---------
exploration ........ 2567
skill model training  134.9
rl training ........ 1034
logging ............ 23.64


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   2566.66   17.11   17.49   16.76     150
skill model training  134.90    0.90    1.67    0.87     150
rl training   1034.08    6.89    7.95    6.78     150
logging        23.64    0.16    1.78    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             17.16          1.67          7.95          0.00
1             17.18          0.89          6.78          0.00
2             16.87          0.88          6.86          0.00
3             16.93          0.88          6.79          0.00
4             16.92          0.88          6.89          0.00
5             16.95          0.89          6.80          0.00
6             16.87          0.88          6.84          0.00
7             16.85          0.96          6.83          0.00
8             16.88          0.88          6.87          0.00
9             16.76          0.88          6.88          1.71
10            16.90          0.87          6.92          0.00
11            17.28          0.88          6.81          0.00
12            16.97          0.88          6.90          0.00
13            17.01          0.89          6.89          0.00
14            17.11          0.88          6.82          0.00
15            16.97          0.88          6.90          0.00
16            17.17          0.88          6.90          0.00
17            17.12          0.97          6.85          0.00
18            16.92          0.89          6.82          0.00
19            17.27          0.89          6.91          1.61
20            16.87          0.89          6.91          0.00
21            16.80          0.88          6.91          0.00
22            17.14          0.89          6.95          0.00
23            17.00          0.89          6.83          0.00
24            17.30          0.89          6.93          0.00
25            17.06          0.88          6.91          0.00
26            17.14          0.89          6.92          0.00
27            17.16          0.89          6.83          0.00
28            17.21          0.89          6.93          0.00
29            16.86          0.88          6.92          1.60
30            17.12          0.88          6.82          0.00
31            16.94          0.88          6.91          0.00
32            16.80          0.88          6.94          0.00
33            16.84          0.98          6.85          0.00
34            17.17          0.89          6.84          0.00
35            17.09          0.89          6.83          0.00
36            17.33          0.89          6.94          0.00
37            16.90          0.88          6.92          0.00
38            17.32          0.98          6.86          0.00
39            16.89          0.89          6.82          1.73
40            17.16          0.88          6.92          0.00
41            16.92          0.88          6.98          0.00
42            17.34          0.89          6.81          0.00
43            17.00          0.89          6.85          0.00
44            17.22          0.89          6.84          0.00
45            17.33          0.89          6.91          0.00
46            17.23          0.88          6.98          0.00
47            17.30          0.89          6.92          0.00
48            17.25          0.89          6.96          0.00
49            17.00          0.89          6.84          1.71
50            16.94          0.89          6.94          0.00
51            17.08          0.88          6.96          0.00
52            17.34          0.90          7.04          0.00
53            16.94          0.89          6.96          0.00
54            17.34          0.89          6.95          0.00
55            17.20          0.90          6.86          0.00
56            17.10          0.90          6.85          0.00
57            17.06          0.90          6.84          0.00
58            17.02          0.90          6.85          0.00
59            17.00          0.90          6.96          1.60
60            17.07          1.01          6.84          0.00
61            17.19          0.88          6.85          0.00
62            17.02          0.89          6.86          0.00
63            16.98          0.89          6.85          0.00
64            17.19          0.89          6.83          0.00
65            17.01          0.89          6.86          0.00
66            17.33          0.89          6.85          0.00
67            17.06          0.90          6.85          0.00
68            17.01          0.90          6.96          0.00
69            17.17          0.91          6.94          1.61
70            17.03          1.01          6.87          0.00
71            17.16          0.89          6.84          0.00
72            17.30          0.89          6.86          0.00
73            17.00          0.90          6.85          0.00
74            17.40          0.89          6.84          0.00
75            16.99          0.89          6.86          0.00
76            17.03          0.90          6.85          0.00
77            17.29          0.90          6.87          0.00
78            17.36          0.90          6.83          0.00
79            17.17          0.90          6.88          1.76
80            17.11          0.89          6.95          0.00
81            16.98          0.89          6.85          0.00
82            17.03          0.89          6.87          0.00
83            17.06          0.89          6.85          0.00
84            17.26          0.90          6.84          0.00
85            17.01          0.90          6.88          0.00
86            17.28          0.90          6.85          0.00
87            17.36          0.90          6.85          0.00
88            17.02          0.90          6.86          0.00
89            17.03          0.90          6.84          1.70
90            17.13          0.88          6.96          0.00
91            17.16          0.89          6.97          0.00
92            16.96          0.88          6.98          0.00
93            17.33          0.88          6.84          0.00
94            17.01          0.89          6.85          0.00
95            17.29          0.89          6.83          0.00
96            16.97          0.89          6.85          0.00
97            17.37          0.89          6.87          0.00
98            16.98          0.89          6.86          0.00
99            16.97          0.89          6.86          1.72
100           17.04          0.89          6.80          0.00
101           17.05          0.90          6.83          0.00
102           16.93          0.90          6.85          0.00
103           17.45          0.90          6.83          0.00
104           17.40          0.90          6.84          0.00
105           17.39          0.90          6.84          0.00
106           16.94          0.90          6.83          0.00
107           16.98          0.88          6.99          0.00
108           17.26          0.90          6.97          0.00
109           17.26          0.89          6.98          1.57
110           16.85          0.88          6.98          0.00
111           17.40          0.89          6.99          0.00
112           17.20          0.89          6.96          0.00
113           17.35          0.89          6.87          0.00
114           17.41          0.89          6.85          0.00
115           17.34          0.90          6.85          0.00
116           16.98          0.90          6.84          0.00
117           17.02          0.89          6.85          0.00
118           17.21          0.90          6.83          0.00
119           17.30          0.88          7.00          1.61
120           17.17          0.89          6.85          0.00
121           16.84          0.88          7.01          0.00
122           16.99          0.89          6.97          0.00
123           16.97          0.89          6.98          0.00
124           17.24          0.89          6.81          0.00
125           17.41          0.90          6.86          0.00
126           17.35          0.90          6.84          0.00
127           17.06          0.90          6.84          0.00
128           17.02          0.88          7.00          0.00
129           17.07          0.89          6.99          1.59
130           16.88          0.88          7.02          0.00
131           16.99          0.89          6.96          0.00
132           16.94          0.89          6.83          0.00
133           17.49          0.89          6.86          0.00
134           17.14          0.90          6.87          0.00
135           17.31          0.90          6.86          0.00
136           16.87          0.88          7.00          0.00
137           16.87          0.89          6.98          0.00
138           16.92          0.89          6.85          0.00
139           17.26          0.90          6.83          1.78
140           17.29          0.89          6.87          0.00
141           17.37          0.89          6.86          0.00
142           17.27          0.90          6.84          0.00
143           17.01          0.88          7.03          0.00
144           17.15          0.90          6.98          0.00
145           17.19          0.89          6.84          0.00
146           17.44          0.91          6.87          0.00
147           17.41          0.90          6.84          0.00
148           16.97          0.88          7.01          0.00
149           17.20          0.90          7.00              


---End Timer Report (root)---

