

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      1.024e+04
Stamps Sum:          1.024e+04
Self Time (Agg.):    0.3377


Intervals
---------
exploration ........ 5133
skill model training  943.6
rl training ........ 4110
logging ............ 49.17


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   5133.47   17.11   17.74   16.79     300
skill model training  943.62    3.15    3.94    3.08     300
rl training   4109.72   13.70   14.77   13.51     300
logging        49.17    0.16    1.87    0.00     299


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             17.03          3.94         14.77          0.00
1             17.22          3.08         13.58          0.00
2             16.84          3.08         13.52          0.00
3             17.11          3.09         13.56          0.00
4             17.05          3.08         13.64          0.00
5             17.00          3.17         13.57          0.00
6             16.91          3.09         13.57          0.00
7             16.87          3.09         13.59          0.00
8             17.29          3.09         13.55          0.00
9             17.10          3.09         13.67          1.69
10            16.82          3.08         13.67          0.00
11            16.91          3.09         13.61          0.00
12            17.09          3.09         13.65          0.00
13            17.00          3.09         13.64          0.00
14            17.23          3.10         13.62          0.00
15            16.83          3.09         13.64          0.00
16            16.89          3.10         13.61          0.00
17            16.97          3.11         13.62          0.00
18            17.29          3.11         13.62          0.00
19            17.36          3.11         13.68          1.71
20            17.22          3.09         13.66          0.00
21            16.88          3.10         13.63          0.00
22            16.86          3.20         13.62          0.00
23            16.88          3.19         13.63          0.00
24            17.12          3.09         13.75          0.00
25            17.07          3.11         13.68          0.00
26            16.94          3.11         13.68          0.00
27            17.26          3.11         13.64          0.00
28            17.10          3.10         13.63          0.00
29            17.08          3.12         13.62          1.73
30            17.17          3.09         13.67          0.00
31            17.17          3.10         13.61          0.00
32            17.18          3.10         13.67          0.00
33            17.27          3.11         13.63          0.00
34            17.02          3.24         13.64          0.00
35            16.85          3.10         13.78          0.00
36            17.27          3.11         13.64          0.00
37            17.09          3.11         13.66          0.00
38            17.21          3.12         13.65          0.00
39            17.15          3.12         13.66          1.59
40            16.97          3.10         13.69          0.00
41            17.28          3.11         13.62          0.00
42            17.30          3.22         13.67          0.00
43            17.33          3.10         13.67          0.00
44            16.93          3.12         13.64          0.00
45            16.94          3.13         13.69          0.00
46            17.14          3.24         13.67          0.00
47            17.27          3.11         13.67          0.00
48            17.19          3.12         13.67          0.00
49            16.99          3.14         13.68          1.61
50            17.21          3.11         13.69          0.00
51            16.95          3.13         13.63          0.00
52            16.88          3.10         13.67          0.00
53            17.13          3.12         13.69          0.00
54            17.33          3.13         13.68          0.00
55            17.18          3.11         13.71          0.00
56            17.14          3.12         13.68          0.00
57            16.94          3.13         13.69          0.00
58            17.35          3.14         13.70          0.00
59            17.30          3.13         13.66          1.60
60            16.93          3.11         13.70          0.00
61            17.12          3.11         13.66          0.00
62            16.99          3.10         13.71          0.00
63            17.04          3.12         13.66          0.00
64            17.17          3.25         13.66          0.00
65            16.87          3.12         13.70          0.00
66            17.07          3.13         13.66          0.00
67            17.06          3.11         13.70          0.00
68            17.02          3.12         13.72          0.00
69            17.27          3.14         13.68          1.63
70            17.10          3.12         13.67          0.00
71            17.28          3.11         13.68          0.00
72            17.24          3.12         13.69          0.00
73            16.98          3.11         13.74          0.00
74            17.16          3.14         13.68          0.00
75            17.32          3.12         13.67          0.00
76            17.14          3.13         13.68          0.00
77            17.32          3.26         13.59          0.00
78            17.30          3.13         13.71          0.00
79            17.33          3.15         13.66          1.60
80            16.90          3.25         13.68          0.00
81            16.91          3.11         13.70          0.00
82            17.20          3.25         13.51          0.00
83            17.02          3.12         13.68          0.00
84            17.18          3.25         13.57          0.00
85            17.19          3.12         13.69          0.00
86            17.10          3.26         13.54          0.00
87            17.31          3.14         13.69          0.00
88            16.87          3.27         13.52          0.00
89            17.22          3.14         13.71          1.60
90            17.04          3.11         13.71          0.00
91            17.27          3.10         13.73          0.00
92            17.19          3.12         13.69          0.00
93            16.90          3.12         13.73          0.00
94            17.38          3.14         13.71          0.00
95            17.07          3.13         13.73          0.00
96            17.33          3.15         13.53          0.00
97            16.98          3.13         13.74          0.00
98            17.19          3.26         13.60          0.00
99            17.02          3.14         13.68          1.62
100           17.11          3.13         13.70          0.00
101           16.88          3.11         13.70          0.00
102           16.89          3.27         13.56          0.00
103           17.29          3.13         13.70          0.00
104           16.92          3.12         13.69          0.00
105           17.35          3.14         13.69          0.00
106           16.97          3.12         13.71          0.00
107           16.90          3.27         13.59          0.00
108           17.43          3.14         13.71          0.00
109           16.84          3.13         13.73          1.60
110           17.14          3.12         13.72          0.00
111           16.87          3.12         13.74          0.00
112           16.98          3.13         13.56          0.00
113           16.99          3.14         13.84          0.00
114           17.04          3.11         13.77          0.00
115           17.01          3.13         13.70          0.00
116           16.88          3.13         13.73          0.00
117           17.24          3.12         13.72          0.00
118           17.22          3.15         13.71          0.00
119           16.89          3.13         13.72          1.63
120           17.03          3.13         13.68          0.00
121           17.30          3.12         13.75          0.00
122           17.17          3.12         13.77          0.00
123           17.06          3.13         13.57          0.00
124           17.28          3.13         13.71          0.00
125           17.05          3.13         13.75          0.00
126           17.18          3.29         13.55          0.00
127           17.10          3.13         13.74          0.00
128           17.27          3.13         13.75          0.00
129           16.93          3.28         13.60          1.79
130           17.05          3.12         13.75          0.00
131           17.27          3.13         13.75          0.00
132           17.17          3.30         13.61          0.00
133           17.01          3.16         13.73          0.00
134           17.10          3.14         13.75          0.00
135           16.98          3.14         13.79          0.00
136           17.46          3.16         13.55          0.00
137           17.40          3.15         13.72          0.00
138           16.88          3.13         13.76          0.00
139           16.87          3.13         13.73          1.65
140           17.40          3.12         13.78          0.00
141           17.30          3.12         13.76          0.00
142           17.16          3.12         13.77          0.00
143           17.40          3.14         13.56          0.00
144           17.16          3.15         13.73          0.00
145           17.05          3.12         13.73          0.00
146           17.07          3.12         13.76          0.00
147           17.23          3.32         13.54          0.00
148           17.23          3.16         13.74          0.00
149           16.98          3.13         13.71          1.62
150           16.95          3.29         13.57          0.00
151           17.39          3.15         13.57          0.00
152           17.02          3.13         13.68          0.00
153           16.93          3.13         13.80          0.00
154           16.98          3.11         13.78          0.00
155           17.32          3.31         13.61          0.00
156           17.02          3.15         13.56          0.00
157           17.03          3.15         13.76          0.00
158           17.01          3.17         14.10          0.00
159           17.22          3.13         13.79          1.70
160           17.18          3.13         13.57          0.00
161           17.32          3.12         13.76          0.00
162           17.21          3.12         13.74          0.00
163           17.33          3.11         13.79          0.00
164           17.10          3.11         13.78          0.00
165           17.30          3.14         13.59          0.00
166           17.05          3.15         13.59          0.00
167           17.14          3.14         13.79          0.00
168           17.05          3.12         13.72          0.00
169           17.33          3.13         13.78          1.65
170           17.28          3.13         13.60          0.00
171           17.14          3.13         13.55          0.00
172           17.08          3.14         13.73          0.00
173           16.88          3.13         13.80          0.00
174           17.08          3.12         13.79          0.00
175           16.91          3.12         13.82          0.00
176           17.02          3.12         13.78          0.00
177           16.89          3.32         13.63          0.00
178           17.48          3.16         13.58          0.00
179           17.48          3.16         13.56          1.79
180           16.82          3.11         13.76          0.00
181           17.27          3.11         13.80          0.00
182           17.30          3.11         13.78          0.00
183           17.34          3.11         13.79          0.00
184           16.96          3.32         13.60          0.00
185           17.27          3.15         13.59          0.00
186           17.13          3.15         13.57          0.00
187           17.19          3.15         13.57          0.00
188           17.47          3.15         13.73          0.00
189           17.28          3.13         13.77          1.62
190           16.79          3.08         13.79          0.00
191           17.20          3.10         13.78          0.00
192           17.06          3.31         13.60          0.00
193           17.23          3.15         13.57          0.00
194           17.22          3.14         13.59          0.00
195           17.46          3.16         13.60          0.00
196           17.02          3.14         13.59          0.00
197           17.55          3.15         13.74          0.00
198           16.89          3.14         13.78          0.00
199           16.93          3.14         13.72          1.63
200           16.81          3.09         13.81          0.00
201           17.08          3.10         13.82          0.00
202           17.48          3.10         13.81          0.00
203           17.14          3.10         13.82          0.00
204           17.08          3.32         13.61          0.00
205           17.03          3.37         13.61          0.00
206           17.19          3.16         13.58          0.00
207           17.49          3.16         13.62          0.00
208           17.22          3.17         13.60          0.00
209           17.31          3.16         13.59          1.87
210           17.33          3.12         13.78          0.00
211           16.92          3.11         13.75          0.00
212           17.23          3.12         13.77          0.00
213           17.14          3.11         13.75          0.00
214           17.09          3.12         13.81          0.00
215           17.27          3.12         13.75          0.00
216           16.95          3.13         13.78          0.00
217           16.95          3.12         13.80          0.00
218           17.11          3.13         13.79          0.00
219           17.17          3.13         13.78          1.64
220           16.91          3.09         13.80          0.00
221           17.22          3.11         13.85          0.00
222           17.21          3.11         13.79          0.00
223           16.94          3.11         13.80          0.00
224           17.27          3.11         13.78          0.00
225           16.96          3.11         13.80          0.00
226           17.23          3.12         13.79          0.00
227           16.92          3.12         13.78          0.00
228           17.04          3.13         13.81          0.00
229           17.18          3.12         13.79          1.62
230           16.79          3.09         13.85          0.00
231           17.25          3.10         13.84          0.00
232           17.13          3.11         13.83          0.00
233           16.91          3.11         13.83          0.00
234           17.12          3.12         13.79          0.00
235           16.93          3.12         13.84          0.00
236           17.25          3.13         13.77          0.00
237           17.27          3.13         13.76          0.00
238           16.89          3.13         13.78          0.00
239           16.96          3.13         13.81          1.63
240           17.10          3.10         13.81          0.00
241           16.89          3.10         13.82          0.00
242           17.26          3.11         13.81          0.00
243           17.32          3.12         13.83          0.00
244           17.18          3.13         13.80          0.00
245           16.89          3.13         13.78          0.00
246           17.22          3.13         13.81          0.00
