

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      8821
Stamps Sum:          8822
Self Time (Agg.):    0.2722


Intervals
---------
exploration ........ 4419
skill model training  817.5
rl training ........ 3543
logging ............ 41.82


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   4419.39   17.00   17.38   16.69     260
skill model training  817.51    3.14    3.88    3.07     260
rl training   3543.01   13.63   14.71   13.48     260
logging        41.82    0.16    1.83    0.00     259


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             17.07          3.88         14.71          0.00
1             16.96          3.07         13.56          0.00
2             17.01          3.07         13.59          0.00
3             16.83          3.07         13.61          0.00
4             16.72          3.07         13.61          0.00
5             16.79          3.16         13.49          0.00
6             16.97          3.10         13.55          0.00
7             16.99          3.08         13.50          0.00
8             16.95          3.08         13.50          0.00
9             17.07          3.09         13.59          1.68
10            16.80          3.08         13.59          0.00
11            16.85          3.08         13.56          0.00
12            16.79          3.08         13.56          0.00
13            16.98          3.09         13.65          0.00
14            16.91          3.09         13.59          0.00
15            16.97          3.09         13.57          0.00
16            17.13          3.09         13.66          0.00
17            16.76          3.08         13.68          0.00
18            17.10          3.09         13.69          0.00
19            16.81          3.09         13.57          1.72
20            16.99          3.08         13.61          0.00
21            17.12          3.08         13.57          0.00
22            17.08          3.09         13.58          0.00
23            16.75          3.20         13.59          0.00
24            16.96          3.19         13.58          0.00
25            16.79          3.08         13.68          0.00
26            16.83          3.10         13.62          0.00
27            16.98          3.12         13.57          0.00
28            17.08          3.11         13.57          0.00
29            16.88          3.11         13.57          1.69
30            16.90          3.07         13.61          0.00
31            17.07          3.08         13.61          0.00
32            16.88          3.09         13.61          0.00
33            17.22          3.10         13.59          0.00
34            17.04          3.10         13.59          0.00
35            16.98          3.21         13.61          0.00
36            17.01          3.10         13.59          0.00
37            17.23          3.11         13.57          0.00
38            16.79          3.11         13.58          0.00
39            16.83          3.11         13.58          1.64
40            17.24          3.09         13.61          0.00
41            17.00          3.10         13.62          0.00
42            16.74          3.22         13.56          0.00
43            16.69          3.10         13.62          0.00
44            16.82          3.10         13.62          0.00
45            16.84          3.10         13.60          0.00
46            16.79          3.11         13.59          0.00
47            16.95          3.10         13.62          0.00
