

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3675
Stamps Sum:          3676
Self Time (Agg.):    0.071


Intervals
---------
exploration ........ 2701
skill model training  177.8
rl training ........ 779.7
logging ............ 16.92


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   2701.06   24.56   24.97   24.21     110
skill model training  177.77    1.62    2.33    1.58     110
rl training   779.75    7.09    8.19    6.96     110
logging        16.92    0.16    1.78    0.00     109


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             24.67          2.33          8.19          0.00
1             24.32          1.58          6.96          0.00
2             24.72          1.67          7.02          0.00
3             24.39          1.58          7.11          0.00
4             24.43          1.58          7.09          0.00
5             24.49          1.58          7.08          0.00
6             24.22          1.59          7.09          0.00
7             24.52          1.58          7.09          0.00
8             24.34          1.59          6.97          0.00
9             24.60          1.58          7.00          1.78
10            24.33          1.58          7.11          0.00
11            24.40          1.59          6.99          0.00
12            24.83          1.69          7.02          0.00
13            24.54          1.59          7.12          0.00
14            24.64          1.58          7.10          0.00
15            24.71          1.59          6.97          0.00
16            24.46          1.59          7.13          0.00
17            24.67          1.59          7.11          0.00
18            24.33          1.60          7.03          0.00
19            24.42          1.69          7.04          1.77
20            24.35          1.71          7.01          0.00
21            24.66          1.60          7.14          0.00
22            24.51          1.59          7.01          0.00
23            24.64          1.59          7.14          0.00
24            24.47          1.59          7.13          0.00
25            24.68          1.60          7.04          0.00
26            24.84          1.59          7.16          0.00
27            24.64          1.60          7.12          0.00
28            24.58          1.60          7.01          0.00
29            24.43          1.61          7.14          1.61
30            24.25          1.58          7.13          0.00
31            24.65          1.60          7.01          0.00
32            24.77          1.59          7.16          0.00
33            24.81          1.59          7.09          0.00
34            24.50          1.71          7.01          0.00
35            24.72          1.60          7.11          0.00
36            24.36          1.60          7.01          0.00
37            24.65          1.59          7.13          0.00
38            24.24          1.60          6.99          0.00
39            24.95          1.60          7.11          1.62
40            24.75          1.59          7.13          0.00
41            24.58          1.59          7.03          0.00
42            24.34          1.59          7.15          0.00
43            24.34          1.59          7.01          0.00
44            24.50          1.60          7.15          0.00
45            24.72          1.60          7.01          0.00
46            24.28          1.59          7.14          0.00
47            24.74          1.60          7.01          0.00
48            24.68          1.60          7.13          0.00
49            24.65          1.60          6.98          1.75
50            24.68          1.71          7.03          0.00
51            24.36          1.59          7.02          0.00
52            24.76          1.59          7.17          0.00
53            24.81          1.60          7.02          0.00
54            24.70          1.60          7.15          0.00
55            24.93          1.60          7.04          0.00
56            24.32          1.60          7.12          0.00
57            24.56          1.72          7.03          0.00
58            24.65          1.61          7.02          0.00
59            24.40          1.59          7.18          1.58
60            24.21          1.59          7.16          0.00
61            24.60          1.60          7.03          0.00
62            24.32          1.59          7.00          0.00
63            24.67          1.60          7.17          0.00
64            24.59          1.60          7.02          0.00
65            24.41          1.60          7.14          0.00
66            24.76          1.59          7.18          0.00
67            24.53          1.61          7.02          0.00
68            24.31          1.60          7.17          0.00
69            24.50          1.73          7.01          1.60
70            24.61          1.60          7.17          0.00
71            24.83          1.61          7.01          0.00
72            24.66          1.61          7.02          0.00
73            24.49          1.60          7.14          0.00
74            24.68          1.74          7.03          0.00
75            24.58          1.61          7.02          0.00
76            24.34          1.61          7.18          0.00
77            24.31          1.73          7.05          0.00
78            24.58          1.61          7.12          0.00
79            24.97          1.61          7.17          1.59
80            24.41          1.59          6.99          0.00
81            24.94          1.60          7.14          0.00
82            24.32          1.59          7.19          0.00
83            24.48          1.60          7.05          0.00
84            24.34          1.60          7.03          0.00
85            24.54          1.60          7.15          0.00
86            24.49          1.59          7.23          0.00
87            24.75          1.60          7.03          0.00
88            24.88          1.61          7.04          0.00
89            24.29          1.61          7.17          1.60
90            24.43          1.59          7.02          0.00
91            24.27          1.59          7.16          0.00
92            24.87          1.59          7.17          0.00
93            24.39          1.60          7.05          0.00
94            24.45          1.60          7.03          0.00
95            24.54          1.60          7.01          0.00
96            24.76          1.59          7.16          0.00
97            24.25          1.78          7.04          0.00
98            24.33          1.61          7.02          0.00
99            24.91          1.60          7.03          1.78
100           24.36          1.73          7.03          0.00
101           24.38          1.60          7.02          0.00
102           24.75          1.59          7.02          0.00
103           24.68          1.60          7.16          0.00
104           24.24          1.61          7.18          0.00
105           24.84          1.59          7.18          0.00
106           24.67          1.60          7.04          0.00
107           24.72          1.61          7.04          0.00
108           24.61          1.60          7.03          0.00
109           24.75          1.61          7.16              


---End Timer Report (root)---

