

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      6346
Stamps Sum:          6346
Self Time (Agg.):    0.114


Intervals
---------
exploration ........ 5087
skill model training  135
rl training ........ 1100
logging ............ 23.65


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   5087.47   33.92   34.45   33.39     150
skill model training  134.98    0.90    1.66    0.87     150
rl training   1099.94    7.33    8.40    7.20     150
logging        23.65    0.16    1.75    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             33.72          1.66          8.40          0.00
1             33.69          0.88          7.33          0.00
2             33.82          0.88          7.21          0.00
3             33.66          0.88          7.30          0.00
4             33.94          0.88          7.31          0.00
5             33.74          0.88          7.32          0.00
6             33.80          0.88          7.30          0.00
7             34.25          0.88          7.24          0.00
8             33.82          0.89          7.20          0.00
9             33.79          0.89          7.32          1.65
10            34.10          0.88          7.26          0.00
11            33.93          0.88          7.23          0.00
12            34.17          0.89          7.26          0.00
13            34.00          0.89          7.23          0.00
14            34.15          0.89          7.23          0.00
15            33.58          0.89          7.25          0.00
16            33.77          0.88          7.26          0.00
17            33.91          0.89          7.33          0.00
18            33.72          0.89          7.32          0.00
19            33.84          0.89          7.34          1.63
20            34.01          0.87          7.37          0.00
21            34.05          0.88          7.36          0.00
22            33.81          0.88          7.36          0.00
23            34.41          0.88          7.34          0.00
24            33.89          0.88          7.33          0.00
25            33.73          0.88          7.28          0.00
26            33.66          0.89          7.25          0.00
27            34.25          0.89          7.25          0.00
28            33.93          0.89          7.25          0.00
29            33.68          0.89          7.27          1.68
30            33.79          0.88          7.27          0.00
31            33.69          0.89          7.26          0.00
32            33.96          0.89          7.37          0.00
33            33.91          0.89          7.36          0.00
34            34.13          0.89          7.36          0.00
35            33.79          0.89          7.25          0.00
36            34.23          0.89          7.28          0.00
37            34.02          0.89          7.26          0.00
38            33.83          0.89          7.38          0.00
39            34.07          0.89          7.39          1.62
40            33.91          0.87          7.38          0.00
41            33.52          0.88          7.38          0.00
42            33.99          0.88          7.25          0.00
43            34.22          0.89          7.28          0.00
