

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      1.166e+04
Stamps Sum:          1.166e+04
Self Time (Agg.):    0.04049


Intervals
---------
exploration ........ 1.104e+04
skill model training  113.7
rl training ........ 494.6
logging ............ 9.886


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   11041.88  157.74  311.55  154.56      70
skill model training  113.71    1.62    1.91    1.59      70
rl training   494.62    7.07    8.26    6.94      70
logging         9.89    0.14    1.80    0.00      69


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0            311.55          1.91          8.26          0.00
1            154.92          1.60          6.98          0.00
2            156.01          1.62          6.99          0.00
3            154.99          1.60          7.21          0.00
4            156.01          1.60          6.95          0.00
5            155.55          1.61          7.01          0.00
6            155.97          1.79          7.03          0.00
7            156.37          1.61          6.99          0.00
8            156.07          1.62          6.96          0.00
9            155.78          1.63          7.00          1.58
10           155.35          1.60          7.20          0.00
11           155.43          1.61          6.98          0.00
12           156.39          1.62          7.01          0.00
13           155.20          1.61          7.18          0.00
14           155.08          1.61          6.97          0.00
15           155.78          1.62          6.99          0.00
16           155.02          1.60          6.97          0.00
17           154.86          1.61          7.00          0.00
18           155.39          1.60          7.19          0.00
19           155.31          1.60          6.95          1.80
20           156.60          1.62          6.99          0.00
21           155.51          1.61          7.20          0.00
22           155.75          1.61          6.98          0.00
23           155.88          1.60          7.18          0.00
24           154.92          1.62          6.99          0.00
25           155.42          1.62          7.20          0.00
26           155.44          1.61          6.98          0.00
27           155.81          1.60          7.20          0.00
28           155.14          1.61          7.00          0.00
29           155.51          1.82          7.00          1.59
30           155.53          1.60          6.96          0.00
31           156.15          1.62          7.05          0.00
32           155.96          1.61          6.98          0.00
33           156.17          1.63          7.05          0.00
34           154.82          1.62          6.96          0.00
35           155.36          1.81          7.04          0.00
36           155.24          1.61          6.99          0.00
37           155.52          1.60          7.24          0.00
38           155.19          1.62          6.99          0.00
39           155.51          1.61          7.22          1.59
40           154.76          1.60          6.97          0.00
41           156.20          1.59          7.21          0.00
42           155.33          1.61          7.01          0.00
43           155.32          1.60          6.98          0.00
44           155.02          1.81          7.01          0.00
45           155.71          1.61          6.95          0.00
46           155.98          1.60          7.19          0.00
47           155.65          1.62          7.03          0.00
48           155.06          1.61          6.95          0.00
49           155.36          1.60          7.22          1.57
50           155.11          1.59          6.95          0.00
51           155.46          1.59          7.20          0.00
52           154.56          1.61          7.00          0.00
53           156.24          1.61          7.04          0.00
54           155.04          1.60          6.98          0.00
55           156.39          1.61          7.01          0.00
56           155.54          1.61          6.99          0.00
57           155.38          1.60          6.98          0.00
58           155.79          1.60          7.24          0.00
59           154.88          1.61          7.00          1.60
60           154.58          1.60          6.94          0.00
61           154.86          1.60          7.25          0.00
62           155.49          1.61          7.02          0.00
63           155.77          1.61          7.00          0.00
64           155.00          1.61          6.99          0.00
65           155.34          1.60          7.28          0.00
66           155.51          1.61          7.00          0.00
67           155.82          1.62          7.04          0.00
68           156.52          1.61          6.96          0.00
69           155.79          1.61          7.23              


---End Timer Report (root)---

