

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      4670
Stamps Sum:          4670
Self Time (Agg.):    0.1279


Intervals
---------
exploration ........ 2450
skill model training  136
rl training ........ 2061
logging ............ 23.13


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   2450.45   16.34   16.79   16.04     150
skill model training  136.04    0.91    1.22    0.88     150
rl training   2060.75   13.74   14.67   13.54     150
logging        23.13    0.16    1.90    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             16.41          1.22         14.67          0.00
1             16.58          0.92         13.60          0.00
2             16.07          0.88         13.89          0.00
3             16.26          0.91         13.85          0.00
4             16.11          0.90         13.57          0.00
5             16.74          0.92         13.61          0.00
6             16.09          0.88         13.90          0.00
7             16.36          0.91         13.85          0.00
8             16.07          0.91         13.61          0.00
9             16.29          0.91         13.60          1.55
10            16.34          0.91         13.63          0.00
11            16.17          0.88         13.90          0.00
12            16.15          0.90         13.83          0.00
13            16.18          0.90         13.65          0.00
14            16.37          0.91         13.62          0.00
15            16.54          0.89         13.91          0.00
16            16.49          0.91         13.88          0.00
17            16.34          0.90         13.58          0.00
18            16.30          0.92         13.65          0.00
19            16.30          0.88         13.92          1.64
20            16.06          0.88         13.87          0.00
21            16.12          0.89         13.82          0.00
22            16.41          0.90         13.58          0.00
23            16.61          0.91         13.67          0.00
24            16.35          0.88         13.83          0.00
25            16.11          0.90         13.86          0.00
26            16.27          0.90         13.62          0.00
27            16.61          0.91         13.63          0.00
28            16.12          0.89         13.81          0.00
29            16.14          0.90         13.64          1.90
30            16.13          0.89         13.60          0.00
31            16.33          0.90         13.62          0.00
32            16.04          0.88         13.89          0.00
33            16.35          0.90         13.83          0.00
34            16.28          0.90         13.59          0.00
35            16.52          0.91         13.62          0.00
36            16.39          0.89         13.85          0.00
37            16.31          0.90         13.60          0.00
38            16.42          0.91         13.61          0.00
39            16.09          0.89         13.86          1.63
40            16.06          0.88         13.86          0.00
41            16.30          0.89         13.55          0.00
42            16.61          0.90         13.59          0.00
43            16.30          0.88         13.87          0.00
44            16.44          0.90         13.85          0.00
45            16.45          0.89         13.56          0.00
46            16.70          0.91         13.59          0.00
47            16.42          0.89         13.88          0.00
48            16.32          0.90         13.57          0.00
49            16.38          0.91         13.64          1.58
50            16.55          0.90         13.60          0.00
51            16.39          0.88         13.89          0.00
52            16.45          0.90         13.57          0.00
53            16.32          0.91         13.59          0.00
54            16.32          0.88         13.91          0.00
55            16.33          0.90         13.88          0.00
56            16.29          0.91         13.62          0.00
57            16.16          0.88         13.95          0.00
58            16.51          0.91         13.87          0.00
59            16.54          0.90         13.60          1.58
60            16.32          0.91         13.61          0.00
61            16.11          0.88         13.94          0.00
62            16.48          0.90         13.88          0.00
63            16.40          0.91         13.63          0.00
64            16.10          0.88         13.94          0.00
65            16.37          0.91         13.87          0.00
66            16.13          0.91         13.58          0.00
67            16.18          1.20         13.70          0.00
68            16.49          0.89         13.82          0.00
69            16.38          0.92         13.60          1.60
70            16.46          0.92         13.67          0.00
71            16.43          0.88         13.92          0.00
72            16.33          0.91         13.59          0.00
73            16.39          0.92         13.66          0.00
74            16.46          0.89         13.99          0.00
75            16.59          0.91         13.89          0.00
76            16.31          0.91         13.60          0.00
77            16.43          0.88         13.94          0.00
78            16.47          0.92         13.93          0.00
79            16.26          0.91         13.63          1.59
80            16.33          0.92         13.63          0.00
81            16.34          0.89         13.88          0.00
82            16.09          0.91         13.59          0.00
83            16.71          0.92         13.63          0.00
84            16.22          0.89         13.93          0.00
85            16.27          0.92         13.70          0.00
86            16.73          0.92         13.70          0.00
87            16.50          0.89         13.94          0.00
88            16.34          0.91         13.61          0.00
89            16.34          0.92         13.63          1.62
90            16.16          0.88         13.93          0.00
91            16.51          0.91         13.63          0.00
92            16.32          0.92         13.63          0.00
93            16.39          0.89         13.94          0.00
94            16.17          0.91         13.59          0.00
95            16.55          0.92         13.63          0.00
96            16.46          0.89         13.91          0.00
97            16.04          0.91         13.61          0.00
98            16.35          0.91         13.65          0.00
99            16.09          0.88         13.92          1.63
100           16.45          0.89         13.54          0.00
101           16.71          0.91         13.64          0.00
102           16.19          0.89         13.92          0.00
103           16.41          0.90         13.58          0.00
104           16.75          0.91         13.61          0.00
105           16.10          0.89         13.89          0.00
106           16.33          0.90         13.64          0.00
107           16.34          0.91         13.61          0.00
108           16.06          0.88         13.84          0.00
109           16.31          0.91         13.59          1.59
110           16.38          0.91         13.63          0.00
111           16.34          0.88         13.88          0.00
112           16.30          0.91         13.62          0.00
113           16.08          1.21         13.68          0.00
114           16.05          0.89         13.88          0.00
115           16.10          0.91         13.62          0.00
116           16.27          0.88         13.89          0.00
117           16.12          0.91         13.61          0.00
118           16.35          0.92         13.68          0.00
119           16.18          0.89         13.91          1.59
120           16.33          0.89         13.57          0.00
121           16.55          0.91         13.62          0.00
122           16.26          0.88         13.92          0.00
123           16.09          0.90         13.60          0.00
124           16.38          0.90         13.61          0.00
125           16.38          0.89         13.88          0.00
126           16.47          0.91         13.62          0.00
127           16.19          0.89         13.95          0.00
128           16.34          0.91         13.61          0.00
129           16.37          0.91         13.66          1.63
130           16.38          0.88         13.90          0.00
131           16.15          0.91         13.61          0.00
132           16.79          0.91         13.63          0.00
133           16.49          0.89         13.91          0.00
134           16.38          0.91         13.62          0.00
135           16.31          0.89         13.94          0.00
136           16.52          0.91         13.59          0.00
137           16.76          0.91         13.63          0.00
138           16.22          0.89         13.93          0.00
139           16.46          0.90         13.62          1.61
140           16.47          0.91         13.65          0.00
141           16.06          0.88         13.89          0.00
142           16.18          0.91         13.61          0.00
143           16.29          0.88         13.97          0.00
144           16.40          0.90         13.61          0.00
145           16.61          0.92         13.61          0.00
146           16.28          0.89         13.90          0.00
147           16.48          0.91         13.60          0.00
148           16.09          0.89         13.98          0.00
149           16.27          0.91         13.59              


---End Timer Report (root)---

