

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      2290
Stamps Sum:          2290
Self Time (Agg.):    0.1217


Intervals
---------
exploration ........ 1920
skill model training  182.1
rl training ........ 169.7
logging ............ 18.67


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   1919.54   16.99   17.41   16.66     113
skill model training  182.06    1.61    2.24    1.56     113
rl training   169.69    1.50    2.45    1.22     113
logging        18.67    0.17    1.77    0.00     112


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             16.89          2.24          2.45          0.00
1             16.75          1.57          1.37          0.00
2             16.93          1.57          1.45          1.77
3             17.00          1.58          1.40          0.00
4             16.77          1.66          1.43          0.00
5             16.75          1.57          1.55          0.01
6             17.18          1.58          1.54          0.00
7             17.02          1.58          1.42          0.00
8             17.10          1.59          1.67          0.01
9             17.07          1.78          1.68          0.00
10            17.41          1.68          1.52          0.00
11            16.72          1.56          1.47          0.01
12            17.02          1.58          1.53          1.66
13            16.76          1.68          1.51          0.01
14            17.16          1.57          1.57          0.00
15            16.91          1.59          1.47          0.00
16            17.13          1.59          1.66          0.00
17            16.86          1.59          1.57          0.00
18            16.73          1.67          1.42          0.00
19            17.08          1.57          1.61          0.00
20            17.13          1.58          1.43          0.01
21            17.18          1.60          1.48          0.00
22            16.86          1.59          1.55          1.65
23            17.00          1.59          1.45          0.00
24            17.05          1.59          1.42          0.00
25            16.88          1.70          1.59          0.00
26            17.06          1.57          1.38          0.00
27            17.25          1.59          1.42          0.00
28            17.07          1.59          1.52          0.00
29            17.02          1.59          1.41          0.00
30            16.66          1.57          1.42          0.00
31            16.79          1.59          1.49          0.00
32            17.14          1.59          1.49          1.66
33            17.27          1.59          1.50          0.00
34            17.06          1.59          1.40          0.00
35            16.91          1.72          1.36          0.01
36            16.86          1.57          1.41          0.00
37            17.02          1.60          1.63          0.00
38            16.95          1.60          1.51          0.00
39            17.04          1.57          1.55          0.00
40            16.80          1.59          1.66          0.00
41            16.79          1.59          1.38          0.00
42            17.28          1.60          1.42          1.61
43            17.20          1.68          1.48          0.00
44            17.16          1.70          1.43          0.00
45            16.95          1.58          1.60          0.00
46            17.01          1.60          1.35          0.00
47            16.93          1.60          1.53          0.00
48            16.81          1.57          1.51          0.00
49            17.11          1.60          1.61          0.00
50            17.28          1.60          1.37          0.00
51            16.69          1.56          1.48          0.01
52            16.98          1.60          1.49          1.74
53            17.02          1.59          1.27          0.00
54            17.02          1.61          1.36          0.00
55            16.77          1.70          1.61          0.01
56            16.98          1.58          1.55          0.00
57            16.90          1.61          1.53          0.00
58            16.98          1.70          1.64          0.00
59            17.18          1.58          1.56          0.00
60            16.81          1.61          1.40          0.00
61            16.97          1.72          1.37          0.00
62            17.16          1.58          1.53          1.77
63            16.78          1.58          1.51          0.00
64            17.35          1.63          1.63          0.00
65            17.11          1.57          1.50          0.00
66            17.18          1.59          1.48          0.00
67            16.92          1.60          1.39          0.00
68            16.83          1.57          1.42          0.01
69            17.03          1.60          1.40          0.00
70            16.94          1.60          1.43          0.00
71            16.70          1.57          1.48          0.00
72            17.10          1.60          1.73          1.59
73            16.74          1.59          1.70          0.00
74            16.89          1.60          1.58          0.00
75            17.19          1.57          1.51          0.00
76            17.11          1.60          1.48          0.00
77            17.16          1.56          1.57          0.01
78            16.85          1.60          1.55          0.01
79            16.81          1.60          1.51          0.00
80            16.85          1.57          1.69          0.01
81            16.93          1.60          1.76          0.01
82            17.06          1.61          1.44          1.62
83            16.84          1.60          1.56          0.00
84            17.01          1.56          1.51          0.01
85            16.96          1.60          1.42          0.00
86            16.80          1.57          1.49          0.00
87            17.06          1.61          1.43          0.01
88            16.79          1.73          1.44          0.00
89            17.07          1.57          1.46          0.00
90            16.76          1.61          1.60          0.00
91            16.88          1.57          1.44          0.01
92            17.24          1.61          1.66          1.63
93            16.90          1.60          1.53          0.00
94            16.89          1.57          1.44          0.00
95            16.94          1.61          1.41          0.00
96            17.06          1.61          1.56          0.00
97            16.93          1.57          1.39          0.00
98            16.83          1.61          1.32          0.00
99            17.15          1.58          1.61          0.00
100           16.81          1.61          1.39          0.01
101           16.88          1.73          1.70          0.00
102           17.18          1.58          1.22          1.61
103           17.20          1.62          1.52          0.00
104           17.04          1.77          1.42          0.01
105           17.25          1.58          1.35          0.00
106           17.05          1.61          1.38          0.00
107           17.13          1.58          1.54          0.00
108           16.87          1.62          1.48          0.00
109           16.98          1.58          1.56          0.00
110           17.37          1.63          1.50          0.01
111           17.03          1.57          1.26          0.00
112           16.88          1.62          1.53              


---End Timer Report (root)---

