

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      1.021e+04
Stamps Sum:          1.021e+04
Self Time (Agg.):    0.3639


Intervals
---------
exploration ........ 5115
skill model training  949.9
rl training ........ 4099
logging ............ 48.67


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   5115.35   17.05   17.60   16.70     300
skill model training  949.95    3.17    3.59    3.07     300
rl training   4099.27   13.66   14.81   13.45     300
logging        48.67    0.16    2.03    0.00     299


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             16.97          3.43         14.81          0.00
1             17.30          3.12         13.51          0.00
2             17.11          3.15         13.51          0.00
3             17.43          3.16         13.53          0.00
4             16.97          3.16         13.56          0.00
5             16.97          3.16         13.50          0.00
6             16.80          3.31         13.56          0.00
7             16.87          3.12         13.79          0.00
8             16.98          3.13         13.77          0.00
9             17.12          3.13         13.75          1.56
10            16.74          3.09         13.76          0.00
11            16.86          3.11         13.71          0.00
12            16.91          3.11         13.70          0.00
13            17.03          3.14         13.50          0.00
14            16.96          3.14         13.49          0.00
15            16.97          3.16         13.54          0.00
16            16.84          3.39         13.53          0.00
17            17.16          3.07         13.84          0.00
18            17.22          3.14         13.74          0.00
19            16.85          3.13         13.78          1.62
20            17.05          3.10         13.75          0.00
21            17.09          3.12         13.73          0.00
22            16.95          3.13         13.50          0.00
23            17.37          3.13         13.51          0.00
24            16.97          3.16         13.51          0.00
25            17.03          3.17         13.49          0.00
26            17.10          3.08         13.84          0.00
27            17.06          3.13         13.77          0.00
28            16.96          3.12         13.79          0.00
29            17.19          3.15         13.75          1.64
30            16.96          3.17         13.71          0.00
31            16.98          3.14         13.53          0.00
32            17.29          3.16         13.54          0.00
33            17.04          3.17         13.54          0.00
34            17.03          3.08         13.84          0.00
35            16.89          3.13         13.80          0.00
36            16.77          3.12         13.75          0.00
37            16.86          3.13         13.50          0.00
38            17.46          3.16         13.51          0.00
39            17.21          3.17         13.58          1.64
40            17.10          3.17         13.50          0.00
41            16.90          3.43         13.55          0.00
42            16.71          3.09         13.78          0.00
43            17.24          3.15         13.77          0.00
44            17.01          3.15         13.79          0.00
45            16.89          3.16         13.56          0.00
46            17.44          3.18         13.55          0.00
47            17.11          3.40         13.54          0.00
48            16.78          3.12         13.79          0.00
49            16.83          3.16         13.76          1.59
50            17.07          3.12         13.76          0.00
51            17.25          3.15         13.50          0.00
52            17.00          3.17         13.57          0.00
53            17.24          3.18         13.55          0.00
54            16.84          3.08         13.86          0.00
55            17.18          3.15         13.80          0.00
