

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      1736
Stamps Sum:          1736
Self Time (Agg.):    0.1538


Intervals
---------
exploration ........ 1105
skill model training  106
rl training ........ 518.2
logging ............ 6.804


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   1104.93   12.28   12.57   12.06      90
skill model training  106.01    1.18    1.64    1.06      90
rl training   518.16    5.76    6.84    5.67      90
logging         6.80    0.08    0.89    0.00      89


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             12.28          1.64          6.84          0.00
1             12.24          1.15          5.71          0.00
2             12.46          1.13          5.73          0.00
3             12.28          1.08          5.73          0.00
4             12.50          1.19          5.75          0.00
5             12.23          1.08          5.74          0.00
6             12.22          1.06          5.77          0.00
7             12.43          1.54          5.77          0.00
8             12.19          1.08          5.75          0.00
9             12.18          1.17          5.76          0.88
10            12.21          1.08          5.68          0.00
11            12.35          1.17          5.69          0.00
12            12.31          1.42          5.67          0.00
13            12.32          1.13          5.69          0.00
14            12.24          1.41          5.70          0.00
15            12.57          1.16          5.69          0.00
16            12.50          1.51          5.69          0.00
17            12.56          1.43          5.70          0.00
18            12.26          1.13          5.68          0.00
19            12.47          1.08          5.69          0.83
20            12.25          1.09          5.69          0.00
21            12.41          1.15          5.70          0.00
22            12.34          1.20          5.70          0.00
23            12.11          1.23          5.82          0.00
24            12.13          1.12          5.79          0.00
25            12.48          1.13          5.78          0.00
26            12.13          1.52          5.81          0.00
27            12.16          1.09          5.78          0.00
28            12.35          1.08          5.69          0.00
29            12.23          1.09          5.69          0.86
30            12.45          1.08          5.77          0.00
31            12.32          1.11          5.70          0.00
32            12.20          1.63          5.72          0.00
33            12.16          1.09          5.71          0.00
34            12.06          1.10          5.80          0.00
35            12.25          1.07          5.81          0.00
36            12.32          1.19          5.79          0.00
37            12.41          1.10          5.71          0.00
38            12.24          1.14          5.71          0.00
39            12.41          1.08          5.69          0.74
40            12.21          1.24          5.69          0.00
41            12.36          1.16          5.71          0.00
42            12.08          1.11          5.82          0.00
43            12.09          1.08          5.83          0.00
44            12.24          1.14          5.70          0.00
45            12.20          1.07          5.70          0.00
46            12.41          1.34          5.83          0.00
47            12.29          1.08          5.82          0.00
48            12.08          1.11          5.70          0.00
49            12.25          1.36          5.70          0.87
50            12.29          1.07          5.68          0.00
51            12.21          1.09          5.71          0.00
52            12.12          1.11          5.82          0.00
53            12.36          1.09          5.70          0.00
54            12.52          1.34          5.72          0.00
55            12.23          1.11          5.71          0.00
56            12.39          1.13          5.82          0.00
57            12.19          1.08          5.75          0.00
58            12.48          1.13          5.73          0.00
59            12.11          1.18          5.72          0.74
60            12.21          1.07          5.70          0.00
61            12.45          1.34          5.81          0.00
62            12.33          1.13          5.70          0.00
63            12.33          1.12          5.70          0.00
64            12.12          1.12          5.84          0.00
65            12.22          1.17          5.73          0.00
66            12.26          1.09          5.70          0.00
67            12.11          1.54          5.85          0.00
68            12.35          1.15          5.83          0.00
69            12.18          1.18          5.71          0.89
70            12.35          1.09          5.71          0.00
71            12.06          1.14          5.87          0.00
72            12.11          1.09          5.83          0.00
73            12.24          1.33          5.70          0.00
74            12.34          1.10          5.85          0.00
75            12.08          1.12          5.71          0.00
76            12.24          1.09          5.71          0.00
77            12.43          1.22          5.85          0.00
78            12.10          1.15          5.71          0.00
79            12.38          1.15          5.72          0.74
80            12.35          1.19          5.72          0.00
81            12.07          1.08          5.85          0.00
82            12.48          1.11          5.72          0.00
83            12.44          1.12          5.73          0.00
84            12.13          1.11          5.85          0.00
85            12.26          1.11          5.73          0.00
86            12.17          1.22          5.74          0.00
87            12.13          1.43          5.84          0.00
88            12.45          1.15          5.71          0.00
89            12.32          1.13          5.86              


---End Timer Report (root)---

