

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      5588
Stamps Sum:          5589
Self Time (Agg.):    0.6501


Intervals
---------
exploration ........ 4563
skill model training  675.8
rl training ........ 335.7
logging ............ 14.35


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   4562.78   10.14   11.77    9.91     450
skill model training  675.75    1.50    2.18    1.34     450
rl training   335.74    0.75    1.83    0.71     450
logging        14.35    0.03    0.96    0.00     449


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0              9.95          2.01          1.83          0.00
1              9.93          1.35          0.73          0.00
2              9.91          1.34          0.72          0.00
3              9.97          1.36          0.71          0.00
4              9.96          1.36          0.71          0.00
5             10.00          1.38          0.72          0.00
6              9.97          1.35          0.72          0.00
7             10.02          1.40          0.72          0.00
8              9.96          1.37          0.79          0.00
9              9.93          1.39          0.74          0.00
10             9.94          1.46          0.73          0.00
11             9.97          1.40          0.73          0.00
12             9.95          1.49          0.72          0.00
13             9.98          1.40          0.73          0.00
14            10.03          1.43          0.73          0.00
15             9.95          1.41          0.73          0.00
16            10.05          1.43          0.73          0.00
17             9.98          1.42          0.73          0.00
18            10.02          1.43          0.73          0.00
19             9.97          1.45          0.73          0.00
20            10.02          1.43          0.73          0.00
21             9.98          1.43          0.73          0.00
22            10.03          1.44          0.73          0.00
23             9.99          1.44          0.81          0.00
24             9.99          1.45          0.72          0.74
25            10.09          1.45          0.77          0.00
26            10.04          1.43          0.71          0.00
27            10.05          1.44          0.72          0.00
28            10.00          1.42          0.71          0.00
29            10.07          1.44          0.71          0.00
30             9.98          1.44          0.71          0.00
31            10.08          1.44          0.72          0.00
32             9.99          1.44          0.71          0.00
33            10.06          1.45          0.71          0.00
34            10.01          1.44          0.71          0.00
35            10.07          1.44          0.72          0.00
36             9.98          1.44          0.72          0.00
37            10.07          1.44          0.71          0.00
38            10.01          1.44          0.71          0.00
39            10.09          1.45          0.72          0.00
40            10.01          1.44          0.71          0.00
41            10.06          1.45          0.74          0.00
42            10.00          1.44          0.72          0.00
43            10.09          1.45          0.72          0.00
44            10.02          1.44          0.72          0.00
45            10.09          1.45          0.72          0.00
46            10.00          1.47          0.72          0.00
47            10.08          1.45          0.73          0.00
48            10.03          1.46          0.72          0.00
49            10.11          1.45          0.71          0.64
50            10.26          1.48          0.83          0.00
51            10.07          1.47          0.73          0.00
52            10.02          1.47          0.73          0.00
53            10.07          1.45          0.72          0.00
54            10.01          1.45          0.72          0.00
55            10.11          1.46          0.72          0.00
56            10.01          1.45          0.72          0.00
57            10.09          1.46          0.72          0.00
58             9.99          1.45          0.72          0.00
59             9.98          1.55          0.72          0.00
60            10.03          1.45          0.72          0.00
61            10.02          1.45          0.82          0.00
62            10.02          1.45          0.71          0.00
63             9.98          1.45          0.74          0.00
64            10.07          1.45          0.72          0.00
65            10.01          1.45          0.71          0.00
66            10.08          1.45          0.72          0.00
67            10.01          1.46          0.72          0.00
68            10.09          1.47          0.72          0.00
69            10.02          1.46          0.72          0.00
70             9.99          1.55          0.72          0.00
71            10.03          1.46          0.72          0.00
72            10.01          1.45          0.72          0.00
73            10.11          1.46          0.72          0.00
74            10.02          1.46          0.74          0.76
75            10.07          1.49          0.74          0.00
76            10.05          1.48          0.83          0.00
77            10.00          1.47          0.72          0.00
78            10.02          1.45          0.72          0.00
79            10.09          1.46          0.72          0.00
80            10.03          1.46          0.72          0.00
81            10.02          1.57          0.71          0.00
82            10.03          1.46          0.72          0.00
83            10.01          1.45          0.72          0.00
84            10.12          1.46          0.72          0.00
85             9.98          1.46          0.75          0.00
86            10.09          1.46          0.72          0.00
87            10.01          1.46          0.72          0.00
88            10.01          1.57          0.72          0.00
89            10.03          1.46          0.72          0.00
90            10.01          1.48          0.72          0.00
91            10.07          1.46          0.72          0.00
92            10.02          1.46          0.72          0.00
93            10.12          1.47          0.72          0.00
94            10.02          1.46          0.72          0.00
95            10.01          1.45          0.73          0.00
96            10.07          1.46          0.75          0.00
97             9.98          1.47          0.72          0.00
98            10.62          1.49          0.74          0.00
99            10.11          1.50          0.74          0.65
100           10.23          1.52          0.76          0.00
101           10.13          1.52          0.75          0.00
102           10.18          1.49          0.76          0.00
103           10.10          1.49          0.74          0.00
104           10.09          1.48          0.74          0.00
105           10.19          1.50          0.74          0.00
106           10.10          1.49          0.74          0.00
107           10.22          1.49          0.74          0.00
108           10.08          1.51          0.75          0.00
109           10.10          1.51          0.74          0.00
110           10.21          1.50          0.73          0.00
111           10.08          1.49          0.75          0.00
112           10.21          1.49          0.74          0.00
113           10.09          1.51          0.74          0.00
114           10.06          1.49          0.74          0.00
115           10.16          1.49          0.74          0.00
116           10.08          1.49          0.74          0.00
117           10.06          1.60          0.74          0.00
118           10.11          1.49          0.74          0.00
119           10.05          1.48          0.76          0.00
120           10.17          1.49          0.74          0.00
121           10.08          1.49          0.74          0.00
122           10.09          1.61          0.74          0.00
123           10.10          1.50          0.74          0.00
124           10.08          1.49          0.74          0.85
125           10.10          1.52          0.77          0.00
126           10.09          1.52          0.74          0.00
127           10.21          1.49          0.74          0.00
128           10.10          1.49          0.74          0.00
129           10.08          1.49          0.73          0.00
130           10.19          1.50          0.74          0.00
131           10.07          1.49          0.75          0.00
132           10.08          1.61          0.74          0.00
133           10.11          1.49          0.74          0.00
