

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3557
Stamps Sum:          3557
Self Time (Agg.):    0.3115


Intervals
---------
exploration ........ 3040
skill model training  253.5
rl training ........ 254.9
logging ............ 8.824


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   3040.06   10.13   10.85    9.88     300
skill model training  253.53    0.85    1.41    0.75     300
rl training   254.90    0.85    1.92    0.79     300
logging         8.82    0.03    0.88    0.00     299


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0              9.92          1.41          1.92          0.00
1              9.88          0.82          0.81          0.00
2              9.95          0.75          0.81          0.00
3              9.92          0.83          0.80          0.00
4              9.93          0.76          0.80          0.00
5              9.90          0.77          0.88          0.00
6              9.94          0.77          0.79          0.00
7              9.91          0.77          0.80          0.00
8             10.03          0.79          0.82          0.00
9              9.97          0.78          0.81          0.00
10            10.00          0.80          0.81          0.00
11             9.97          0.79          0.81          0.00
12            10.07          0.80          0.82          0.00
13            10.02          0.78          0.81          0.00
14            10.08          0.80          0.82          0.00
15             9.99          0.81          0.82          0.00
16            10.09          0.79          0.84          0.00
17            10.03          0.81          0.83          0.00
18            10.10          0.81          0.83          0.00
19            10.02          0.82          0.83          0.00
20            10.08          0.81          0.83          0.00
21            10.04          0.81          0.83          0.00
22            10.29          0.82          0.83          0.00
23            10.04          0.81          0.83          0.00
24            10.09          0.81          0.83          0.77
25            10.10          0.89          0.83          0.00
26            10.12          0.81          0.82          0.00
27            10.07          0.80          0.81          0.00
28            10.14          0.80          0.81          0.00
29            10.06          0.81          0.82          0.00
30            10.14          0.81          0.82          0.00
31            10.08          0.81          0.82          0.00
32            10.06          0.89          0.81          0.00
33            10.07          0.83          0.82          0.00
34            10.06          0.80          0.82          0.00
35            10.15          0.81          0.82          0.00
36            10.06          0.81          0.82          0.00
37            10.16          0.81          0.82          0.00
38            10.05          0.81          0.82          0.00
39            10.08          0.89          0.82          0.00
40            10.08          0.81          0.82          0.00
41            10.08          0.81          0.81          0.00
42            10.16          0.81          0.82          0.00
43            10.06          0.81          0.82          0.00
44            10.17          0.81          0.83          0.00
45            10.11          0.82          0.82          0.00
46            10.09          0.90          0.81          0.00
47            10.08          0.81          0.84          0.00
48            10.06          0.81          0.82          0.00
49            10.16          0.81          0.82          0.65
50            10.20          0.83          0.84          0.00
51            10.11          0.82          0.83          0.00
52            10.04          0.81          0.84          0.00
