

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      717.2
Stamps Sum:          717.3
Self Time (Agg.):    0.04917


Intervals
---------
exploration ........ 501
skill model training  141.1
rl training ........ 73
logging ............ 2.221


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   500.95    5.01    5.18    4.86     100
skill model training  141.11    1.41    2.06    1.30     100
rl training    73.00    0.73    1.88    0.69     100
logging         2.22    0.02    0.85    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0              5.18          2.06          1.88          0.00
1              4.93          1.32          0.74          0.00
2              4.99          1.42          0.71          0.00
3              4.97          1.34          0.73          0.00
4              5.03          1.35          0.72          0.00
5              4.98          1.43          0.71          0.00
6              4.97          1.43          0.72          0.00
7              5.07          1.35          0.73          0.00
8              5.14          1.35          0.73          0.00
9              5.05          1.38          0.73          0.00
10             5.04          1.31          0.71          0.00
11             4.97          1.35          0.71          0.00
12             4.90          1.33          0.71          0.00
13             4.88          1.32          0.71          0.00
14             5.01          1.36          0.71          0.00
15             4.88          1.35          0.71          0.00
16             4.86          1.42          0.71          0.00
17             4.94          1.36          0.71          0.00
18             4.97          1.33          0.72          0.00
19             4.92          1.43          0.72          0.00
20             4.96          1.35          0.71          0.00
21             4.96          1.32          0.71          0.00
22             5.06          1.46          0.72          0.00
23             4.97          1.36          0.71          0.00
24             5.04          1.41          0.71          0.85
25             5.05          1.38          0.73          0.00
26             4.97          1.35          0.71          0.00
27             5.00          1.36          0.70          0.00
28             4.96          1.34          0.69          0.00
29             4.95          1.30          0.69          0.00
30             4.99          1.39          0.72          0.00
31             4.98          1.38          0.70          0.00
32             4.91          1.36          0.69          0.00
33             5.00          1.39          0.71          0.00
34             5.01          1.37          0.71          0.00
35             4.99          1.35          0.70          0.00
36             5.07          1.41          0.71          0.00
37             4.94          1.39          0.73          0.00
38             4.98          1.35          0.70          0.00
39             5.04          1.41          0.72          0.00
40             5.02          1.39          0.70          0.00
41             4.98          1.35          0.69          0.00
42             5.16          1.41          0.73          0.00
43             5.04          1.39          0.72          0.00
44             5.09          1.39          0.70          0.00
45             5.01          1.50          0.71          0.00
46             5.01          1.40          0.72          0.00
47             5.04          1.42          0.71          0.00
48             5.05          1.49          0.71          0.00
49             4.99          1.41          0.70          0.61
50             5.05          1.50          0.74          0.00
51             4.97          1.42          0.72          0.00
52             5.02          1.42          0.71          0.00
53             4.97          1.34          0.70          0.00
54             5.01          1.39          0.71          0.00
55             4.96          1.40          0.71          0.00
56             4.89          1.40          0.70          0.00
57             5.05          1.42          0.71          0.00
58             4.97          1.45          0.73          0.00
59             5.01          1.44          0.72          0.00
60             5.02          1.49          0.74          0.00
61             5.04          1.42          0.72          0.00
62             5.02          1.40          0.73          0.00
63             5.03          1.37          0.71          0.00
64             5.15          1.44          0.73          0.00
65             5.04          1.42          0.72          0.00
66             5.02          1.40          0.72          0.00
67             5.16          1.42          0.75          0.00
68             5.04          1.42          0.71          0.00
69             4.99          1.40          0.71          0.00
70             5.06          1.54          0.71          0.00
71             5.03          1.40          0.71          0.00
72             5.06          1.41          0.70          0.00
73             4.93          1.42          0.70          0.00
74             5.13          1.45          0.77          0.63
75             5.11          1.46          0.81          0.00
76             5.09          1.49          0.76          0.00
77             4.99          1.43          0.71          0.00
78             5.01          1.40          0.72          0.00
79             5.02          1.49          0.70          0.00
80             4.97          1.41          0.80          0.00
81             5.08          1.43          0.73          0.00
82             5.07          1.44          0.72          0.00
83             5.12          1.45          0.73          0.00
84             5.06          1.44          0.72          0.00
85             5.04          1.44          0.72          0.00
86             5.02          1.41          0.82          0.00
87             4.96          1.42          0.74          0.00
88             4.98          1.41          0.71          0.00
89             4.97          1.43          0.73          0.00
90             4.96          1.53          0.71          0.00
91             4.95          1.43          0.71          0.00
92             4.97          1.42          0.71          0.00
93             4.98          1.41          0.71          0.00
94             5.08          1.43          0.71          0.00
95             4.99          1.42          0.71          0.00
96             5.00          1.40          0.71          0.00
97             4.97          1.54          0.72          0.00
98             5.01          1.43          0.71          0.00
99             5.02          1.42          0.71              


---End Timer Report (root)---

