

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      1428
Stamps Sum:          1428
Self Time (Agg.):    0.05156


Intervals
---------
exploration ........ 1008
skill model training  280.6
rl training ........ 137.3
logging ............ 2.45


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   1007.83   10.08   10.60    9.77     100
skill model training  280.56    2.81    3.30    2.55     100
rl training   137.31    1.37    2.45    1.31     100
logging         2.45    0.02    0.78    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0              9.97          3.23          2.45          0.00
1              9.92          2.64          1.37          0.00
2              9.93          2.58          1.34          0.00
3             10.17          2.59          1.33          0.00
4              9.82          2.71          1.33          0.00
5              9.97          2.58          1.34          0.00
6             10.07          2.67          1.35          0.00
7              9.91          2.78          1.36          0.00
8              9.98          2.55          1.36          0.00
9              9.77          2.63          1.34          0.00
10             9.96          2.73          1.33          0.00
11             9.86          2.59          1.34          0.00
12             9.91          2.66          1.34          0.00
13             9.89          2.73          1.34          0.00
14             9.83          2.63          1.33          0.00
15             9.92          2.81          1.40          0.00
16            10.01          2.76          1.37          0.00
17             9.89          2.68          1.35          0.00
18            10.08          2.70          1.35          0.00
19             9.92          2.82          1.37          0.00
20            10.02          2.76          1.38          0.00
21            10.01          2.79          1.36          0.00
22             9.96          2.81          1.37          0.00
23            10.04          2.74          1.39          0.00
24            10.01          2.77          1.38          0.76
25            10.21          2.78          1.34          0.00
26            10.11          2.73          1.43          0.00
27            10.00          2.76          1.34          0.00
28            10.04          2.88          1.37          0.00
29            10.08          2.71          1.34          0.00
30            10.04          2.74          1.37          0.00
31            10.02          2.72          1.39          0.00
32             9.92          2.74          1.32          0.00
33             9.92          2.85          1.33          0.00
34            10.08          2.75          1.37          0.00
35            10.11          2.77          1.35          0.00
36             9.96          2.73          1.32          0.00
37             9.97          2.72          1.32          0.00
38             9.91          2.82          1.31          0.00
39             9.95          2.76          1.34          0.00
40            10.10          2.75          1.33          0.00
41             9.99          2.77          1.38          0.00
42            10.33          2.89          1.40          0.00
43            10.53          3.30          1.41          0.00
44            10.53          3.03          1.51          0.00
45            10.34          2.85          1.37          0.00
46             9.95          2.76          1.33          0.00
47            10.03          2.77          1.33          0.00
48            10.02          2.86          1.34          0.00
49             9.99          2.76          1.34          0.74
50             9.96          2.80          1.34          0.00
51            10.03          2.90          1.37          0.00
52             9.96          2.77          1.39          0.00
53             9.99          2.91          1.33          0.00
54            10.09          2.78          1.32          0.00
55            10.10          2.78          1.32          0.00
56            10.02          2.74          1.32          0.00
57            10.60          2.94          1.32          0.00
58            10.17          2.73          1.43          0.00
59            10.02          2.79          1.37          0.00
60            10.11          2.86          1.32          0.00
61            10.02          2.82          1.35          0.00
62            10.07          2.94          1.34          0.00
63            10.02          2.76          1.33          0.00
64            10.13          2.86          1.41          0.00
65            10.01          2.75          1.36          0.00
66            10.08          2.81          1.34          0.00
67            10.01          2.79          1.35          0.00
68            10.07          2.81          1.32          0.00
69            10.04          2.87          1.32          0.00
70            10.03          2.81          1.34          0.00
71            10.10          2.92          1.44          0.00
72            10.14          2.84          1.37          0.00
73            10.17          2.82          1.33          0.00
74            10.16          2.80          1.38          0.78
75            10.60          2.96          1.41          0.00
76            10.58          3.04          1.58          0.00
77            10.46          2.86          1.37          0.00
78            10.12          2.92          1.45          0.00
79            10.20          2.89          1.37          0.00
80            10.19          2.93          1.37          0.00
81            10.11          2.80          1.38          0.00
82            10.12          2.86          1.33          0.00
83            10.30          3.28          1.64          0.00
84            10.55          2.96          1.35          0.00
85            10.34          2.93          1.40          0.00
86            10.32          2.80          1.34          0.00
87            10.02          2.80          1.34          0.00
88            10.09          2.83          1.36          0.00
89            10.08          2.84          1.38          0.00
90            10.19          2.89          1.39          0.00
91            10.09          2.82          1.35          0.00
92            10.18          2.81          1.33          0.00
93            10.00          2.75          1.34          0.00
94            10.06          2.82          1.36          0.00
95            10.01          2.81          1.35          0.00
96            10.09          2.84          1.36          0.00
97            10.02          2.79          1.33          0.00
98            10.05          2.80          1.33          0.00
99            10.00          2.79          1.40              


---End Timer Report (root)---

