

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3345
Stamps Sum:          3345
Self Time (Agg.):    0.06717


Intervals
---------
exploration ........ 1597
skill model training  312.3
rl training ........ 1359
logging ............ 76.36


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   1596.74   15.97   16.30   15.69     100
skill model training  312.30    3.12    3.86    3.06     100
rl training   1359.30   13.59   14.62   13.47     100
logging        76.36    0.77    8.67    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.88          3.86         14.62          0.00
1             15.83          3.06         13.60          0.00
2             15.93          3.06         13.47          0.00
3             15.95          3.07         13.47          0.00
4             15.77          3.06         13.62          0.00
5             16.10          3.17         13.50          0.00
6             15.88          3.08         13.52          0.00
7             15.85          3.08         13.59          0.00
8             15.84          3.15         13.50          0.00
9             16.05          3.08         13.50          8.51
10            16.15          3.07         13.57          0.00
11            15.94          3.07         13.54          0.00
12            15.91          3.07         13.64          0.00
13            16.05          3.07         13.64          0.00
14            16.05          3.07         13.63          0.00
15            15.99          3.17         13.53          0.00
16            16.04          3.18         13.53          0.00
17            15.78          3.18         13.56          0.00
18            16.07          3.09         13.55          0.00
19            16.10          3.09         13.53          8.40
20            15.70          3.07         13.59          0.00
21            15.94          3.08         13.58          0.00
22            16.05          3.07         13.57          0.00
23            15.96          3.08         13.55          0.00
24            15.97          3.09         13.55          0.00
25            15.82          3.09         13.56          0.00
26            15.96          3.09         13.60          0.00
27            15.96          3.09         13.57          0.00
28            16.16          3.10         13.57          0.00
29            16.22          3.10         13.58          8.62
30            15.90          3.06         13.72          0.00
31            16.13          3.08         13.58          0.00
32            15.75          3.09         13.60          0.00
33            15.99          3.09         13.56          0.00
34            16.02          3.09         13.59          0.00
35            15.80          3.09         13.57          0.00
36            15.95          3.11         13.54          0.00
37            15.87          3.10         13.57          0.00
38            16.08          3.20         13.59          0.00
39            15.82          3.20         13.56          8.35
40            16.12          3.08         13.57          0.00
41            16.15          3.09         13.58          0.00
42            15.82          3.09         13.57          0.00
43            15.95          3.21         13.54          0.00
44            15.78          3.09         13.60          0.00
45            16.01          3.09         13.58          0.00
46            15.82          3.11         13.56          0.00
47            15.83          3.11         13.57          0.00
48            16.08          3.11         13.58          0.00
49            15.69          3.21         13.56          8.32
50            15.84          3.09         13.57          0.00
51            15.97          3.09         13.58          0.00
52            15.98          3.21         13.59          0.00
53            15.99          3.09         13.61          0.00
54            16.00          3.11         13.60          0.00
55            16.17          3.11         13.58          0.00
56            15.72          3.21         13.60          0.00
57            16.08          3.10         13.60          0.00
58            16.15          3.12         13.63          0.00
59            16.07          3.11         13.58          8.36
60            15.80          3.08         13.64          0.00
61            16.08          3.10         13.61          0.00
62            16.20          3.21         13.50          0.00
63            16.20          3.10         13.63          0.00
64            15.84          3.11         13.58          0.00
65            15.99          3.22         13.47          0.00
66            16.04          3.11         13.63          0.00
67            16.29          3.11         13.64          0.00
68            15.93          3.23         13.61          0.00
69            16.12          3.11         13.63          8.46
70            15.76          3.20         13.48          0.00
71            16.19          3.09         13.59          0.00
72            16.15          3.10         13.60          0.00
73            16.03          3.08         13.61          0.00
74            16.08          3.10         13.62          0.00
75            15.90          3.23         13.64          0.00
76            16.09          3.11         13.63          0.00
77            16.11          3.11         13.59          0.00
78            15.69          3.09         13.62          0.00
79            15.97          3.11         13.62          8.43
80            15.75          3.08         13.65          0.00
81            16.18          3.13         13.64          0.00
82            16.25          3.12         13.72          0.00
83            15.86          3.10         13.58          0.00
84            15.75          3.09         13.62          0.00
85            15.82          3.10         13.60          0.00
86            16.05          3.10         13.59          0.00
87            15.76          3.10         13.59          0.00
88            15.74          3.09         13.60          0.00
89            15.81          3.12         13.61          8.67
90            15.92          3.08         13.60          0.00
91            15.85          3.24         13.50          0.00
92            16.30          3.15         13.70          0.00
93            15.70          3.22         13.47          0.00
94            15.91          3.10         13.64          0.00
95            16.17          3.23         13.50          0.00
96            16.07          3.11         13.64          0.00
97            15.95          3.22         13.48          0.00
98            16.16          3.12         13.61          0.00
99            15.84          3.09         13.63              


---End Timer Report (root)---

