

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      1999
Stamps Sum:          1999
Self Time (Agg.):    0.03454


Intervals
---------
exploration ........ 949.1
skill model training  188.1
rl training ........ 818.9
logging ............ 42.49


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   949.09   15.82   16.16   15.59      60
skill model training  188.10    3.13    3.89    3.07      60
rl training   818.91   13.65   14.63   13.54      60
logging        42.49    0.72    8.61    0.00      59


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.75          3.89         14.63          0.00
1             15.76          3.08         13.63          0.00
2             15.97          3.17         13.55          0.00
3             15.90          3.08         13.59          0.00
4             15.72          3.08         13.64          0.00
5             15.60          3.17         13.57          0.00
6             15.62          3.09         13.55          0.00
7             15.90          3.09         13.56          0.00
8             15.64          3.09         13.64          0.00
9             15.82          3.17         13.54          8.59
10            15.67          3.07         13.62          0.00
11            15.93          3.08         13.63          0.00
12            15.86          3.09         13.60          0.00
13            15.73          3.08         13.70          0.00
14            15.62          3.08         13.70          0.00
15            15.77          3.18         13.60          0.00
16            15.64          3.18         13.62          0.00
17            15.70          3.19         13.61          0.00
18            15.76          3.11         13.61          0.00
19            15.79          3.10         13.62          8.35
20            15.70          3.08         13.60          0.00
21            15.93          3.09         13.64          0.00
22            16.07          3.10         13.60          0.00
23            15.81          3.09         13.59          0.00
24            15.68          3.10         13.59          0.00
25            15.59          3.20         13.63          0.00
26            15.59          3.21         13.61          0.00
27            16.03          3.21         13.61          0.00
28            15.83          3.21         13.63          0.00
29            15.99          3.21         13.62          8.61
30            15.60          3.08         13.64          0.00
31            15.90          3.09         13.64          0.00
32            16.16          3.09         13.64          0.00
33            15.95          3.10         13.62          0.00
34            15.75          3.10         13.64          0.00
35            15.89          3.10         13.63          0.00
36            16.04          3.11         13.62          0.00
37            15.62          3.21         13.65          0.00
38            15.82          3.10         13.74          0.00
39            15.91          3.10         13.64          8.41
40            15.69          3.09         13.63          0.00
41            15.77          3.10         13.62          0.00
42            16.06          3.21         13.63          0.00
43            16.06          3.10         13.65          0.00
44            16.05          3.11         13.64          0.00
45            15.95          3.10         13.70          0.00
46            15.81          3.11         13.67          0.00
47            15.94          3.12         13.65          0.00
48            15.67          3.10         13.70          0.00
49            15.80          3.12         13.66          8.39
50            15.75          3.09         13.65          0.00
51            15.73          3.22         13.62          0.00
52            15.97          3.09         13.66          0.00
53            15.73          3.11         13.67          0.00
54            15.87          3.12         13.64          0.00
55            15.94          3.21         13.64          0.00
56            15.74          3.10         13.69          0.00
57            15.87          3.12         13.64          0.00
58            15.84          3.12         13.66          0.00
59            15.83          3.11         13.70              


---End Timer Report (root)---

