

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3876
Stamps Sum:          3876
Self Time (Agg.):    0.06851


Intervals
---------
exploration ........ 1570
skill model training  313.1
rl training ........ 1365
logging ............ 627.5


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   1569.87   15.70   16.20   15.41     100
skill model training  313.15    3.13    3.41    3.08     100
rl training   1365.38   13.65   14.68   13.46     100
logging       627.52    6.34   70.19    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.64          3.41         14.68          0.00
1             15.64          3.11         13.61          0.00
2             15.44          3.22         13.53          0.00
3             15.61          3.11         13.65          0.00
4             15.86          3.12         13.60          0.00
5             15.87          3.11         13.66          0.00
6             15.77          3.12         13.63          0.00
7             15.81          3.12         13.64          0.00
8             15.85          3.11         13.68          0.00
9             15.59          3.12         13.59         69.79
10            15.84          3.22         13.67          0.00
11            15.75          3.10         13.66          0.00
12            15.69          3.11         13.60          0.00
13            15.49          3.09         13.68          0.00
14            15.81          3.14         13.63          0.00
15            15.51          3.23         13.52          0.00
16            15.61          3.12         13.65          0.00
17            15.92          3.12         13.62          0.00
18            15.64          3.11         13.64          0.00
19            15.63          3.12         13.65         69.76
20            15.46          3.08         13.61          0.00
21            15.96          3.10         13.58          0.00
22            15.67          3.10         13.66          0.00
23            15.62          3.11         13.65          0.00
24            15.75          3.10         13.64          0.00
25            15.81          3.11         13.61          0.00
26            15.88          3.11         13.64          0.00
27            15.73          3.12         13.60          0.00
28            15.63          3.10         13.70          0.00
29            15.57          3.12         13.63         69.92
30            15.57          3.09         13.62          0.00
31            15.57          3.25         13.53          0.00
32            15.69          3.11         13.66          0.00
33            15.58          3.24         13.55          0.00
34            15.84          3.12         13.64          0.00
35            15.73          3.10         13.68          0.00
36            15.88          3.12         13.64          0.00
37            15.46          3.11         13.68          0.00
38            15.77          3.12         13.64          0.00
39            15.57          3.11         13.69         69.77
40            15.41          3.08         13.68          0.00
41            15.71          3.11         13.67          0.00
42            15.41          3.10         13.65          0.00
43            15.64          3.27         13.51          0.00
44            15.84          3.12         13.65          0.00
45            15.54          3.11         13.67          0.00
46            15.92          3.12         13.64          0.00
47            15.70          3.11         13.68          0.00
48            15.57          3.13         13.66          0.00
49            15.44          3.13         13.70         69.62
50            15.59          3.10         13.65          0.00
51            15.86          3.11         13.70          0.00
52            16.02          3.11         13.61          0.00
53            15.71          3.11         13.67          0.00
54            15.69          3.28         13.52          0.00
55            15.78          3.12         13.66          0.00
56            15.44          3.11         13.70          0.00
57            15.64          3.14         13.46          0.00
58            16.04          3.14         13.73          0.00
59            15.43          3.11         13.71         69.17
60            15.74          3.09         13.66          0.00
61            15.83          3.25         13.54          0.00
62            15.61          3.12         13.63          0.00
63            15.62          3.11         13.69          0.00
64            15.65          3.12         13.71          0.00
65            15.76          3.13         13.69          0.00
66            15.53          3.12         13.69          0.00
67            15.63          3.11         13.72          0.00
68            15.66          3.14         13.61          0.00
69            15.69          3.12         13.68         70.19
70            15.63          3.11         13.63          0.00
71            15.61          3.11         13.68          0.00
72            15.78          3.11         13.72          0.00
73            15.85          3.13         13.50          0.00
74            15.65          3.13         13.71          0.00
75            15.50          3.11         13.72          0.00
76            15.66          3.28         13.57          0.00
77            15.87          3.15         13.70          0.00
78            15.70          3.12         13.70          0.00
79            15.59          3.11         13.73         69.76
80            15.79          3.12         13.63          0.00
81            15.82          3.10         13.72          0.00
82            15.64          3.10         13.74          0.00
83            16.20          3.15         13.77          0.00
84            16.09          3.15         13.69          0.00
85            15.96          3.12         13.72          0.00
86            15.81          3.10         13.80          0.00
87            15.81          3.20         13.48          0.00
88            15.89          3.13         13.63          0.00
89            15.59          3.12         13.68         69.30
90            15.54          3.10         13.50          0.00
91            15.58          3.11         13.64          0.00
92            15.51          3.09         13.67          0.00
93            15.90          3.10         13.66          0.00
94            15.45          3.09         13.69          0.00
95            15.63          3.12         13.48          0.00
96            15.89          3.12         13.67          0.00
97            15.77          3.10         13.63          0.00
98            15.62          3.11         13.67          0.00
99            15.71          3.28         13.48              


---End Timer Report (root)---

