

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      2437
Stamps Sum:          2437
Self Time (Agg.):    0.0475


Intervals
---------
exploration ........ 1181
skill model training  234.3
rl training ........ 1018
logging ............ 3.628


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   1181.47   15.75   16.08   15.46      75
skill model training  234.29    3.12    3.87    3.06      75
rl training   1017.65   13.57   14.59   13.46      75
logging         3.63    0.05    1.75    0.00      74


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.90          3.87         14.59          0.00
1             15.84          3.06         13.55          0.00
2             15.97          3.07         13.46          0.00
3             15.69          3.07         13.49          0.00
4             15.72          3.07         13.57          0.00
5             15.57          3.15         13.49          0.00
6             15.88          3.08         13.54          0.00
7             15.56          3.08         13.61          0.00
8             15.50          3.07         13.56          0.00
9             15.61          3.09         13.48          0.00
10            15.83          3.09         13.48          0.00
11            15.86          3.08         13.58          0.00
12            15.53          3.17         13.49          0.00
13            15.59          3.08         13.53          0.00
14            15.61          3.08         13.50          0.00
15            15.53          3.09         13.63          0.00
16            15.46          3.17         13.47          0.00
17            15.78          3.09         13.51          0.00
18            15.84          3.09         13.60          0.00
19            15.82          3.17         13.52          0.00
20            15.84          3.10         13.51          0.00
21            15.99          3.10         13.53          0.00
22            15.56          3.09         13.62          0.00
23            15.92          3.18         13.53          0.00
24            15.62          3.10         13.52          1.75
25            15.85          3.17         13.54          0.00
26            15.62          3.08         13.51          0.00
27            15.64          3.09         13.55          0.00
28            15.79          3.09         13.71          0.00
29            15.88          3.08         13.51          0.00
30            16.01          3.09         13.54          0.00
31            15.82          3.10         13.53          0.00
32            15.61          3.10         13.54          0.00
33            15.98          3.09         13.57          0.00
34            16.03          3.09         13.51          0.00
35            15.58          3.10         13.66          0.00
36            15.86          3.10         13.64          0.00
37            15.87          3.09         13.68          0.00
38            15.95          3.09         13.64          0.00
39            15.57          3.10         13.64          0.00
40            16.02          3.19         13.53          0.00
41            15.61          3.20         13.51          0.00
42            15.48          3.22         13.54          0.00
43            15.56          3.21         13.56          0.00
44            15.67          3.11         13.55          0.00
45            15.60          3.12         13.54          0.00
46            15.84          3.12         13.57          0.00
47            15.86          3.11         13.55          0.00
48            15.86          3.12         13.57          0.00
49            15.63          3.12         13.54          1.68
50            15.78          3.08         13.53          0.00
51            15.69          3.09         13.55          0.00
52            15.65          3.09         13.59          0.00
53            15.95          3.10         13.59          0.00
54            15.93          3.10         13.57          0.00
55            15.85          3.10         13.55          0.00
56            15.78          3.10         13.55          0.00
57            15.61          3.10         13.54          0.00
58            15.97          3.12         13.57          0.00
59            15.98          3.11         13.57          0.00
60            15.73          3.10         13.54          0.00
61            15.83          3.11         13.56          0.00
62            15.84          3.12         13.57          0.00
63            15.61          3.11         13.57          0.00
64            16.08          3.12         13.53          0.00
65            15.61          3.22         13.57          0.00
66            15.54          3.22         13.53          0.00
67            15.76          3.21         13.58          0.00
68            15.54          3.10         13.63          0.00
69            15.49          3.11         13.54          0.00
70            15.61          3.12         13.55          0.00
71            15.66          3.12         13.58          0.00
72            15.78          3.12         13.54          0.00
73            15.95          3.13         13.57          0.00
74            16.03          3.12         13.56              


---End Timer Report (root)---

