

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3335
Stamps Sum:          3335
Self Time (Agg.):    0.06686


Intervals
---------
exploration ........ 1588
skill model training  312.3
rl training ........ 1359
logging ............ 76.22


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   1587.58   15.88   16.23   15.53     100
skill model training  312.32    3.12    3.85    3.06     100
rl training   1358.61   13.59   14.59   13.42     100
logging        76.22    0.77    8.62    0.00      99


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.53          3.85         14.59          0.00
1             15.78          3.06         13.56          0.00
2             15.73          3.06         13.49          0.00
3             15.71          3.07         13.50          0.00
4             15.98          3.08         13.58          0.00
5             16.02          3.16         13.53          0.00
6             16.09          3.07         13.51          0.00
7             15.98          3.07         13.59          0.00
8             15.88          3.15         13.49          0.00
9             15.87          3.07         13.48          8.38
10            15.85          3.06         13.54          0.00
11            15.94          3.07         13.57          0.00
12            16.12          3.07         13.64          0.00
13            16.07          3.07         13.66          0.00
14            15.85          3.07         13.64          0.00
15            15.90          3.17         13.54          0.00
16            15.64          3.19         13.57          0.00
17            15.74          3.19         13.54          0.00
18            15.96          3.10         13.57          0.00
19            16.00          3.11         13.56          8.37
20            15.86          3.07         13.55          0.00
21            16.19          3.07         13.57          0.00
22            16.05          3.08         13.55          0.00
23            16.00          3.09         13.58          0.00
24            16.10          3.09         13.55          0.00
25            15.91          3.09         13.55          0.00
26            15.75          3.09         13.57          0.00
27            15.78          3.09         13.55          0.00
28            15.71          3.10         13.55          0.00
29            15.76          3.10         13.58          8.36
30            16.00          3.07         13.72          0.00
31            16.05          3.08         13.60          0.00
32            16.16          3.10         13.57          0.00
33            15.71          3.09         13.57          0.00
34            15.85          3.10         13.59          0.00
35            15.78          3.09         13.58          0.00
36            15.70          3.10         13.58          0.00
37            16.14          3.10         13.58          0.00
38            15.68          3.20         13.57          0.00
39            15.95          3.20         13.61          8.42
40            15.91          3.08         13.60          0.00
41            15.98          3.09         13.71          0.00
42            16.23          3.09         13.53          0.00
43            15.70          3.21         13.52          0.00
44            15.92          3.08         13.58          0.00
45            15.82          3.09         13.58          0.00
46            15.72          3.11         13.56          0.00
47            15.79          3.10         13.53          0.00
48            16.01          3.11         13.57          0.00
49            15.66          3.21         13.54          8.26
50            15.69          3.08         13.60          0.00
51            15.97          3.10         13.79          0.00
52            15.77          3.28         13.53          0.00
53            15.67          3.10         13.74          0.00
54            15.92          3.11         13.57          0.00
55            15.93          3.10         13.59          0.00
56            16.02          3.21         13.59          0.00
57            15.97          3.10         13.62          0.00
58            16.11          3.11         13.56          0.00
59            15.76          3.11         13.58          8.43
60            16.03          3.09         13.75          0.00
61            15.77          3.09         13.57          0.00
62            15.84          3.21         13.46          0.00
63            15.89          3.11         13.60          0.00
64            15.82          3.11         13.57          0.00
65            15.63          3.21         13.44          0.00
66            15.73          3.11         13.59          0.00
67            16.02          3.11         13.56          0.00
68            15.63          3.23         13.57          0.00
69            15.83          3.10         13.60          8.53
70            15.68          3.20         13.44          0.00
71            15.87          3.09         13.60          0.00
72            16.13          3.09         13.59          0.00
73            15.69          3.08         13.61          0.00
74            15.75          3.10         13.57          0.00
75            15.87          3.23         13.64          0.00
76            15.62          3.09         13.60          0.00
77            16.09          3.11         13.61          0.00
78            15.97          3.09         13.63          0.00
79            15.84          3.11         13.62          8.60
80            15.76          3.07         13.61          0.00
81            15.76          3.10         13.55          0.00
82            15.70          3.09         13.63          0.00
83            15.91          3.10         13.58          0.00
84            15.82          3.09         13.62          0.00
85            16.08          3.10         13.59          0.00
86            15.66          3.09         13.57          0.00
87            15.75          3.11         13.59          0.00
88            15.92          3.10         13.59          0.00
89            15.86          3.11         13.62          8.62
90            15.82          3.09         13.62          0.00
91            16.00          3.23         13.45          0.00
92            16.03          3.10         13.61          0.00
93            16.10          3.25         13.42          0.00
94            16.01          3.10         13.61          0.00
95            15.80          3.23         13.45          0.00
96            15.77          3.11         13.57          0.00
97            15.97          3.23         13.48          0.00
98            15.81          3.11         13.61          0.00
99            16.04          3.10         13.60              


---End Timer Report (root)---

