

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3285
Stamps Sum:          3285
Self Time (Agg.):    0.04376


Intervals
---------
exploration ........ 1114
skill model training  219
rl training ........ 1900
logging ............ 51.14


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   1114.33   15.92   16.20   15.63      70
skill model training  219.05    3.13    3.86    3.07      70
rl training   1900.35   27.15   28.17   26.99      70
logging        51.14    0.74    8.61    0.00      69


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             15.71          3.86         28.17          0.00
1             15.99          3.15         27.00          0.00
2             15.73          3.07         27.05          0.00
3             16.03          3.08         27.01          0.00
4             15.82          3.08         27.06          0.00
5             15.97          3.07         27.09          0.00
6             15.68          3.15         27.02          0.00
7             15.67          3.08         27.07          0.00
8             15.84          3.17         27.02          0.00
9             15.76          3.08         27.08          8.47
10            15.65          3.15         27.07          0.00
11            15.82          3.07         27.07          0.00
12            16.10          3.08         27.13          0.00
13            15.95          3.08         27.19          0.00
14            15.83          3.19         27.16          0.00
15            15.99          3.09         27.07          0.00
16            16.04          3.10         27.11          0.00
17            16.17          3.09         27.15          0.00
18            15.93          3.18         27.08          0.00
19            16.04          3.12         27.08          8.54
20            15.63          3.07         27.11          0.00
21            15.77          3.08         27.13          0.00
22            15.84          3.08         27.11          0.00
23            15.98          3.09         27.15          0.00
24            16.11          3.09         27.22          0.00
25            15.92          3.09         27.25          0.00
26            16.13          3.10         27.23          0.00
27            16.06          3.20         27.09          0.00
28            16.15          3.21         27.10          0.00
29            15.71          3.21         27.08          8.42
30            16.03          3.07         27.20          0.00
31            15.74          3.09         27.18          0.00
32            15.67          3.09         27.22          0.00
33            15.78          3.09         27.18          0.00
34            16.12          3.10         27.15          0.00
35            16.17          3.10         27.13          0.00
36            15.84          3.10         27.19          0.00
37            15.97          3.11         27.15          0.00
38            15.97          3.11         27.16          0.00
39            15.97          3.11         27.13          8.54
40            16.06          3.09         27.14          0.00
41            16.14          3.22         27.14          0.00
42            15.72          3.08         27.23          0.00
43            16.04          3.10         27.17          0.00
44            15.80          3.10         27.15          0.00
45            15.99          3.11         27.12          0.00
46            16.01          3.11         27.17          0.00
47            16.15          3.23         27.18          0.00
48            15.74          3.10         27.16          0.00
49            15.78          3.11         27.17          8.36
50            16.05          3.09         27.14          0.00
51            15.81          3.09         27.21          0.00
52            15.92          3.10         27.18          0.00
53            16.19          3.10         27.16          0.00
54            15.98          3.23         27.18          0.00
55            15.72          3.09         27.17          0.00
56            15.81          3.12         27.16          0.00
57            16.20          3.26         27.26          0.00
58            15.72          3.10         27.17          0.00
59            15.95          3.12         27.13          8.61
60            16.09          3.08         27.15          0.00
61            15.92          3.10         27.11          0.00
62            16.11          3.24         27.01          0.00
63            15.81          3.11         27.12          0.00
64            16.14          3.11         27.09          0.00
65            15.69          3.10         27.19          0.00
66            15.81          3.14         27.11          0.00
67            16.08          3.25         26.99          0.00
68            15.84          3.11         27.18          0.00
69            15.80          3.12         27.19              


---End Timer Report (root)---

