

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      6076
Stamps Sum:          6076
Self Time (Agg.):    0.1102


Intervals
---------
exploration ........ 4833
skill model training  134.6
rl training ........ 1086
logging ............ 22.89


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   4832.59   32.22   32.82   31.75     150
skill model training  134.60    0.90    1.73    0.87     150
rl training   1086.34    7.24    8.36    7.12     150
logging        22.89    0.15    1.70    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             32.07          1.73          8.36          0.00
1             32.57          0.88          7.25          0.00
2             32.12          0.88          7.14          0.00
3             32.25          0.88          7.16          0.00
4             31.94          0.88          7.24          0.00
5             32.18          0.89          7.22          0.00
6             32.11          0.88          7.23          0.00
7             31.81          0.88          7.12          0.00
8             31.95          0.89          7.15          0.00
9             31.78          0.88          7.21          1.68
10            32.32          0.88          7.16          0.00
11            32.38          0.88          7.17          0.00
12            31.89          0.89          7.16          0.00
13            32.29          0.88          7.15          0.00
14            31.75          0.88          7.15          0.00
15            31.78          0.88          7.17          0.00
16            32.19          0.89          7.16          0.00
17            32.13          0.89          7.16          0.00
18            31.76          0.89          7.15          0.00
19            31.87          0.88          7.17          1.69
20            32.36          0.88          7.26          0.00
21            32.59          0.88          7.25          0.00
22            32.01          0.88          7.27          0.00
23            32.41          0.88          7.26          0.00
24            32.28          0.88          7.16          0.00
25            32.31          0.88          7.17          0.00
26            32.02          0.89          7.14          0.00
27            31.75          0.89          7.16          0.00
28            32.17          0.96          7.18          0.00
29            31.94          0.88          7.31          1.56
30            31.88          0.87          7.17          0.00
31            31.94          0.88          7.16          0.00
32            32.19          0.88          7.26          0.00
33            31.92          0.88          7.25          0.00
34            32.33          0.89          7.25          0.00
35            32.42          0.89          7.19          0.00
36            31.99          0.88          7.18          0.00
37            32.62          0.98          7.21          0.00
38            31.81          0.89          7.27          0.00
39            32.24          0.89          7.27          1.57
40            31.99          0.87          7.30          0.00
41            31.83          0.88          7.26          0.00
42            32.06          0.88          7.19          0.00
43            32.70          0.89          7.17          0.00
44            32.42          0.89          7.27          0.00
45            32.22          0.88          7.25          0.00
46            32.28          0.88          7.17          0.00
47            31.80          0.98          7.18          0.00
48            32.58          0.89          7.29          0.00
49            31.81          0.89          7.28          1.56
50            32.27          0.88          7.27          0.00
51            32.04          0.88          7.17          0.00
52            32.46          0.88          7.30          0.00
53            31.81          0.88          7.27          0.00
54            32.00          0.89          7.17          0.00
55            32.00          0.88          7.29          0.00
56            31.85          0.89          7.29          0.00
57            32.23          0.89          7.18          0.00
58            32.00          0.89          7.29          0.00
