

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      2.527e+04
Stamps Sum:          2.527e+04
Self Time (Agg.):    0.1154


Intervals
---------
exploration ........ 2.402e+04
skill model training  135.2
rl training ........ 1096
logging ............ 22.87


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   24017.27  160.12  162.36  158.44     150
skill model training  135.24    0.90    1.22    0.88     150
rl training   1096.11    7.31    8.45    7.20     150
logging        22.87    0.15    1.79    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0            160.39          1.22          8.45          0.00
1            160.18          0.89          7.22          0.00
2            160.95          0.89          7.25          0.00
3            160.43          0.89          7.23          0.00
4            159.88          0.89          7.23          0.00
5            159.46          0.88          7.40          0.00
6            160.42          0.89          7.21          0.00
7            160.27          0.89          7.23          0.00
8            160.52          0.89          7.38          0.00
9            158.81          0.89          7.24          1.58
10           161.48          0.90          7.23          0.00
11           160.20          0.89          7.24          0.00
12           159.93          0.90          7.24          0.00
13           159.63          0.89          7.22          0.00
14           160.09          0.90          7.26          0.00
15           159.78          0.90          7.20          0.00
16           159.54          1.05          7.24          0.00
17           159.01          0.89          7.23          0.00
18           160.04          0.90          7.42          0.00
19           161.68          0.89          7.25          1.74
20           159.69          0.90          7.23          0.00
21           160.44          0.89          7.25          0.00
22           159.52          0.89          7.39          0.00
23           160.46          0.90          7.24          0.00
24           158.75          0.89          7.22          0.00
25           160.65          0.89          7.39          0.00
26           160.88          0.90          7.25          0.00
27           161.30          0.90          7.25          0.00
28           160.63          1.06          7.25          0.00
29           159.73          0.90          7.22          1.63
30           160.54          0.89          7.41          0.00
31           160.20          0.90          7.23          0.00
32           160.67          0.89          7.24          0.00
33           159.65          0.89          7.38          0.00
34           159.50          0.90          7.41          0.00
35           159.92          0.90          7.24          0.00
36           159.66          0.90          7.22          0.00
37           158.82          0.89          7.38          0.00
38           158.62          0.89          7.42          0.00
39           159.40          0.90          7.24          1.61
40           159.49          0.89          7.24          0.00
41           158.91          0.89          7.41          0.00
42           159.03          0.90          7.43          0.00
43           161.77          0.90          7.26          0.00
44           159.03          0.90          7.24          0.00
45           160.31          0.89          7.24          0.00
46           159.05          0.89          7.25          0.00
47           159.41          0.89          7.38          0.00
48           160.09          0.89          7.40          0.00
49           160.53          0.90          7.44          1.54
50           160.72          0.89          7.23          0.00
51           160.74          0.89          7.24          0.00
52           159.57          0.89          7.25          0.00
53           160.18          0.89          7.26          0.00
54           161.21          0.89          7.27          0.00
55           161.14          0.89          7.23          0.00
56           158.65          0.89          7.23          0.00
57           159.33          0.90          7.24          0.00
58           160.66          0.89          7.42          0.00
59           159.10          0.89          7.42          1.60
60           159.29          0.88          7.45          0.00
61           158.86          0.88          7.42          0.00
62           162.36          0.88          7.42          0.00
63           159.19          0.89          7.38          0.00
64           160.94          0.89          7.39          0.00
65           160.78          0.89          7.42          0.00
