

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      3.136e+04
Stamps Sum:          3.136e+04
Self Time (Agg.):    0.1103


Intervals
---------
exploration ........ 3.014e+04
skill model training  127.2
rl training ........ 1063
logging ............ 23.56


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   30144.40  200.96  202.32  199.27     150
skill model training  127.16    0.85    1.64    0.83     150
rl training   1062.99    7.09    8.19    6.97     150
logging        23.56    0.16    1.79    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0            200.18          1.64          8.19          0.00
1            199.58          0.83          6.97          0.00
2            200.29          0.83          6.97          0.00
3            200.65          0.83          6.99          0.00
4            200.69          0.83          7.04          0.00
5            200.00          0.83          7.07          0.00
6            200.13          0.83          7.08          0.00
7            199.27          0.83          7.07          0.00
8            199.79          0.83          7.09          0.00
9            200.40          0.83          7.09          1.74
10           200.21          0.83          7.11          0.00
11           200.80          0.83          7.01          0.00
12           200.18          0.84          7.00          0.00
13           201.22          0.83          7.12          0.00
14           200.38          0.83          7.12          0.00
15           200.77          0.83          7.00          0.00
16           201.81          0.84          7.09          0.00
17           200.35          0.83          7.11          0.00
18           199.94          0.83          7.11          0.00
19           200.64          0.84          6.99          1.70
20           201.18          0.83          7.10          0.00
21           199.52          0.83          7.01          0.00
22           200.80          0.83          7.02          0.00
23           200.78          0.84          7.01          0.00
24           200.30          0.83          7.14          0.00
25           200.56          0.83          7.11          0.00
26           201.06          0.84          7.11          0.00
27           200.63          0.84          7.00          0.00
28           199.89          0.84          7.03          0.00
29           199.54          0.83          7.12          1.63
30           200.79          0.83          7.14          0.00
31           200.83          0.83          7.02          0.00
32           200.66          0.83          7.14          0.00
33           201.00          0.83          7.02          0.00
34           200.50          0.83          7.10          0.00
35           200.66          0.84          7.03          0.00
36           201.03          0.83          7.13          0.00
37           201.50          0.93          7.05          0.00
38           200.31          0.84          7.01          0.00
39           200.51          0.83          7.12          1.63
40           200.13          0.83          7.01          0.00
41           201.50          0.83          7.12          0.00
42           201.47          0.84          7.13          0.00
43           200.21          0.84          7.14          0.00
44           200.44          0.84          7.13          0.00
45           200.84          0.83          7.17          0.00
46           200.63          0.84          7.14          0.00
47           200.80          0.94          7.01          0.00
48           201.02          0.84          7.00          0.00
49           201.13          0.84          7.02          1.68
50           200.52          0.84          7.01          0.00
51           200.71          0.84          7.03          0.00
52           201.05          0.84          7.15          0.00
53           201.46          0.84          7.12          0.00
54           200.73          0.84          7.03          0.00
55           201.53          0.84          7.05          0.00
56           200.98          0.84          7.13          0.00
57           200.80          0.84          7.13          0.00
58           201.26          0.84          7.03          0.00
59           201.53          0.84          7.05          1.59
60           200.72          0.84          7.16          0.00
61           200.40          0.84          7.02          0.00
62           201.04          0.83          7.16          0.00
63           200.91          0.83          7.02          0.00
64           202.12          0.84          7.14          0.00
65           201.18          0.84          7.02          0.00
66           201.00          0.84          7.13          0.00
67           200.71          0.84          7.04          0.00
68           199.75          0.84          7.15          0.00
69           200.69          0.95          7.04          1.63
70           200.86          0.84          7.13          0.00
71           200.51          0.84          7.16          0.00
72           200.81          0.84          7.14          0.00
73           201.08          0.84          7.05          0.00
74           201.68          0.84          7.02          0.00
75           200.41          0.84          7.03          0.00
76           201.13          0.84          7.13          0.00
77           201.08          0.84          7.18          0.00
78           200.97          0.84          7.19          0.00
79           201.21          0.84          7.04          1.63
80           201.29          0.84          7.02          0.00
81           202.32          0.84          7.03          0.00
82           201.35          0.84          7.03          0.00
83           201.56          0.84          7.07          0.00
84           201.47          0.85          7.03          0.00
85           201.42          0.84          7.05          0.00
86           201.80          0.96          7.04          0.00
87           201.95          0.84          7.17          0.00
88           200.75          0.84          7.19          0.00
89           201.37          0.84          7.14          1.60
90           201.47          0.83          7.18          0.00
91           202.30          0.84          7.01          0.00
92           201.92          0.84          7.04          0.00
93           201.34          0.84          7.17          0.00
94           201.06          0.83          7.02          0.00
95           201.77          0.84          7.04          0.00
96           201.68          0.83          7.18          0.00
97           201.38          0.84          7.02          0.00
