

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      1.347e+04
Stamps Sum:          1.347e+04
Self Time (Agg.):    0.1098


Intervals
---------
exploration ........ 1.226e+04
skill model training  126.9
rl training ........ 1060
logging ............ 23.42


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   12263.81   81.76   82.51   81.00     150
skill model training  126.86    0.85    1.15    0.83     150
rl training   1060.07    7.07    8.05    6.97     150
logging        23.42    0.16    1.83    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             81.54          1.15          8.05          0.00
1             81.91          0.84          7.15          0.00
2             82.09          0.84          6.98          0.00
3             81.81          0.85          7.00          0.00
4             81.23          0.84          7.14          0.00
5             81.30          0.84          7.00          0.00
6             81.77          0.84          7.16          0.00
7             81.52          0.85          6.98          0.00
8             81.53          1.00          7.02          0.00
9             81.52          0.85          7.01          1.71
10            81.85          0.83          7.00          0.00
11            81.93          0.83          7.16          0.00
12            81.71          0.83          6.97          0.00
13            81.94          0.83          7.16          0.00
14            81.70          0.83          6.99          0.00
15            81.63          0.83          7.19          0.00
16            81.85          0.84          6.99          0.00
17            81.16          1.00          7.04          0.00
18            81.49          0.84          7.01          0.00
19            81.76          0.84          7.04          1.59
20            81.06          0.83          7.17          0.00
21            81.78          0.84          7.00          0.00
22            81.92          0.83          7.15          0.00
23            81.68          0.84          7.03          0.00
24            81.25          0.84          6.99          0.00
25            81.67          0.84          7.02          0.00
26            81.42          0.84          7.04          0.00
27            81.92          0.84          7.19          0.00
28            82.12          0.84          6.99          0.00
29            81.27          0.84          7.17          1.57
30            82.03          0.83          7.01          0.00
31            82.00          0.83          7.20          0.00
32            81.81          0.84          7.02          0.00
33            81.71          0.84          6.97          0.00
34            81.52          0.84          7.03          0.00
35            81.71          0.84          6.99          0.00
36            81.67          0.83          7.17          0.00
37            81.55          0.84          7.03          0.00
38            81.82          0.84          6.99          0.00
39            81.58          0.84          7.18          1.60
40            81.72          0.83          7.00          0.00
41            81.83          0.83          7.19          0.00
42            81.71          0.84          7.00          0.00
43            81.57          0.83          6.98          0.00
44            82.34          0.83          7.18          0.00
45            81.30          0.84          7.00          0.00
46            81.44          0.84          7.00          0.00
47            82.27          0.84          7.20          0.00
48            81.40          0.84          7.00          0.00
49            81.73          0.85          7.02          1.79
50            81.64          0.84          7.20          0.00
51            82.01          0.84          7.04          0.00
52            81.40          0.84          7.02          0.00
53            81.10          0.83          7.19          0.00
54            82.12          0.85          7.03          0.00
55            81.85          0.84          7.01          0.00
56            81.22          0.84          7.01          0.00
57            82.09          0.84          7.20          0.00
58            81.39          0.85          7.02          0.00
59            81.81          0.85          7.01          1.59
60            81.96          0.84          7.22          0.00
61            82.27          0.84          7.02          0.00
62            81.50          0.84          7.01          0.00
63            82.48          0.85          6.99          0.00
64            81.85          0.84          7.00          0.00
65            81.78          0.84          7.21          0.00
66            82.05          0.85          7.02          0.00
67            82.35          0.85          7.02          0.00
68            81.99          0.85          7.01          0.00
69            81.96          0.85          7.18          1.59
70            81.87          0.84          7.00          0.00
71            82.51          0.84          7.03          0.00
72            82.15          0.84          7.01          0.00
73            82.19          0.84          7.01          0.00
74            81.91          0.83          7.19          0.00
75            81.52          0.84          7.23          0.00
76            82.23          0.84          7.02          0.00
77            82.02          0.84          7.04          0.00
78            81.53          0.84          7.01          0.00
79            81.77          0.84          6.99          1.79
80            81.75          0.84          7.22          0.00
81            82.02          0.85          7.01          0.00
82            82.37          0.85          7.02          0.00
83            81.59          0.85          7.01          0.00
84            81.54          0.84          7.01          0.00
85            81.51          0.84          7.00          0.00
86            81.79          0.84          7.01          0.00
87            81.25          0.84          6.99          0.00
88            81.54          0.84          7.22          0.00
89            81.51          0.84          7.23          1.58
90            81.69          0.84          7.00          0.00
91            81.54          0.84          7.02          0.00
92            81.87          0.84          7.00          0.00
93            81.70          0.84          7.02          0.00
94            82.11          0.84          7.02          0.00
95            81.00          0.84          6.99          0.00
96            81.64          0.84          7.01          0.00
97            81.75          0.84          7.00          0.00
98            81.67          0.85          7.01          0.00
99            81.68          0.84          7.21          1.61
100           81.47          1.03          7.06          0.00
101           81.79          0.84          7.00          0.00
102           82.05          0.85          7.04          0.00
103           81.52          0.84          7.00          0.00
104           81.63          0.84          7.02          0.00
105           81.39          0.84          7.02          0.00
106           81.63          0.85          6.99          0.00
107           81.73          0.84          6.99          0.00
108           82.03          0.85          7.00          0.00
109           82.47          0.85          7.00          1.59
110           81.55          0.84          7.00          0.00
111           81.53          0.84          7.02          0.00
112           81.63          0.84          7.03          0.00
113           81.63          0.85          7.02          0.00
114           81.45          0.84          7.02          0.00
115           82.21          0.85          7.02          0.00
116           81.62          0.84          7.03          0.00
117           81.49          0.85          7.04          0.00
118           82.29          0.85          7.03          0.00
119           81.89          0.85          7.03          1.64
120           81.59          0.84          7.03          0.00
121           81.96          0.84          7.04          0.00
122           81.45          0.85          7.03          0.00
123           82.22          0.85          7.06          0.00
124           81.67          0.85          7.06          0.00
125           82.04          0.84          7.25          0.00
126           81.54          0.84          7.23          0.00
127           81.65          0.84          7.20          0.00
128           81.52          0.84          7.23          0.00
129           81.84          0.84          6.98          1.83
130           82.09          0.83          7.19          0.00
131           81.95          0.83          7.00          0.00
132           81.86          0.83          7.01          0.00
133           81.95          0.83          7.00          0.00
134           81.66          0.84          7.02          0.00
135           82.33          0.84          7.01          0.00
136           82.02          0.84          7.02          0.00
137           81.67          0.83          7.24          0.00
138           81.91          0.84          7.23          0.00
139           82.38          0.84          7.23          1.61
140           81.61          0.83          7.23          0.00
141           81.94          0.83          7.00          0.00
142           81.62          0.83          7.00          0.00
143           82.39          0.84          7.02          0.00
144           81.75          0.84          7.02          0.00
145           81.90          0.85          7.01          0.00
146           81.49          0.83          7.21          0.00
147           81.37          0.83          7.20          0.00
148           82.03          0.84          7.02          0.00
149           81.30          0.84          7.00              


---End Timer Report (root)---

