

---Begin Timer Report (root)---
Timer Name:          root (running)
Total Time (s):      6106
Stamps Sum:          6106
Self Time (Agg.):    0.1105


Intervals
---------
exploration ........ 4894
skill model training  127.3
rl training ........ 1062
logging ............ 23.36


Loop Iterations
---------------

Timer:       root

               Total    Mean     Max     Min     Num
              ------  ------  ------  ------  ------
exploration   4893.55   32.62   33.27   32.06     150
skill model training  127.29    0.85    1.66    0.83     150
rl training   1061.62    7.08    8.15    6.97     150
logging        23.36    0.16    1.74    0.00     149


Iter.   exploration  skill model    rl training       logging
-----       -------       -------       -------       -------
0             32.88          1.66          8.15          0.00
1             32.53          0.83          7.07          0.00
2             32.23          0.83          7.01          0.00
3             32.49          0.84          7.09          0.00
4             32.64          0.83          7.08          0.00
5             32.55          0.83          7.07          0.00
6             32.47          0.83          7.09          0.00
7             32.74          0.83          6.99          0.00
8             32.22          0.84          7.05          0.00
9             32.06          0.84          7.06          1.63
10            32.76          0.83          7.01          0.00
11            32.44          0.83          7.03          0.00
12            32.69          0.83          7.04          0.00
13            32.67          0.83          7.01          0.00
14            32.28          0.84          7.00          0.00
15            32.75          0.84          7.01          0.00
16            32.88          0.84          7.08          0.00
17            32.40          0.84          7.10          0.00
18            32.48          0.84          7.10          0.00
19            32.40          0.84          7.04          1.69
20            32.51          0.83          7.12          0.00
21            32.59          0.83          7.11          0.00
22            32.70          0.83          7.10          0.00
23            32.49          0.83          7.12          0.00
24            32.68          0.83          7.10          0.00
25            32.76          0.83          7.00          0.00
26            32.62          0.84          6.99          0.00
27            32.38          0.84          7.04          0.00
28            32.92          0.84          7.04          0.00
29            32.37          0.84          7.02          1.69
30            32.81          0.83          7.03          0.00
31            32.65          0.84          7.01          0.00
32            32.33          0.84          7.14          0.00
33            32.56          0.84          7.13          0.00
34            32.38          0.84          7.12          0.00
35            32.66          0.84          7.01          0.00
36            32.52          0.84          7.02          0.00
37            32.27          0.85          7.04          0.00
38            32.75          0.84          7.12          0.00
39            32.69          0.84          7.12          1.59
40            32.51          0.93          7.04          0.00
41            32.90          0.84          7.11          0.00
42            32.35          0.84          7.13          0.00
43            32.38          0.84          7.01          0.00
44            32.27          0.94          7.03          0.00
45            33.00          0.84          7.12          0.00
46            32.60          0.84          7.11          0.00
47            32.72          0.85          7.03          0.00
48            32.45          0.94          7.04          0.00
49            32.68          0.84          7.13          1.59
50            32.74          0.83          7.17          0.00
51            32.92          0.83          7.13          0.00
52            32.92          0.84          7.01          0.00
53            32.76          0.84          7.13          0.00
54            32.65          0.84          7.11          0.00
55            32.63          0.84          7.00          0.00
56            32.71          0.83          7.15          0.00
57            32.79          0.84          7.13          0.00
